RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
124.68883789569 -47.77428410105 -0.013518 -0.002312 "Gaia EDR3 5516044296601904384" 0.1048 3.719 -2.48 0.121 2.771 0.115 18.198872 0.003073 18.807608 0.017036 17.40061 0.012455 1.406998 0.236907 0.021103372266062122
124.68649083872 -47.76578840421 -0.015097 0.006183 "Gaia EDR3 5516044330961666688" 0.1532 3.838 -2.512 0.167 2.901 0.168 18.862362 0.003414 19.627298 0.049373 18.111012 0.018619 1.516287 -0.023354999999999997 0.05276703791193892
124.67707544319 -47.80573742605 -0.02141 -0.033768 "Gaia EDR3 5516037596451827328" 0.1453 3.768 -2.577 0.161 2.749 0.161 18.870495 0.003358 19.89309 0.038863 17.904497 0.013003 1.988592 0.05115 0.04098061466108092
124.69901771562 -47.7675765828 -0.006677 0.004397 "Gaia EDR3 5516044266545097344" 0.0886 3.838 -2.62 0.094 2.805 0.093 17.789843 0.002954 18.687696 0.017606 16.870165 0.006972 1.817532 0.158147 0.01893620922993829
124.7303449423 -47.79472796075 0.014372 -0.022756 "Gaia EDR3 5516043441911394048" 0.0536 3.693 -2.507 0.057 2.713 0.057 17.030647 0.00285 17.994167 0.007873 16.072933 0.005024 1.921234 0.17799299999999998 0.00933941673767693
124.7516420162 -47.7854390005 0.028684 -0.013473 "Gaia EDR3 5516043373191922176" 0.0705 3.929 -2.561 0.074 2.98 0.075 17.508184 0.003079 "" "" "" "" "" 0.10439000000000001 ""
124.71521450089 -47.77373283394 0.004209 -0.001759 "Gaia EDR3 5516044369624318080" 0.0694 3.931 -2.616 0.074 2.934 0.077 17.582706 0.002906 17.910288 0.007969 17.098568 0.006618 0.81172 0.135074 0.010358710585782383
124.69679224839 -47.78313026992 -0.008171 -0.011157 "Gaia EDR3 5516044227881409664" 0.0691 3.859 -2.434 0.076 2.995 0.077 17.431423 0.00299 18.09451 0.018277 16.390276 0.009734 1.704233 0.160763 0.020707474133751805
124.71416958727 -47.77084489444 0.003507 0.001129 "Gaia EDR3 5516044369624317184" 0.0765 3.801 -2.472 0.083 2.887 0.084 17.76908 0.002938 18.326706 0.008952 17.073982 0.006346 1.252724 -0.045471 0.01097314995796558
124.72782140707 -47.78023222665 0.01268 -0.00826 "Gaia EDR3 5516043609406134272" 0.1 3.93 -2.519 0.113 3.016 0.111 18.231874 0.003094 18.726006 0.012918 17.579159 0.009736 1.146847 0.11452299999999999 0.01617604463396414
