RA_ICRS DE_ICRS _x _y EDR3Name e_Plx PM pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag BP-RP Plx_corr e_BP-RP
297.75382660538 32.23878848054 -0.005273 -0.00394 "Gaia EDR3 2033896232793426688" 0.2282 4.789 -2.509 0.199 -4.078 0.246 19.390577 0.003945 20.300728 0.055197 18.509289 0.017923 1.791439 0.246392 0.0580339791673809
297.76425604037 32.24785436483 0.003548 0.005126 "Gaia EDR3 2033896335872598144" 0.1505 4.728 -2.618 0.135 -3.936 0.171 18.760853 0.003338 19.478891 0.028463 17.809736 0.017198 1.669155 0.16058 0.03325527887418778
297.76056330924 32.24589237073 0.000425 0.003164 "Gaia EDR3 2033896335872618112" 0.0811 4.738 -2.404 0.074 -4.082 0.087 17.727417 0.002906 18.812439 0.018818 16.673725 0.0063 2.138714 0.09290599999999999 0.01984457417028645
297.76046381578 32.23728585833 0.000341 -0.005442 "Gaia EDR3 2033896335897676672" 0.1363 5.056 -2.624 0.121 -4.322 0.16 18.172997 0.003415 18.719574 0.04881 16.803139 0.01391 1.916435 0.11421100000000001 0.05075336639081195
297.76671153369 32.23625974514 0.005626 -0.006468 "Gaia EDR3 2033896267153014272" 0.1251 4.991 -2.718 0.115 -4.187 0.146 18.46051 0.003096 19.154757 0.016576 17.539057 0.015949 1.6157 0.255629 0.023002921053640126
297.74943683544 32.24707393728 -0.008985 0.004346 "Gaia EDR3 2033899290835198080" 0.0889 4.767 -2.627 0.082 -3.978 0.099 17.897434 0.002964 19.027555 0.01321 16.883858 0.006368 2.143698 -0.071924 0.014664771529076066
297.75386690785 32.23615695297 -0.005239 -0.006571 "Gaia EDR3 2033896232793404416" 0.5213 4.933 -2.509 0.496 -4.248 0.572 20.16412 0.007803 "" "" "" "" "" 0.242678 ""
297.77670107813 32.2287517721 0.014077 -0.013975 "Gaia EDR3 2033896262841084032" 0.0703 5.034 -2.584 0.064 -4.321 0.077 17.539589 0.002898 18.442324 0.010895 16.621489 0.006957 1.820835 0.170379 0.012926750326358129
297.78547151962 32.24909373652 0.021491 0.006368 "Gaia EDR3 2033896297199600000" 0.1006 4.711 -2.397 0.094 -4.055 0.116 18.120222 0.003023 19.371222 0.023037 17.06615 0.005301 2.305071 0.10084499999999999 0.023639034878776246
297.78571235449 32.24025310276 0.021697 -0.002473 "Gaia EDR3 2033896301537912192" 0.0847 4.88 -2.579 0.075 -4.142 0.098 17.509237 0.00309 "" "" "" "" "" 0.344668 ""
297.72586557568 32.24148285974 -0.028922 -0.001241 "Gaia EDR3 2033899222090926720" 0.2218 4.797 -2.391 0.19 -4.159 0.308 19.015274 0.003772 "" "" "" "" "" 0.145764 ""
297.75408287326 32.21716256983 -0.005057 -0.025566 "Gaia EDR3 2033896129714061696" 0.3665 4.686 -2.548 0.329 -3.933 0.394 19.862999 0.004864 20.70883 0.061035 18.873049 0.028496 1.835781 0.224735 0.06735943319981248
297.75732685403 32.24679044249 -0.002312 0.004062 "Gaia EDR3 2033896335872654592" 0.1378 4.765 -2.713 0.123 -3.917 0.153 18.580383 0.003235 19.280304 0.016765 17.720816 0.014933 1.559488 0.0013120000000000007 0.022451274217736506
297.75598450709 32.24401238746 -0.003447 0.001284 "Gaia EDR3 2033896335897688192" 0.3627 4.965 -2.631 0.324 -4.211 0.389 19.876585 0.005111 20.432045 0.071791 18.776539 0.05055 1.655506 0.312254 0.08780233585161615
297.79424229028 32.22934555052 0.028915 -0.013378 "Gaia EDR3 2033896091041110272" 0.1387 4.679 -2.379 0.132 -4.029 0.165 18.664454 0.003212 19.570034 0.028054 17.6593 0.011145 1.910734 0.018766 0.030186717956743825
297.76070496517 32.2598474661 0.000545 0.017119 "Gaia EDR3 2033899325169939840" 0.3422 4.739 -2.712 0.304 -3.887 0.371 19.868998 0.004629 20.883173 0.07688 18.84545 0.023526 2.037723 0.144866 0.08039904897447482
297.78343637449 32.2248746114 0.019775 -0.017851 "Gaia EDR3 2033896061019736704" 0.0575 5.098 -2.654 0.052 -4.353 0.062 17.129322 0.002857 18.316648 0.013595 16.04755 0.004659 2.269098 0.18797999999999998 0.014371162305116451
297.75305790132 32.23869752966 -0.005923 -0.004031 "Gaia EDR3 2033896232797593600" 0.6218 4.851 -2.608 0.528 -4.09 0.657 20.444475 0.007276 21.589388 0.07112 19.580832 0.014039 2.008556 0.369339 0.0724923990567287
297.7764863234 32.23029959696 0.013895 -0.012428 "Gaia EDR3 2033896267155036160" 0.3949 4.945 -2.536 0.365 -4.246 0.437 20.071749 0.005167 20.918291 0.100581 19.242474 0.04184 1.675817 0.315095 0.10893632617726742
297.76213534426 32.24278776381 0.001755 6e-05 "Gaia EDR3 2033896335872585856" 0.1457 4.851 -2.508 0.131 -4.153 0.162 18.656021 0.003211 19.333662 0.055141 17.804365 0.016234 1.529297 0.330486 0.05748106329044375
297.75043747489 32.25900324882 -0.008138 0.016275 "Gaia EDR3 2033899286498070528" 0.1445 4.865 -2.736 0.124 -4.023 0.168 18.67099 0.003748 19.250895 0.02068 17.58916 0.012454 1.661734 0.307132 0.024140516067391767
297.78062747713 32.22333579645 0.017399 -0.019391 "Gaia EDR3 2033896056681357824" 0.1011 4.62 -2.533 0.09 -3.864 0.112 18.07285 0.00298 19.23873 0.020186 17.024254 0.005613 2.214476 0.019665000000000002 0.020951858270807387
297.75985101418 32.25028598467 -0.000177 0.007558 "Gaia EDR3 2033896335872651392" 0.0992 4.62 -2.538 0.09 -3.86 0.11 18.098763 0.002991 18.619194 0.016928 17.324825 0.013628 1.294369 0.16161799999999998 0.021731994110067303
297.75627270639 32.24244487192 -0.003204 -0.000283 "Gaia EDR3 2033896335897687552" 0.0671 5.075 -2.879 0.061 -4.179 0.073 17.157604 0.002911 18.306488 0.00837 16.060509 0.005338 2.245979 0.146815 0.009927292883762422
297.76647908365 32.23759320658 0.005429 -0.005135 "Gaia EDR3 2033896335872500608" 0.3268 4.905 -2.403 0.285 -4.276 0.369 19.819843 0.004711 20.365534 0.053065 18.895632 0.048105 1.469902 0.209243 0.07162391534955347
297.75396131824 32.26081881281 -0.005158 0.018091 "Gaia EDR3 2033899290810271360" 0.2381 4.692 -2.685 0.207 -3.848 0.255 19.335125 0.003759 20.24065 0.036106 18.464285 0.015793 1.776365 0.16225 0.03940890870095238
297.76371572531 32.23980702893 0.003092 -0.002921 "Gaia EDR3 2033896335872547840" 0.2296 4.664 -2.658 0.202 -3.832 0.259 19.341166 0.003848 20.083689 0.033261 18.522717 0.024918 1.560972 0.140511 0.04155960592931555
297.76100651084 32.24370154174 0.0008 0.000973 "Gaia EDR3 2033896335872601088" 0.1585 5.062 -2.786 0.145 -4.226 0.176 18.802917 0.003342 19.381508 0.042536 17.862679 0.022803 1.518829 -0.122218 0.048262698898839045
297.74691011288 32.25048472185 -0.011122 0.007757 "Gaia EDR3 2033899290810273792" 0.1945 4.576 -2.489 0.171 -3.84 0.225 19.126846 0.003527 19.844513 0.03041 18.346653 0.015118 1.49786 0.051059 0.03396059516557388
297.78008114186 32.23504200555 0.016935 -0.007685 "Gaia EDR3 2033896267152897920" 0.4242 5.099 -2.662 0.407 -4.349 0.449 19.826366 0.006255 20.695547 0.066745 18.85715 0.028097 1.838398 -0.101684 0.07241779086660956
297.73822470158 32.21864487045 -0.018474 -0.024082 "Gaia EDR3 2033896198433707392" 0.1947 4.955 -2.769 0.176 -4.11 0.205 19.133718 0.003533 19.900688 0.043209 18.289646 0.019881 1.611042 0.34386700000000003 0.047563345571984314
