EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5538919051898421760,-0.224762,0.214104,118.3115109347,-37.99803505748,0.5643,0.2649,-0.147,0.238,2.527,0.295,19.343018,0.003823,1.529837,0.04791228621136754,19.787,0.024,1.307,0.046,,,1.371,0.035
Gaia EDR3 5538144171082180224,0.073488,-0.182374,118.69049404869,-38.39482058566,0.1735,0.3464,-0.446,0.31,1.749,0.363,19.734804,0.00465,1.810247,0.09692512005151194,19.829,0.03,1.272,0.055,,,1.452,0.039
Gaia EDR3 5538149565561556864,-0.017075,-0.048098,118.57498377815,-38.26058080108,0.5467,0.2979,-1.444,0.301,2.315,0.31,19.590286,0.004274,1.336557,0.06377893950984134,19.869,0.043,0.916,0.058,0.502,0.147,1.284,0.053
Gaia EDR3 5538146816782367872,0.079864,-0.090379,118.69850120791,-38.30281926906,0.4234,0.3242,-2.404,0.287,4.264,0.309,19.568783,0.004261,1.549103,0.06910107255318111,19.853,0.036,1.003,0.053,0.581,0.149,1.369,0.043
Gaia EDR3 5538911046084205056,0.097067,0.225674,118.71988710748,-37.98674549303,0.1036,0.2428,-1.04,0.232,3.873,0.256,19.421432,0.004091,1.569395,0.07479691194828834,19.804,0.042,1.075,0.058,,,-0.066,0.157
Gaia EDR3 5538908331664886656,-0.104493,0.236049,118.46416963684,-37.9763602144,0.0429,0.2359,-5.388,0.216,6.642,0.26,19.286211,0.003881,1.591106,0.05531044571326469,19.798,0.028,1.335,0.053,,,1.462,0.045
Gaia EDR3 5538123250298259200,-0.17926,-0.237224,118.36783675918,-38.44948665411,0.6396,0.3138,-2.976,0.312,2.403,0.39,19.8189,0.004978,1.605623,0.14747763483321802,19.829,0.037,1.365,0.076,,,1.489,0.051
Gaia EDR3 5538909469836390784,0.051231,0.205692,118.66174882656,-38.00677449619,-0.1118,0.2538,-2.91,0.228,3.065,0.318,19.445488,0.004109,1.438923,0.06354720435235527,19.9,0.04,0.98,0.057,,,1.455,0.051
Gaia EDR3 5538151008668490112,0.010961,-0.027369,118.61068527222,-38.23985228349,0.4469,0.3,-1.093,0.301,1.836,0.327,19.653873,0.00448,1.167856,0.08840716628192535,19.939,0.04,0.735,0.051,0.459,0.105,1.126,0.05
Gaia EDR3 5538907369592197888,-0.051156,0.223684,118.53182206026,-37.98878201926,0.1134,0.2257,1.038,0.202,5.367,0.258,19.179409,0.003756,1.960894,0.050503064956495466,19.844,0.033,1.479,0.059,,,1.843,0.052
Gaia EDR3 5538913176388000768,-0.016122,0.23739,118.57627765911,-37.97509228662,0.7287,0.2393,-4.231,0.233,5.117,0.272,19.249908,0.00374,1.728638,0.047283380346586905,19.848,0.028,1.534,0.076,,,1.603,0.045
Gaia EDR3 5538147297818812032,0.131902,-0.056358,118.76473379505,-38.26872216842,-0.5866,0.3015,-2.724,0.278,3.445,0.288,19.526121,0.004283,1.550798,0.06340545453665639,19.834,0.042,0.973,0.065,0.638,0.156,1.338,0.046
Gaia EDR3 5538151730223219200,0.065424,0.053636,118.67993508834,-38.1588193975,0.595,0.231,-3.815,0.235,4.501,0.248,19.168543,0.00398,2.351391,0.05614488530578721,20.069,0.03,1.66,0.073,,,2.189,0.041
Gaia EDR3 5538904826970160000,-0.130044,0.093502,118.43143376276,-38.11886620047,-0.1477,0.2531,-1.097,0.249,2.316,0.285,19.431765,0.003992,1.417499,0.049369675166036894,19.81,0.052,1.028,0.065,0.199,0.128,1.284,0.055
Gaia EDR3 5538903212063593856,-0.036112,0.087389,118.55082445708,-38.12508621043,0.2088,0.277,-0.342,0.298,3.031,0.32,19.404036,0.004044,1.860891,0.06548034101927082,20.026,0.035,1.428,0.069,,,1.768,0.04
Gaia EDR3 5538139395078811136,0.238277,-0.107491,118.90043641895,-38.31958409896,1.0455,0.2457,-1.725,0.259,0.061,0.233,19.3286,0.00392,2.350241,0.07265847679383322,20.217,0.055,1.721,0.103,,,2.144,0.062
Gaia EDR3 5538874663416145920,-0.238508,-0.184469,118.29240655085,-38.39656094191,-0.2067,0.2641,-1.116,0.282,1.803,0.334,19.5263,0.004032,1.340942,0.0692021559346239,19.928,0.036,0.851,0.052,0.254,0.127,1.335,0.05
Gaia EDR3 5538910187090748032,0.005111,0.228633,118.6032152211,-37.98385111359,0.5398,0.2243,-4.585,0.217,3.595,0.255,19.14065,0.003839,2.335157,0.05632984712388273,20.052,0.034,1.653,0.074,,,2.14,0.046
Gaia EDR3 5538133725721716224,0.136264,-0.181793,118.77058985089,-38.39414926091,0.066,0.2895,-1.154,0.287,1.897,0.316,19.59866,0.004285,1.441917,0.07199052199421811,19.818,0.045,0.933,0.059,,,1.209,0.05
Gaia EDR3 5538875243242130688,-0.216761,-0.136386,118.32033735683,-38.34854672461,0.6557,0.2321,-1.266,0.252,0.464,0.285,19.347157,0.004036,1.761738,0.05496014491429221,19.847,0.025,1.238,0.046,,,1.562,0.04
Gaia EDR3 5538148844006878080,-0.048649,-0.106312,118.53472352532,-38.31877985443,-0.0516,0.3106,-2.021,0.302,3.534,0.324,19.626316,0.004549,1.335205,0.09097905574911183,19.828,0.038,1.072,0.052,0.229,0.106,1.33,0.046
Gaia EDR3 5538159736042510976,0.208371,0.216865,118.86113904029,-37.99532282077,-0.4042,0.2305,-1.332,0.221,2.525,0.238,19.41877,0.003916,1.408117,0.05100127678793934,19.87,0.038,0.895,0.061,0.511,0.167,1.244,0.055
Gaia EDR3 5538151283546480768,-0.009374,0.000967,118.58479939625,-38.21151694147,0.4375,0.3032,-1.186,0.298,2.16,0.333,19.487083,0.004272,1.54945,0.0624670914722304,19.894,0.033,0.94,0.049,,,1.399,0.04
Gaia EDR3 5538903418222039168,-0.08898,0.101403,118.4836412933,-38.1110270807,0.4408,0.2695,-1.763,0.261,2.802,0.299,19.367893,0.004369,1.605299,0.048175848305971734,19.836,0.027,1.304,0.047,,,1.475,0.033
Gaia EDR3 5538159770403932032,0.220729,0.230687,118.87676850498,-37.9814639688,0.7158,0.1678,-4.448,0.162,0.892,0.176,18.945488,0.003446,1.778515,0.04026660124718748,19.678,0.089,1.428,0.108,,,1.467,0.102
Gaia EDR3 5538157227781444736,0.174052,0.099789,118.8179444653,-38.11248762966,-0.1502,0.2493,-2.362,0.278,1.964,0.264,19.399681,0.004011,1.582037,0.051282159246662,19.82,0.04,1.135,0.055,0.258,0.125,1.392,0.051
Gaia EDR3 5538904483368689792,-0.166608,0.049672,118.38483081948,-38.1626215794,-0.0766,0.3224,-1.049,0.336,1.799,0.417,19.670967,0.004654,1.199814,0.06717220265109668,19.893,0.022,0.804,0.035,0.187,0.11,1.018,0.037
Gaia EDR3 5538913318118674688,-0.052376,0.239468,118.53028846916,-37.97299788655,0.2844,0.5578,-6.474,0.464,3.438,0.871,19.884245,0.006704,1.964014,0.15419833692034426,19.882,0.041,1.406,0.072,,,1.832,0.06
Gaia EDR3 5538124998346243712,-0.148121,-0.169801,118.40777335923,-38.38213406646,0.1653,0.2747,-0.874,0.283,3.113,0.339,19.50324,0.004522,1.654726,0.0506362862184817,19.831,0.03,1.247,0.05,,,1.503,0.043
Gaia EDR3 5538151627143941632,0.031216,0.030776,118.63644281767,-38.18170202948,0.1137,0.3156,-0.862,0.319,1.947,0.34,19.625015,0.00456,1.3111,0.06142576525367836,19.89,0.025,0.785,0.041,,,1.077,0.041
Gaia EDR3 5538155715952962304,0.20458,0.100547,118.85674250944,-38.11165023987,0.2995,0.2582,-0.776,0.289,1.28,0.244,19.347763,0.004138,1.819828,0.04792219169654076,19.955,0.036,1.249,0.064,,,1.7,0.044
Gaia EDR3 5538158915712782336,0.191068,0.143048,118.8394278774,-38.06918650845,,,,,,,20.546661,0.012618,,,19.684,0.031,2.154,0.082,,,1.35,0.046
Gaia EDR3 5538901184836678272,-0.134642,0.007849,118.42538736687,-38.20451123177,0.1449,0.2726,-3.713,0.273,2.575,0.311,19.42088,0.004271,1.5558,0.0845356042031995,19.87,0.03,1.193,0.051,,,1.53,0.04
Gaia EDR3 5538918021106150272,-0.19277,0.186064,118.35201381229,-38.02616636366,-0.117,0.2338,-1.139,0.218,3.547,0.262,19.358143,0.003757,1.550732,0.057684720905973014,19.86,0.023,1.253,0.05,,,1.489,0.032
Gaia EDR3 5538121253134730880,-0.028595,-0.204821,118.56023344936,-38.41729978798,0.9124,0.2582,-0.785,0.264,4.044,0.292,19.432705,0.004327,1.787546,0.06816492289293666,19.834,0.04,1.349,0.065,0.661,0.21,1.612,0.053
Gaia EDR3 5538903594312902400,-0.055437,0.137865,118.52630819323,-38.07459812537,-0.0374,0.283,-1.422,0.257,3.279,0.324,19.514278,0.004209,1.41707,0.06402131370098554,19.834,0.023,1.034,0.038,,,1.254,0.036
Gaia EDR3 5538121081335999488,-0.035332,-0.234314,118.55161655796,-38.44679013737,-0.1035,0.255,-2.617,0.26,2.606,0.289,19.476072,0.004094,1.613525,0.05480099343990034,19.803,0.046,1.18,0.068,0.25,0.164,1.367,0.059
Gaia EDR3 5538149668638653056,-0.038014,-0.041139,118.54832227588,-38.25361372814,0.0005,0.2886,-2.163,0.279,2.924,0.291,19.47586,0.004035,1.707409,0.05737277070178849,19.842,0.041,1.358,0.065,0.929,0.245,1.564,0.05
Gaia EDR3 5538125449321233152,-0.114147,-0.147089,118.45115877616,-38.35948377826,0.235,0.3998,-2.138,0.425,1.434,0.369,19.652916,0.004844,1.547154,0.17802289280314484,19.822,0.032,1.065,0.053,0.268,0.137,1.238,0.05
Gaia EDR3 5538147439556537216,0.098913,-0.048626,118.72270253968,-38.26104265872,0.4168,0.2718,-2.989,0.273,3.772,0.288,19.503325,0.004278,1.737356,0.06792735756674184,19.836,0.04,1.164,0.059,,,1.421,0.047
Gaia EDR3 5538902834106481408,-0.004628,0.096603,118.59084828087,-38.11588124057,-0.1043,0.2888,-2.485,0.305,3.162,0.347,19.49578,0.004178,1.241425,0.07467503005021157,19.858,0.029,0.952,0.047,0.142,0.085,1.251,0.038
Gaia EDR3 5538144720837974784,0.003344,-0.188597,118.60099713684,-38.4010813364,0.6785,0.2143,-4.126,0.213,5.02,0.232,19.180527,0.004898,2.050514,0.08337143545603615,19.93,0.036,1.58,0.059,,,2.074,0.048
Gaia EDR3 5538152657938015744,0.221841,-0.031154,118.87919004204,-38.24329957189,0.5214,0.2695,-2.559,0.292,5.521,0.296,19.457453,0.003977,1.535324,0.06325544464312934,19.832,0.046,1.118,0.065,,,1.389,0.056
Gaia EDR3 5538152108182135424,0.186049,-0.071987,118.83375196098,-38.28423304627,0.6685,0.2493,-2.935,0.253,3.347,0.271,19.395962,0.004023,2.021202,0.07711379025829297,20.092,0.041,1.467,0.078,,,1.927,0.047
Gaia EDR3 5538124998346243456,-0.139776,-0.169937,118.41841855555,-38.38228696171,0.2818,0.2657,0.112,0.26,0.868,0.312,19.440937,0.004007,1.730681,0.06524074374192863,19.808,0.028,1.375,0.055,,,1.516,0.048
Gaia EDR3 5538158911408723840,0.197804,0.150721,118.84795799313,-38.061495671,0.2348,0.2243,-1.674,0.213,1.653,0.234,19.263073,0.003697,1.87904,0.05954838845846292,19.864,0.033,1.537,0.06,,,1.724,0.044
Gaia EDR3 5538881810239401600,-0.201051,0.050658,118.34102826471,-38.1615491616,0.1874,0.2652,-2.106,0.261,1.925,0.302,19.439703,0.004143,1.689316,0.06610503784886596,19.869,0.026,1.341,0.054,,,1.534,0.034
Gaia EDR3 5538917574429356032,-0.223552,0.138926,118.31275417893,-38.07321567284,1.1322,0.7216,-1.502,1.34,9.16,0.625,20.323868,0.008534,,,19.842,0.033,1.179,0.053,,,1.498,0.051
Gaia EDR3 5538152627876679680,0.184341,-0.006502,118.83136410905,-38.21875300519,0.0235,0.2527,-1.665,0.261,3.001,0.255,19.452414,0.004031,1.643133,0.06828834776885438,19.919,0.049,1.078,0.068,,,1.527,0.054
Gaia EDR3 5538146889800970368,0.05686,-0.098287,118.66919445467,-38.3107491143,0.4604,0.328,-1.183,0.292,11.061,0.387,19.47156,0.004374,1.978102,0.15569918199207083,20.21,0.035,1.642,0.082,,,2.137,0.041
Gaia EDR3 5538900394564982400,-0.061142,-0.01831,118.51889477257,-38.23076874666,0.803,0.2766,-2.927,0.274,2.451,0.316,19.463953,0.004049,1.871828,0.07565203809548028,19.951,0.04,1.395,0.067,,,1.73,0.047
Gaia EDR3 5538876136588249600,-0.128412,-0.124218,118.43301821281,-38.33658837167,0.049,0.3145,-0.92,0.334,2.2,0.39,19.631939,0.004351,1.372375,0.06490256477212591,19.839,0.031,0.987,0.05,0.325,0.137,1.209,0.045
Gaia EDR3 5538880843871549824,-0.203557,0.004691,118.33767795094,-38.20750893504,-0.9152,0.7628,-5.332,0.821,-0.523,0.915,19.634418,0.010691,1.911903,0.07181675855954514,20.027,0.026,1.324,0.06,,,1.856,0.034
Gaia EDR3 5538900394564983424,-0.06368,-0.014076,118.5156679332,-38.22653205294,0.4914,0.3012,-3.504,0.3,4.163,0.338,19.509132,0.004409,1.454098,0.07974175601903935,19.858,0.043,1.073,0.058,0.453,0.144,1.418,0.05
Gaia EDR3 5538140013554043392,0.208537,-0.125282,118.86259580711,-38.33746700343,0.8136,0.2605,-3.211,0.243,7.855,0.263,19.422419,0.003873,2.384714,0.07475579659798964,20.295,0.053,1.648,0.103,,,2.161,0.058
Gaia EDR3 5538908881420574464,0.036998,0.149796,118.6437217805,-38.06267929543,-0.5316,0.2826,-1.55,0.246,1.86,0.327,19.46968,0.004124,1.617453,0.06446424656350216,19.974,0.034,1.258,0.057,,,1.658,0.038
Gaia EDR3 5538132523130696576,0.184751,-0.227286,118.83260335157,-38.43953478233,0.9629,0.2567,-1.332,0.243,2.998,0.27,19.467106,0.004062,1.16679,0.0645431436792476,19.725,0.046,1.14,0.06,,,1.13,0.053
Gaia EDR3 5538907025995460480,-0.061101,0.188716,118.51916632898,-38.02374270791,0.0349,0.309,-1.556,0.263,2.361,0.349,19.61133,0.004292,1.271786,0.05394140570100116,19.867,0.031,0.955,0.047,0.577,0.159,1.093,0.06
Gaia EDR3 5538133450843748480,0.156682,-0.197521,118.79668507479,-38.40983580344,0.2043,0.2605,-0.99,0.265,4.052,0.311,19.455456,0.004118,1.604967,0.06284669303153508,19.834,0.041,1.224,0.064,0.362,0.167,1.451,0.05
Gaia EDR3 5538123349078765696,-0.178606,-0.212192,118.36875003126,-38.42445659905,0.2174,0.4108,-0.256,0.411,2.622,0.488,19.977587,0.005363,1.35288,0.08645758789718806,19.861,0.046,0.963,0.07,0.382,0.135,1.259,0.064
Gaia EDR3 5538150978609498624,0.076713,0.041633,118.69430804097,-38.17081045017,0.5411,0.3926,-1.099,0.362,2.954,0.362,19.671404,0.004707,1.257481,0.07134443564147101,19.933,0.036,0.757,0.051,0.758,0.153,1.194,0.05
Gaia EDR3 5538159087507215104,0.170814,0.164008,118.81363881404,-38.04827680879,0.8189,0.21,0.635,0.202,3.246,0.229,19.222124,0.003771,2.131184,0.06929937940559064,20.041,0.041,1.507,0.071,,,2.019,0.05
Gaia EDR3 5538140224011156480,0.221233,-0.088911,118.87864042256,-38.30105870453,0.2867,0.2712,-0.982,0.286,1.863,0.316,19.535027,0.004184,1.422989,0.06648611311394281,19.948,0.054,0.807,0.073,0.165,0.162,1.308,0.067
Gaia EDR3 5538151214827028736,0.021765,0.010156,118.62442673108,-38.2023254677,0.1479,0.2493,-1.151,0.258,2.85,0.269,19.38435,0.003984,1.540651,0.043357616920213685,19.843,0.032,1.13,0.047,0.315,0.121,1.425,0.042
Gaia EDR3 5538877583993736320,-0.193548,-0.043445,118.35025265089,-38.25567155931,-0.0146,0.2907,-1.13,0.305,3.18,0.374,19.487532,0.004265,1.567774,0.07042914749590541,19.873,0.026,1.142,0.045,0.213,0.099,1.485,0.035
Gaia EDR3 5538877270459868672,-0.158608,-0.059607,118.39470258098,-38.27191827586,0.0716,0.299,-1.834,0.31,1.682,0.353,19.494654,0.004288,1.937815,0.07164357690679606,19.958,0.028,1.418,0.053,,,1.675,0.033
Gaia EDR3 5538132042094306304,0.088816,-0.24241,118.71014625473,-38.45483999553,0.3585,0.2539,-1.71,0.271,2.81,0.3,19.481867,0.004119,1.549946,0.08346732611028101,19.815,0.04,1.148,0.057,0.379,0.159,1.363,0.052
Gaia EDR3 5538906063922045056,-0.144001,0.168289,118.41388053904,-38.04405359094,0.3474,0.2382,-1.396,0.208,2.037,0.278,19.322495,0.004023,1.685907,0.05224842042588465,19.821,0.023,1.328,0.047,,,1.436,0.034
Gaia EDR3 5538153693032669440,0.130704,0.029339,118.76301154288,-38.18302803534,0.3915,0.315,-1.148,0.326,2.232,0.317,19.634098,0.004525,1.342733,0.06501940443436867,19.956,0.043,0.785,0.056,0.385,0.142,1.254,0.054
Gaia EDR3 5538159358085366784,0.214703,0.188757,118.86927848305,-38.02341236507,-0.0946,0.2206,-3.205,0.203,5.299,0.223,19.297695,0.003952,1.586405,0.06157686175829359,19.782,0.037,1.199,0.057,,,1.198,0.071
Gaia EDR3 5538124757828053120,-0.114901,-0.197944,118.45009509164,-38.41033710667,0.0592,0.3722,-1.166,0.364,1.71,0.399,19.786932,0.005182,1.517614,0.0581477292419919,19.874,0.035,0.99,0.051,,,1.306,0.052
Gaia EDR3 5538140082273576832,0.203569,-0.108227,118.85620102207,-38.32042592578,0.1528,0.2562,-1.537,0.273,2.902,0.255,19.476345,0.004313,1.642557,0.06888729236949294,19.87,0.04,1.148,0.064,,,1.45,0.046
Gaia EDR3 5538132699228886784,0.160591,-0.223186,118.80174652912,-38.43549198694,0.2422,0.2936,-1.646,0.278,2.927,0.309,19.672436,0.004548,1.235544,0.0822229422971472,19.78,0.037,1.047,0.054,,,1.13,0.047
Gaia EDR3 5538905174861122304,-0.127152,0.123044,118.43517465418,-38.08932951416,0.1353,0.2802,-1.049,0.251,1.801,0.302,19.490213,0.004135,1.343819,0.07204005698220955,19.84,0.039,0.904,0.055,0.324,0.135,1.217,0.045
Gaia EDR3 5538158842689201024,0.202748,0.129334,118.85431221433,-38.08286892251,0.4104,0.2516,-1.825,0.255,3.222,0.268,19.453516,0.004055,1.51959,0.054844466193044485,19.893,0.036,0.957,0.057,,,1.375,0.048
Gaia EDR3 5538157743177480064,0.097082,0.079977,118.72015260167,-38.1324428791,0.6969,0.2972,-3.991,0.298,7.221,0.304,19.401964,0.003999,2.460758,0.07952883856815715,20.548,0.055,1.58,0.099,,,2.563,0.06
Gaia EDR3 5538908228585679360,-0.091387,0.239935,118.48080201427,-37.9724919488,-0.3317,0.223,-1.118,0.206,2.096,0.251,19.230732,0.003671,1.916203,0.0583333270180949,19.876,0.024,1.57,0.067,,,1.737,0.041
Gaia EDR3 5538906270079688192,-0.155095,0.182816,118.3998330576,-38.02950390179,-1.6416,0.7211,-0.307,0.653,-7.064,0.767,19.877247,0.007617,1.467562,0.06857723203075494,19.826,0.033,1.12,0.05,,,1.336,0.044
Gaia EDR3 5538146679343325440,0.075242,-0.114453,118.69264303369,-38.32689875615,0.4518,0.3082,-2.107,0.272,5.468,0.297,19.52793,0.004334,1.860167,0.10717212928742248,19.944,0.047,1.396,0.074,,,1.653,0.052
Gaia EDR3 5538902181271416576,-0.012424,0.059264,118.58093084125,-38.1532188636,-0.0856,0.2881,-0.605,0.32,1.883,0.334,19.54703,0.004345,1.378517,0.05696981780732672,19.887,0.03,0.849,0.045,0.545,0.128,1.295,0.036
Gaia EDR3 5538148912724187136,-0.057378,-0.098083,118.52360579685,-38.31054473677,1.1421,0.2816,4.97,0.27,1.622,0.287,19.393904,0.004032,2.082085,0.0890586336353753,20.072,0.049,1.647,0.073,,,2.065,0.055
Gaia EDR3 5538146511843449216,0.155641,-0.065887,118.79499554747,-38.27820419278,0.1852,0.2737,-1.575,0.265,2.971,0.306,19.495232,0.004284,1.550377,0.059394850155548,19.76,0.043,1.247,0.067,0.243,0.149,1.279,0.05
Gaia EDR3 5538910943005012608,0.142867,0.237488,118.77796788769,-37.97485664982,0.2341,0.2514,-1.743,0.247,2.35,0.276,19.390543,0.004038,1.492716,0.057344662707177904,19.888,0.03,1.089,0.063,0.5,0.156,1.454,0.038
Gaia EDR3 5538875041374749440,-0.234426,-0.165095,118.29769505407,-38.37720058698,,,,,,,20.935013,0.017218,,,19.918,0.029,1.273,0.051,,,1.691,0.039
Gaia EDR3 5538919051898468352,-0.225678,0.224884,118.31039092554,-37.98725204957,0.2327,0.3123,-2.925,0.288,2.045,0.339,19.41301,0.004259,1.56522,0.05386499940592221,19.841,0.021,1.221,0.047,0.186,0.131,1.397,0.031
