EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3044448157152152192,-0.018624,0.011924,106.92080072053,-14.138081408,0.1114,0.0667,-0.352,0.057,0.548,0.062,16.8939,0.002797,1.792746,0.007105076682908312,0.9966,1
Gaia EDR3 3044448195811863680,0.020997,-0.003638,106.96166050531,-14.15364320466,0.117,0.0722,-0.368,0.078,0.544,0.093,17.023775,0.002807,1.86723,0.00841261006493095,0.9978,1
Gaia EDR3 3044448127092412672,-0.023361,-0.001153,106.91591362355,-14.15115789169,0.098,0.034,-0.321,0.028,0.54,0.03,15.518682,0.002772,2.028899,0.005250110361822905,0.9956,1
Gaia EDR3 3044447886574232832,0.007592,-0.009977,106.94783643725,-14.15998289814,0.1585,0.1604,-0.336,0.16,0.547,0.195,18.44611,0.00298,1.166557,0.01578031223777616,0.9981,1
Gaia EDR3 3044448676848169600,0.011035,0.033162,106.95138432542,-14.11684367796,0.0772,0.0508,-0.318,0.047,0.533,0.055,16.370255,0.002781,1.71993,0.006021599341511923,0.9961,1
Gaia EDR3 3044448264531344256,0.011946,-0.001937,106.95232649806,-14.15194297046,0.1659,0.0846,-0.359,0.083,0.582,0.094,17.431763,0.002828,1.243958,0.00767228706802897,0.9983,1
Gaia EDR3 3044448298891070848,0.019752,0.0049,106.96037617676,-14.14510495164,0.0626,0.0732,-0.374,0.069,0.522,0.078,17.153666,0.002804,1.157066,0.00761757307307764,0.998,1
Gaia EDR3 3044460290443505280,-0.015983,0.032098,106.9235248598,-14.11790790108,0.0619,0.0635,-0.371,0.056,0.562,0.06,16.869486,0.00279,1.84942,0.0075833441289159835,0.9954,1
Gaia EDR3 3044448466389774976,-0.003591,0.004857,106.9363024859,-14.14514908436,0.1397,0.0784,-0.339,0.069,0.469,0.077,17.08363,0.00281,1.798096,0.010175711348305666,0.9981,1
Gaia EDR3 3044448470686682240,-0.000349,0.005678,106.93964598462,-14.14432772413,0.1395,0.1821,-0.31,0.168,0.477,0.188,18.67164,0.003038,1.189922,0.025927688248425836,0.9982,1
Gaia EDR3 3044448264531343872,0.005557,0.003338,106.94573660428,-14.14666813297,0.0726,0.0863,-0.389,0.082,0.585,0.099,17.118803,0.002835,1.817326,0.010634728610641492,0.9983,1
Gaia EDR3 3044448470686687104,0.001052,0.002773,106.94109100786,-14.14723330232,0.0816,0.0981,-0.279,0.089,0.566,0.101,17.562073,0.002841,1.162567,0.011144792304113795,0.9982,1
Gaia EDR3 3044447886574235648,3.9e-05,-0.007062,106.94004658331,-14.15706764004,0.0547,0.109,-0.354,0.093,0.592,0.102,17.796564,0.002865,1.186596,0.013727909128472493,0.9981,1
Gaia EDR3 3044448260231338112,0.015876,0.001316,106.95637885408,-14.14868918177,0.037,0.0402,-0.342,0.04,0.559,0.045,15.908349,0.002776,1.952765,0.005802605447594458,0.9982,1
Gaia EDR3 3044447371178153344,0.03989,-0.029517,106.98115001403,-14.17951917923,0.1631,0.0571,-0.341,0.056,0.458,0.064,16.796669,0.002795,1.942783,0.007234323804911626,0.981,1
Gaia EDR3 3044448092729583488,-0.001959,2.3e-05,106.9379859685,-14.14998332273,0.1635,0.1673,-0.267,0.139,0.574,0.148,18.411104,0.002983,1.117062,0.020162989004514,0.998,1
Gaia EDR3 3044448470689779200,-0.00577,0.006581,106.93405537642,-14.14342460321,0.1654,0.0765,-0.333,0.064,0.626,0.073,16.93615,0.002805,1.791368,0.007297555924119302,0.9977,1
Gaia EDR3 3044448157155170944,-0.015688,0.005535,106.92382720854,-14.14447051812,0.1229,0.0928,-0.383,0.076,0.639,0.084,17.455273,0.002835,1.879841,0.011427674313909557,0.9969,1
Gaia EDR3 3044448092732668672,-0.012851,-0.001675,106.92675263014,-14.15168081026,0.1656,0.1144,-0.43,0.096,0.491,0.104,17.825878,0.002868,1.305483,0.011510812219840691,0.9969,1
Gaia EDR3 3044448401974009088,0.030503,0.017961,106.97146084694,-14.13204256057,0.2316,0.1161,-0.341,0.105,0.542,0.117,17.838758,0.002866,1.105501,0.0114812863215289,0.9961,1
Gaia EDR3 3044448264531350784,0.011971,-0.008768,106.9523521284,-14.15877334945,0.0858,0.087,-0.371,0.084,0.437,0.094,17.515997,0.002839,1.22204,0.007903805415908356,0.9978,1
Gaia EDR3 3044460290439758720,-0.01888,0.034726,106.92053856324,-14.11527905731,0.2112,0.2077,-0.405,0.192,0.598,0.213,18.899223,0.00312,1.31645,0.027496515426199984,0.9947,1
Gaia EDR3 3044448638188545920,0.023291,0.037889,106.96402227043,-14.11211590708,0.2375,0.1488,-0.306,0.141,0.541,0.161,18.422127,0.002987,1.013453,0.015731151712143194,0.9943,1
Gaia EDR3 3044447813554708992,0.01245,-0.011422,106.95284622413,-14.16142783342,0.0501,0.1274,-0.262,0.124,0.473,0.14,18.204012,0.002921,1.101173,0.01603466494685942,0.9978,1
Gaia EDR3 3044447886571164160,0.001183,-0.005862,106.94122645138,-14.15586803549,0.1965,0.1364,-0.405,0.117,0.628,0.127,18.199556,0.002917,1.192864,0.012759287185139186,0.9981,1
Gaia EDR3 3044460324797720320,-0.018465,0.03931,106.92096696397,-14.1106947959,0.1511,0.135,-0.481,0.121,0.542,0.129,18.225687,0.00294,1.14179,0.013609910214096233,0.9926,1
Gaia EDR3 3044448500749552000,0.002677,0.020439,106.94276619014,-14.12956748814,0.2126,0.1129,-0.453,0.106,0.532,0.121,17.925129,0.00288,1.164087,0.011571698248685626,0.9971,1
Gaia EDR3 3044448092732666752,-0.007834,-0.002042,106.93192656492,-14.15204835147,0.0801,0.0702,-0.362,0.061,0.404,0.07,16.907047,0.002802,1.66927,0.007920581266181335,0.9974,1
