EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 2922223081654847232,-0.018893,0.009105,102.22932605501,-23.99089973769,0.1289,0.0153,-0.222,0.011,1.144,0.015,13.789093,0.00276,1.536479,0.004773055827180577,0.9995,1
Gaia EDR3 2922222875496418816,-0.010898,-0.000617,102.23807683406,-24.00062284892,0.1235,0.1104,-0.254,0.074,1.133,0.101,17.975197,0.002903,0.779448,0.020321760676769902,0.9997,1
Gaia EDR3 2922223081654852608,-0.027886,0.00854,102.21948232053,-23.99146292945,0.1253,0.08,-0.232,0.052,1.115,0.075,17.362972,0.002849,0.7677,0.009033787228616355,0.9991,1
Gaia EDR3 2922222806776947584,-0.00714,-0.008982,102.24218900633,-24.00898727964,0.1439,0.0431,-0.216,0.029,1.164,0.039,16.095692,0.002778,1.158802,0.005964852792439038,0.9996,1
Gaia EDR3 2922222772411386880,-0.012983,-0.018799,102.23579255553,-24.01880390205,0.1559,0.1471,-0.255,0.089,1.143,0.128,18.312195,0.003065,0.854301,0.05253352561040949,0.9989,1
Gaia EDR3 2922223249154669440,0.000338,0.000924,102.25037604787,-23.99908210122,0.1315,0.0608,-0.2,0.041,1.154,0.054,16.83014,0.002831,0.422775,0.0071238578553577715,0.9998,1
Gaia EDR3 2922222875496413568,-0.002053,0.001191,102.247759051,-23.99881466423,0.1465,0.0571,-0.269,0.04,1.128,0.055,16.828093,0.002864,0.932364,0.008040881114718961,0.9998,1
Gaia EDR3 2922222806776944640,0.002545,-0.013553,102.25279218146,-24.01355884205,0.1513,0.0463,-0.23,0.032,1.103,0.044,16.37089,0.002848,0.334194,0.006547236276429014,0.9995,1
Gaia EDR3 2922223253453524992,0.00473,0.010232,102.25518247186,-23.98977398428,0.1182,0.0785,-0.286,0.05,1.153,0.074,17.372,0.002828,0.96476,0.007913750561608212,0.9997,1
Gaia EDR3 2922223184734045696,0.011322,0.008505,102.26239793849,-23.99150012899,0.067,0.0248,-0.237,0.017,1.121,0.025,15.095993,0.002763,1.256419,0.0049572313606534146,0.9996,1
Gaia EDR3 2922223249151561216,-0.00779,0.008382,102.24147877934,-23.9916236477,0.1441,0.2226,-0.178,0.135,1.107,0.197,19.063923,0.005011,0.908506,0.0398995329846476,0.9997,1
Gaia EDR3 2922223184734056064,0.010555,-0.005168,102.26156050327,-24.00517359409,0.1096,0.1703,-0.289,0.116,1.099,0.152,18.572659,0.003083,0.822786,0.022031651910216277,0.9996,1
Gaia EDR3 2922223253453530368,0.000388,0.005697,102.25043021031,-23.99430911845,0.1307,0.0267,-0.253,0.019,1.07,0.027,15.287305,0.002766,1.316642,0.005019441033774754,0.9998,1
Gaia EDR3 2922223253453528832,-0.005713,0.012556,102.24375280318,-23.98745007142,0.0718,0.1058,-0.302,0.068,1.123,0.1,17.928764,0.002921,0.788382,0.011166428813122568,0.9996,1
Gaia EDR3 2922223184734046080,0.010933,0.007819,102.26197318067,-23.99218646455,0.0532,0.0872,-0.224,0.056,1.2,0.082,17.549856,0.002885,0.783369,0.012771081419762052,0.9996,1
Gaia EDR3 2922223253455323904,0.000633,0.001754,102.25069853682,-23.99825170187,0.1947,0.0625,-0.177,0.043,1.113,0.06,16.897108,0.002863,0.429293,0.007120818599553171,0.9998,1
Gaia EDR3 2922222875496418304,-0.00459,-0.003424,102.24498092556,-24.00342937755,0.1505,0.1593,-0.265,0.102,1.051,0.144,18.574167,0.003076,0.778666,0.022497904228125358,0.9997,1
Gaia EDR3 2922223253455322752,-0.002033,0.007494,102.2477808931,-23.99251206797,0.1283,0.3624,-0.168,0.212,1.067,0.324,19.582148,0.003766,0.958223,0.04600800236428458,0.9997,1
Gaia EDR3 2922223184734052224,0.004358,0.004335,102.25477626474,-23.99567106791,0.1521,0.1171,-0.138,0.081,1.161,0.113,17.990858,0.003351,0.766851,0.02917203454126911,0.9997,1
Gaia EDR3 2922223184728183808,0.005663,-0.002767,102.25620529939,-24.0027729336,0.0531,0.1037,-0.187,0.07,1.089,0.092,17.79545,0.00289,0.789919,0.00995025966118129,0.9997,1
