EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 5588004652576391552,-0.018112,0.008511,114.41060232668,-36.05849271609,0.0884,0.2358,-0.944,0.22,1.825,0.247,19.271042,0.003765,1.28591,0.052312522189832115,0.9955,1
Gaia EDR3 5588001736301441280,-0.002037,0.002374,114.43048667959,-36.06463188047,-0.1112,0.1711,-0.705,0.252,2.353,0.197,18.377155,0.003788,,,0.9996,1
Gaia EDR3 5588003209474236544,0.010372,0.015859,114.44583490432,-36.05114619523,0.155,0.2657,-0.488,0.263,2.11,0.287,19.616343,0.004134,1.218735,0.05782542782833568,0.9985,1
Gaia EDR3 5588003213766556288,0.00658,0.009987,114.44114544561,-36.05701867306,-0.0588,0.1902,-0.635,0.208,1.864,0.195,19.065079,0.003651,,,0.9975,1
Gaia EDR3 5588001731998619264,0.003577,0.003009,114.43743122142,-36.06399706128,0.2792,0.1507,-0.568,0.159,1.939,0.141,18.367805,0.003206,,,0.9985,1
Gaia EDR3 5588001736298465152,0.002408,-0.002589,114.43598508062,-36.06959545658,0.1687,0.3757,-0.492,0.382,1.997,0.375,19.964855,0.004972,1.038433,0.091291153041147,0.9916,1
Gaia EDR3 5588001701939312512,-0.006881,-0.005177,114.42449333657,-36.07218264506,0.1618,0.5922,-0.718,0.602,1.772,0.6,20.282398,0.006086,1.277231,0.1981293828423259,0.9697,1
Gaia EDR3 5588001736301435392,0.007797,0.003748,114.4426516546,-36.06325803073,0.0872,0.224,-1.027,0.215,1.791,0.233,19.360048,0.003749,1.085234,0.046119129564473754,0.9814,1
Gaia EDR3 5588003209467392768,0.00598,0.011989,114.4404030471,-36.0550166165,0.0303,0.062,-1.061,0.063,2.472,0.065,17.331478,0.002878,0.946922,0.011297012176116165,0.9782,1
Gaia EDR3 5588001732005484928,7.5e-05,-0.005039,114.43309893338,-36.07204516362,-0.2379,0.271,-0.969,0.263,1.892,0.278,19.610529,0.004223,0.9736,0.10697419769755599,0.9981,1
Gaia EDR3 5588001736297827456,-0.002152,0.009139,114.43034478949,-36.05786667612,0.3423,0.128,-0.564,0.133,1.893,0.13,18.492468,0.003156,0.826029,0.026562971282536967,0.996,1
Gaia EDR3 5588004691235353088,-0.016329,0.012899,114.41280828945,-36.05410516757,-0.2828,0.3193,-0.873,0.303,1.913,0.379,19.824186,0.004774,1.553057,0.09038029819547422,0.9993,1
Gaia EDR3 5588003209474236288,0.005074,0.014442,114.43928234929,-36.05256375261,0.4497,0.2705,-0.556,0.263,2.104,0.28,19.669392,0.004163,1.093819,0.048936962784955906,0.9993,1
Gaia EDR3 5588003243833975168,0.022989,0.020093,114.46143936128,-36.04690965718,0.5086,0.2225,-1.05,0.218,2.071,0.233,19.377346,0.003888,1.089464,0.06077447771088523,0.9966,1
Gaia EDR3 5588003213766528128,0.014606,0.01541,114.45107244876,-36.05159510384,0.4959,0.1777,-1.029,0.172,2.343,0.181,18.994667,0.003509,1.217428,0.030976215749579317,0.9989,1
Gaia EDR3 5588003213767794560,0.008986,0.003228,114.44412286258,-36.06377760209,-0.3144,0.1855,-0.974,0.189,2.37,0.188,19.054506,0.003564,0.998596,0.030433605123962013,0.9988,1
Gaia EDR3 5588004686936120192,-0.004865,0.006556,114.42698839423,-36.06044992281,-0.3784,0.2642,-0.951,0.254,2.202,0.272,19.627857,0.004273,1.06629,0.04948211783520492,0.9996,1
Gaia EDR3 5588001732005485184,-0.001346,0.000356,114.43134135996,-36.06665047527,-0.1916,0.3154,-0.737,0.3,2.573,0.325,19.875753,0.004435,1.064766,0.07130656743316797,0.993,1
Gaia EDR3 5588006164404914304,-0.000198,0.017691,114.43276163567,-36.0493154139,0.4955,0.3232,-0.531,0.317,1.877,0.331,19.856245,0.004595,1.178194,0.05746120927986628,0.9894,1
Gaia EDR3 5588004686936170496,-0.009102,0.018004,114.42174873301,-36.04900205342,-0.4759,0.2321,-0.942,0.244,1.812,0.257,19.380442,0.00388,1.053202,0.04062671321850881,0.9849,1
