EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3129425257632789888,0.001716,-0.027335,102.57673101044,5.72265879948,0.1865,0.0309,0.126,0.031,0.422,0.029,14.656867,0.002807,2.201474,0.007158342643625534,0.9984,1
Gaia EDR3 3129425429431495168,-0.01956,-0.023215,102.55534813545,5.72677853599,0.1425,0.0556,0.112,0.058,0.456,0.047,16.113499,0.002858,2.049243,0.008738367100483903,0.9982,1
Gaia EDR3 3129425566870428032,-0.013087,-0.004646,102.5618533414,5.74534813604,0.163,0.0278,0.181,0.027,0.41,0.022,14.165721,0.002806,2.191773,0.005814530780912824,0.9967,1
Gaia EDR3 3129425188913313280,0.013065,-0.037525,102.58813622053,5.71246935372,0.1475,0.2546,0.055,0.205,0.48,0.175,18.186577,0.003584,1.633102,0.03952293017905351,0.9964,1
Gaia EDR3 3129425562569808256,0.001134,-0.006988,102.57614602971,5.74300602918,0.0822,0.1805,0.063,0.18,0.396,0.148,18.13789,0.003349,1.494289,0.026990784040287843,0.9965,1
Gaia EDR3 3129431442385678336,0.000572,0.000449,102.57558129086,5.7504434449,0.1781,0.074,0.224,0.072,0.406,0.059,16.49265,0.00291,1.96599,0.009628947721853734,0.9943,1
Gaia EDR3 3129425493854657920,0.004613,-0.020431,102.57964289594,5.72956331572,0.0102,0.1648,0.131,0.17,0.42,0.136,17.79589,0.003281,1.912958,0.02085606112602427,0.9982,1
Gaia EDR3 3129425459492958080,-0.0021,-0.019576,102.57289625755,5.73041802083,0.0451,0.2182,0.136,0.195,0.531,0.174,17.859005,0.003308,1.689064,0.031651602138215815,0.9985,1
Gaia EDR3 3129425463791224576,-0.009228,-0.022499,102.56573194947,5.72749463514,0.1467,0.1794,0.087,0.2,0.581,0.157,18.015957,0.003383,1.413485,0.025711161386992535,0.9985,1
Gaia EDR3 3129425493852705152,0.008125,-0.015848,102.58317255467,5.73414603578,0.0291,0.2382,0.102,0.238,0.528,0.197,18.616344,0.003834,1.482624,0.03767901895636516,0.9976,1
Gaia EDR3 3129425463791229440,-0.009049,-0.028,102.5659119171,5.72199354121,0.0784,0.2764,-0.053,0.3,0.349,0.246,18.798141,0.004023,1.492538,0.06793719886048546,0.998,1
Gaia EDR3 3129425356415703168,-0.027804,-0.033776,102.54706392484,5.71621751816,0.1781,0.2903,0.123,0.306,0.627,0.236,18.684841,0.004175,1.476753,0.0754442202186763,0.9942,1
Gaia EDR3 3129425528212453376,-0.021237,-0.011066,102.55366239548,5.73892786142,0.1753,0.1366,0.077,0.147,0.216,0.115,17.566906,0.003311,1.834875,0.030866459184139012,0.9974,1
Gaia EDR3 3129425463786337024,-0.002913,-0.019456,102.57207900557,5.73053784423,0.0693,0.4803,-0.063,0.549,0.483,0.481,19.006254,0.005062,1.541843,0.09370901439239437,0.9982,1
Gaia EDR3 3129425493856504192,0.008023,-0.015064,102.5830694526,5.73492976053,0.1709,0.3249,-0.002,0.347,0.243,0.275,18.841316,0.004088,1.569445,0.14925577669960235,0.9966,1
Gaia EDR3 3129425498150950144,0.002672,-0.015752,102.57769205023,5.73424214502,0.2272,0.1369,0.078,0.141,0.625,0.115,17.597248,0.003136,1.646742,0.0234171287233951,0.9977,1
Gaia EDR3 3129425493852709504,-0.00214,-0.013159,102.57285540832,5.7368352663,0.1707,0.2225,0.064,0.247,0.208,0.217,18.3254,0.003678,1.558682,0.043647819064518895,0.9974,1
Gaia EDR3 3129425532505857408,-0.01416,-0.020616,102.56077530914,5.72937742053,0.3706,0.2678,0.165,0.285,0.351,0.235,18.648312,0.003894,1.603546,0.05435727535722427,0.9984,1
Gaia EDR3 3129425257632791680,0.006118,-0.033273,102.58115494947,5.71672109549,0.2563,0.2714,0.173,0.313,0.622,0.247,18.762995,0.00398,1.480646,0.07318822986239515,0.9976,1
Gaia EDR3 3129425459492963840,-0.008241,-0.01732,102.56672439685,5.73267355799,0.1806,0.1098,0.346,0.115,0.499,0.093,17.271715,0.003004,1.063101,0.01909922806471099,0.9984,1
Gaia EDR3 3129425356413723520,-0.013372,-0.028682,102.56156736173,5.72131192651,0.3045,0.2125,0.175,0.235,0.605,0.186,18.395382,0.003499,1.745173,0.04484309885856206,0.998,1
Gaia EDR3 3129425459492948608,-0.004766,-0.024017,102.57021616412,5.72597725679,0.029,0.1435,-0.078,0.159,0.466,0.13,17.646433,0.003186,1.845146,0.02702862088188212,0.9983,1
Gaia EDR3 3129425253334505088,-0.001025,-0.029792,102.57397655185,5.72020174948,0.1213,0.2341,-0.071,0.239,0.276,0.197,18.29717,0.003688,1.859566,0.03453098045472667,0.9976,1
Gaia EDR3 3129425154553597952,-0.011036,-0.045826,102.56391529322,5.70416811203,0.2807,0.0884,-0.103,0.092,0.464,0.073,16.833477,0.002973,1.053206,0.01227527453502037,0.9897,1
Gaia EDR3 3129425532510702720,-0.021496,-0.013547,102.55340232112,5.73644671826,0.4175,0.3748,0.257,0.427,0.455,0.347,18.938587,0.004908,1.452324,0.06189776306848877,0.9981,1
Gaia EDR3 3129425257632789248,0.001938,-0.026338,102.57695406702,5.72365616698,-0.0006,0.2484,0.058,0.262,0.682,0.226,18.452997,0.003893,1.571127,0.07462150690494254,0.9979,1
Gaia EDR3 3129425360707194624,-0.018496,-0.025738,102.55641816803,5.72425527822,0.2656,0.356,-0.167,0.375,0.468,0.289,18.769594,0.004323,1.806761,0.10220515572738495,0.9974,1
Gaia EDR3 3129425459492953600,-0.006504,-0.021497,102.56846961266,5.72849671807,-0.1537,0.2031,0.059,0.217,0.409,0.17,18.150146,0.003584,1.62282,0.029736486250068257,0.9986,1
Gaia EDR3 3129431167502849792,0.019911,-0.017915,102.59501724616,5.73207820579,0.0838,0.2648,0.011,0.304,0.713,0.251,18.723745,0.004059,,,0.9948,1
Gaia EDR3 3129425463791225600,-0.012716,-0.020443,102.56222635148,5.72955080862,0.3512,0.3039,-0.09,0.331,0.562,0.262,18.86855,0.004482,1.607855,0.06238554576484686,0.998,1
Gaia EDR3 3129425566870422016,-0.006425,-0.000554,102.56854930499,5.7494399111,-0.1515,0.2074,0.036,0.214,0.487,0.182,18.246048,0.00359,1.416721,0.03360338351711531,0.9944,1
Gaia EDR3 3129425253334502656,0.007842,-0.031419,102.58288818519,5.71857541716,-0.1816,0.2127,0.089,0.173,0.459,0.143,17.937561,0.003429,1.506132,0.03804391641766067,0.9979,1
Gaia EDR3 3129425459492938496,-0.003764,-0.030666,102.57122355249,5.71932818668,0.2321,0.2796,-0.198,0.295,0.565,0.255,18.717056,0.004241,1.506065,0.05685668456135204,0.9968,1
Gaia EDR3 3129425360712020992,-0.010474,-0.035485,102.56447998647,5.71450887857,-0.0582,1.0506,0.364,1.203,0.619,1.103,19.857992,0.009335,1.516239,0.10496028382142213,0.9964,1
Gaia EDR3 3129425463791218688,3.1e-05,-0.0241,102.57503777953,5.7258944785,0.0454,0.2137,0.488,0.244,0.353,0.21,18.355482,0.00375,1.490231,0.03538530358183592,0.9979,1
Gaia EDR3 3129425528216103808,-0.015766,-0.009932,102.55916144684,5.74006149525,-0.1945,0.2051,0.084,0.251,0.197,0.218,18.332035,0.003691,1.859396,0.03639345632152557,0.9974,1
Gaia EDR3 3129425154548795008,-0.010016,-0.04636,102.5649409881,5.70363409651,-0.0511,0.1989,0.491,0.219,0.482,0.184,18.349033,0.003608,1.41597,0.046663173765384355,0.991,1
Gaia EDR3 3129425287694249472,0.015311,-0.027493,102.59039429264,5.72250127449,-0.0863,0.2417,0.308,0.251,0.122,0.217,18.584911,0.003925,1.524012,0.04503895938362144,0.995,1
Gaia EDR3 3129425566870427264,-0.005109,-0.009134,102.56987172334,5.74086008524,-0.0201,0.2024,0.53,0.23,0.425,0.206,18.34584,0.003579,1.514273,0.04137176096705923,0.9971,1
