EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 5588818158046576512,-0.02705,0.027705,114.65911506055,-33.81563033662,0.0645,0.0617,-0.5,0.059,1.216,0.067,17.264132,0.002869,1.870579,0.011367514972506126,0.9951,1
Gaia EDR3 5588805960339462272,-0.020442,-0.007346,114.66705916896,-33.8506829895,0.0684,0.0472,-0.498,0.045,1.195,0.046,16.692905,0.002818,1.984431,0.010084339918280503,0.9977,1
Gaia EDR3 5588806127837945216,-0.009272,-0.001352,114.68050953545,-33.84469054488,0.0918,0.042,-0.501,0.04,1.228,0.042,16.49048,0.002811,1.894923,0.00795352985499787,0.9985,1
Gaia EDR3 5588806441375783424,-0.014872,0.038155,114.67377502867,-33.80518328626,0.0671,0.0687,-0.47,0.066,1.237,0.073,17.466528,0.00289,1.951366,0.0138439749774203,0.9925,1
Gaia EDR3 5588805685461552128,-0.007557,-0.018532,114.6825730341,-33.86187105605,0.068,0.0261,-0.528,0.024,1.247,0.027,15.450759,0.002783,2.185473,0.005495749781122027,0.9976,1
Gaia EDR3 5588806166497877120,-0.001701,0.010391,114.68962527194,-33.83294828143,0.0599,0.0353,-0.499,0.033,1.271,0.036,16.151241,0.002797,1.90957,0.007189889630342972,0.9982,1
Gaia EDR3 5588806132138146048,-0.003799,-0.012,114.68709840661,-33.85533946798,0.0764,0.0423,-0.446,0.04,1.23,0.043,16.566193,0.002807,1.895929,0.007191841944547671,0.9983,1
Gaia EDR3 5588806029058941696,-0.035087,0.011825,114.64943354713,-33.83150668438,0.0236,0.0218,-0.515,0.022,1.254,0.023,15.137215,0.002785,2.258265,0.0053975565523845,0.9957,1
Gaia EDR3 5588818153746434176,-0.032227,0.021278,114.65288080461,-33.8220557008,0.0616,0.1371,-0.459,0.138,1.164,0.147,18.655329,0.003244,1.862564,0.03167302716847733,0.9955,1
Gaia EDR3 5588805337563919616,0.01794,-0.017611,114.71327744877,-33.86094835937,0.0422,0.0659,-0.444,0.062,1.182,0.066,17.244951,0.002859,1.880278,0.010380709761463365,0.9971,1
Gaia EDR3 5588806132138143872,-0.005349,0.00013,114.68523256804,-33.84320901847,0.0478,0.0569,-0.436,0.054,1.276,0.057,17.118773,0.002851,1.874559,0.00938883315603287,0.9985,1
Gaia EDR3 5588806063418665728,0.005042,-0.015708,114.69774446767,-33.85904707095,0.0737,0.0572,-0.415,0.051,1.241,0.057,17.001099,0.002856,1.817282,0.009083645692170225,0.9979,1
Gaia EDR3 5588805651101991424,-0.01155,-0.044737,114.67775910786,-33.88807514399,-0.0068,0.0325,-0.526,0.031,1.268,0.034,15.820371,0.002789,2.092941,0.006090289068544033,0.9869,1
