_r _x _y _p EDR3Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS Source SolID RandomI Epoch Plx e_Plx RPlx PM pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000 BPmag-RPmag e_BPmag-RPmag
0.179765 -0.099146 -0.149952 213.5 "Gaia EDR3 3358163219969190272" 103.22145903784 0.3933 16.76701557430 0.4055 3358163219969190272 1636042515805110273 1266400321 2016.0 -0.0995 0.3708 -0.2684 1.420 -0.638 0.504 -1.268 0.468 -0.5386 0.1004 0.1388 -0.4343 -0.4011 -0.4795 0.2911 0.2581 0.0349 -0.4730 124 0 122 2 0.8292 135.02 0.759 1 31 0 1.465 "" "" "" "" "" "" "" 14 12 0.85884 15 6 0 0.26 1e+02 0 0 1.052 0.27 0.46 0.4 0.94 -111.787 41.323 -23.211 -41.979 0 121 468.4 1.951 240.067 19.010748 0.005296 14 218.9 14.46 15.136 19.487904 0.071784 14 313.5 10.98 28.546 18.507166 0.038222 0 0 0 0 0 1.137 0.980738 0.477156 0.503582 "" "" 0 "" "" "" 198.0753024298 7.8700121881 102.7228396979 -6.0902262697 128121032214740908 1237679584839796584 "" 534117802 19.010748 0.005296 468.4 -0.078 103.22146200062 8.0134 16.76702121006 7.3816 -0.4359 0.9807647555581234 0.08132726290027846
0.195074 -0.126993 -0.148077 220.6 "Gaia EDR3 3358163254332415360" 103.19237427469 0.7233 16.76887402918 0.7705 3358163254332415360 1636042515805110273 1500982002 2016.0 0.0192 0.8029 0.0239 3.591 -0.696 1.120 -3.523 1.070 -0.4782 0.1328 -0.1780 -0.0201 -0.4930 -0.1580 -0.1401 0.3261 -0.0727 -0.6342 147 0 147 0 -1.4104 124.75 0.000 1.7e-15 95 0 "" 1.3680 0.1941 0.009 0.179 -0.432 -0.184 0.116 17 13 1.9418 19 7 0 0.27 93 1 0 0.915 0.35 0.47 0.47 0.94 -113.246 41.460 -21.792 -41.964 0 147 170.2 1.323 128.680 20.109959 0.008876 17 55.1 7.998 6.890 20.985584 0.157614 17 154.8 9.352 16.553 19.273357 0.065698 0 0 0 0 0 1.233 1.712227 0.875626 0.836601 "" "" 0 "" "" "" 198.0612711819 7.8458093979 102.6947799014 -6.0909207840 128121031923803127 1237679584839796542 "" "" 20.105855 0.008846 170.9 -0.063 103.19237750330 18.0627 16.76888968890 17.2483 -0.6177 1.7122566083678663 0.17075830958864724
0.196567 -0.127888 -0.149276 220.6 "Gaia EDR3 3358163258627117056" 103.19144015632 0.1409 16.76767496554 0.1368 3358163258627117056 1636042515805110273 178484930 2016.0 0.1890 0.1463 1.2916 1.285 -1.026 0.191 -0.774 0.193 -0.2780 -0.0870 -0.3736 0.1123 -0.3226 0.1552 -0.4408 -0.0378 0.2906 -0.4263 178 0 178 0 -0.8614 163.52 0.000 0 31 0 1.507 "" "" "" "" "" "" "" 20 15 0.32516 22 9 0 0.31 93 0 0 0.952 0.29 0.24 0.38 0.94 -116.422 33.072 -20.990 -41.061 0 177 1176 2.155 545.637 18.011414 0.003399 22 585.1 10.79 54.202 18.420513 0.020225 22 846.1 10.21 82.863 17.429344 0.013637 0 1 0 1 0 1.217 0.991169 0.409100 0.582069 "" "" 0 "" "" "" 198.0619620298 7.8444792383 102.6939942681 -6.0921964933 128121031914411709 1237679584839796540 "" 534117687 18.011414 0.003399 1176 0.001 103.19144491899 3.1130 16.76767840669 3.1450 -0.4225 0.9911627573835382 0.024392167733954594
0.178128 -0.106595 -0.142713 216.8 "Gaia EDR3 3358163288687905792" 103.21367421105 0.0199 16.77425105129 0.0191 3358163288687905792 1636042515805110273 274145821 2016.0 0.7698 0.0243 31.6747 8.499 7.457 0.025 -4.078 0.024 0.0180 -0.2798 -0.1991 -0.0949 -0.4670 -0.0213 -0.2925 0.0475 0.3451 -0.1848 176 0 176 0 7.8275 375.48 0.113 8.9 31 0 1.603 "" "" "" "" "" "" "" 20 15 0.036993 22 9 0 0.29 93 0 0 1.450 0.34 0.17 0.47 0.93 -109.346 21.035 -21.095 -40.335 0 170 1.003e+05 25.31 3961.995 13.184321 0.002769 21 5.863e+04 32.41 1808.954 13.418280 0.002854 21 5.997e+04 47.77 1255.468 12.803000 0.003877 0 0 0 0 0 1.183 0.615280 0.233958 0.381322 "" "" 0 "" "" "" 198.0654359106 7.8664927853 102.7147095785 -6.0837028943 128121032136709604 1237679584839794956 "" 534117776 13.184321 0.002769 1.003e+05 -0.004 103.21363959666 0.3984 16.77426917690 0.3892 -0.1742 0.61527345135522 0.004814242018600333
0.185478 -0.109617 -0.149620 216.2 "Gaia EDR3 3358163288688667648" 103.21052279016 0.2741 16.76734236018 0.2648 3358163288688667648 1636042515805110273 325963464 2016.0 0.3456 0.2911 1.1873 1.097 -0.277 0.353 -1.061 0.337 -0.3121 -0.0509 -0.0789 -0.2961 -0.3471 -0.2966 -0.0063 0.0676 0.2598 -0.3433 167 0 167 0 0.1618 171.35 0.000 0 31 0 1.479 "" "" "" "" "" "" "" 19 15 0.55766 20 7 0 0.14 93 1 0 1.007 0.3 0.28 0.43 0.94 -106.596 35.261 -23.019 -41.235 0 165 494.1 1.624 304.348 18.952763 0.004508 17 220.4 8.587 25.669 19.480474 0.042390 18 345.1 10.82 31.894 18.403019 0.034251 0 0 0 0 0 1.144 1.077455 0.527712 0.549744 "" "" 0 "" "" "" 198.0703641083 7.8607480411 102.7123230424 -6.0908585278 128121032105211296 1237679584839796563 "" "" 18.952763 0.004508 494.1 -0.080 103.21052407470 5.6751 16.76734707621 5.3931 -0.3131 1.0774308775817012 0.05449730539567502
0.187940 -0.121624 -0.143280 220.3 "Gaia EDR3 3358163288688677248" 103.19797802211 5.1129 16.77367493416 4.7975 3358163288688677248 1636042515805110273 737764236 2016.0 "" "" "" "" "" "" "" "" -0.3844 "" "" "" "" "" "" "" "" "" 92 0 89 3 33.1673 1659.43 26.556 72 3 0 "" "" "" "" "" "" "" "" 12 10 10.578 12 2 0 0.054 97 6 0 "" 0.35 0.29 0.5 0.91 -52.705 33.011 -30.994 -39.731 0 90 108.4 2.072 52.335 20.599297 0.020928 10 394.4 42.52 9.276 18.848768 0.117087 10 866.7 85.28 10.163 17.403214 0.106898 0 0 0 0 0 11.628 1.445555 -1.750528 3.196083 "" "" 0 "" "" "" 198.0592960617 7.8527381594 102.6997122975 -6.0856499952 128121031980908854 1237679584839796496 "" 534117719 20.599297 0.020928 108.4 10.365 103.19797802211 5.1129 16.77367493416 4.7975 -0.3844 1.4455715980426902 0.15854663383500947
0.178169 -0.109099 -0.140860 217.8 "Gaia EDR3 3358163292984880768" 103.21105810401 10.5047 16.77610282244 11.9156 3358163292984880768 1636042515805110273 1604334474 2016.0 "" "" "" "" "" "" "" "" -0.9882 "" "" "" "" "" "" "" "" "" 79 0 79 0 1.9598 99.68 3.285 1.6 3 0 "" "" "" "" "" "" "" "" 9 7 34.047 9 3 0 0.23 12 0 0 "" 0.54 0.57 0.71 0.93 -111.490 41.759 -20.480 -41.482 0 78 98.42 1.321 74.521 20.704659 0.014828 5 56.55 21 2.693 20.957410 0.403182 8 99.54 16.71 5.957 19.752913 0.182308 0 0 0 0 0 1.586 1.204498 0.252752 0.951746 "" "" 0 "" "" "" 198.0626460662 7.8650555986 102.7120309008 -6.0820878943 128131032110601734 1237679584839794960 "" "" 20.704659 0.014828 98.42 0.349 103.21105810401 10.5047 16.77610282244 11.9156 -0.9882 1.2044907666918263 0.4424806199987885
0.187846 -0.115125 -0.148432 217.8 "Gaia EDR3 3358163292986849920" 103.20476890842 0.4576 16.76852655205 0.4922 3358163292986849920 1636042515805110273 1240025282 2016.0 1.0419 0.5067 2.0565 11.362 -0.623 0.589 -11.345 0.490 -0.3661 0.0972 -0.0445 -0.4071 -0.5578 -0.4999 0.0359 0.2958 0.1245 -0.2503 143 9 143 0 0.5293 153.95 0.402 0.18 95 0 "" 1.3420 0.1123 -0.052 0.209 -0.380 -0.026 -0.094 16 12 0.90356 17 8 0 0.085 6.9 0 0 1.030 "" "" "" "" "" "" "" "" 0 135 320.4 1.567 204.462 19.423264 0.005982 13 56.47 9.588 5.890 20.958897 0.184354 14 357.7 9.48 37.737 18.363997 0.029018 0 0 0 0 1 1.293 2.594900 1.535633 1.059267 "" "" 0 "" "" "" 198.0668477622 7.8563185467 102.7066968773 -6.0901828389 128121032047692724 1237679584839797454 "" "" 19.403972 0.005900 326.1 -0.128 103.20477179868 9.4634 16.76857697553 7.8311 -0.1997 2.59489458464045 0.18662489224280576
0.189540 -0.122425 -0.144698 220.2 "Gaia EDR3 3358163292986851456" 103.19714276828 0.1141 16.77225648889 0.1075 3358163292986851456 1636042515805110273 1606910102 2016.0 0.3653 0.1276 2.8620 2.202 -0.236 0.145 -2.190 0.130 -0.1239 -0.1074 -0.2987 -0.0181 -0.3865 -0.0062 -0.3645 0.0417 0.2748 -0.1781 192 0 192 0 -0.3354 187.44 0.000 0 31 0 1.524 "" "" "" "" "" "" "" 22 17 0.21224 24 10 0 0.09 91 0 0 0.981 0.28 0.19 0.44 0.9 -100.017 20.832 -21.342 -39.881 0 190 1450 2.096 691.575 17.784014 0.003171 23 725.8 9.123 79.555 18.186525 0.013930 20 1054 13.23 79.664 17.191280 0.014143 0 0 0 0 0 1.227 0.995245 0.402512 0.592733 "" "" 0 "" "" "" 198.0602278981 7.8513967333 102.6990416894 -6.0871355514 128121031971547206 1237679584839796495 "" 534117714 17.784014 0.003171 1450 0.011 103.19714386463 2.3499 16.77226622091 2.1206 -0.1711 0.9952205297145369 0.019851913516271635
0.208221 -0.147908 -0.146558 225.3 "Gaia EDR3 3358163357408149120" 103.17052838977 0.6044 16.77037843212 0.5858 3358163357408149120 1636042515805110273 1125126010 2016.0 0.9666 0.5880 1.6438 4.036 -1.324 0.797 -3.813 0.681 -0.3073 0.1346 -0.3653 -0.0868 -0.4356 -0.1902 -0.3079 0.2602 0.0057 -0.2887 151 0 149 2 1.0713 170.13 1.328 1.2 31 0 1.382 "" "" "" "" "" "" "" 17 13 1.1963 18 9 0 0.28 91 0 0 1.061 0.22 0.34 0.4 0.88 -70.937 34.871 -26.549 -40.370 0 149 249 1.515 164.367 19.696966 0.007157 15 84.98 7.314 11.619 20.515274 0.093489 16 223.8 8.597 26.030 18.873283 0.041882 0 0 0 0 0 1.240 1.641991 0.818308 0.823683 "" "" 0 "" "" "" 198.0506325737 7.8276792720 102.6736939993 -6.0913307387 128121031705664837 "" "" "" 19.696966 0.007157 249 -0.047 103.17053453672 12.9837 16.77039537657 11.0895 -0.2655 1.6419821494565312 0.10244158925685
