_r _x _y _p EDR3Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS Source SolID RandomI Epoch Plx e_Plx RPlx PM pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000 BPmag-RPmag e_BPmag-RPmag
0.202417 -0.138209 -0.147888 223.1 "Gaia EDR3 2922126457769226496" 102.09854297419 0.0960 -24.14781978663 0.1531 2922126457769226496 1636042515805110273 737524958 2016.0 1.5003 0.1937 7.7475 17.089 9.619 0.130 14.125 0.186 0.0712 0.0574 -0.0068 0.1334 0.2164 0.1600 -0.0972 0.0588 0.0889 0.0614 618 0 615 3 0.8433 702.22 0.458 1.1 95 0 "" 1.2565 0.0359 -0.107 -0.040 -0.089 -0.051 0.056 71 29 0.25839 77 31 0 0.013 1.3e+02 0 0 1.024 0.31 0.37 0.099 0.084 -77.909 -82.597 42.670 36.999 0 619 479.3 0.7957 602.380 18.985810 0.003292 67 98.46 5.121 19.227 20.355402 0.056538 64 557.7 4.444 125.485 17.881878 0.009442 0 1 0 0 0 1.369 2.473524 1.369593 1.103931 "" "" 0 "" "" "" 234.3858359887 -11.3805505820 106.2567161551 -46.9066382491 79021020985142905 "" 48952302 "" 18.968618 0.003277 487 -0.034 102.09849612565 2.0779 -24.14788256493 2.9910 0.0468 2.4735292892180993 0.057321490008163375
0.201162 -0.140034 -0.144417 224.1 "Gaia EDR3 2922126462067918848" 102.09654666671 0.0175 -24.14434690819 0.0261 2922126462067918848 1636042515805110273 1234342050 2016.0 0.0332 0.0334 0.9943 0.993 -0.044 0.024 0.992 0.033 0.0399 0.0261 -0.0376 0.1552 0.0516 0.1707 -0.1787 0.0812 0.0237 0.0432 639 0 634 5 -1.8387 588.37 0.000 0 31 0 1.438 "" "" "" "" "" "" "" 73 29 0.046496 79 32 0 0.012 1.2e+02 0 0 0.948 0.32 0.34 0.14 0.073 -87.936 -83.286 33.933 -43.051 0 638 7383 2.167 3407.239 16.016739 0.002774 70 3011 7.778 387.072 16.641844 0.003956 68 6238 6.807 916.481 15.260223 0.003961 0 0 0 0 0 1.253 1.381620 0.625105 0.756516 "" "" 0 "" "" "" 234.3818407321 -11.3807473377 106.2534495324 -46.9034135968 79021020965247089 "" 48952321 "" 16.016739 0.002774 7383 -0.004 102.09654687886 0.3892 -24.14435131737 0.5384 0.0276 1.3816075349824555 0.005598219151649762
0.202011 -0.144504 -0.141164 225.7 "Gaia EDR3 2922126530782852736" 102.09165288679 0.3656 -24.14108838563 0.6418 2922126530782852736 1636042515805110273 1020870408 2016.0 1.1135 0.8508 1.3086 5.195 -3.493 0.509 3.845 0.866 0.0649 0.2001 0.1713 0.0206 0.0805 0.0610 0.2487 0.1425 -0.0510 0.0725 404 0 403 1 1.6893 472.06 1.056 0.46 95 0 "" 1.5739 0.1475 -0.340 -0.022 -0.146 -0.132 0.034 47 21 1.2127 52 19 0 0.054 1.5e+02 1 0 1.060 0.41 0.48 0.12 0.17 -101.594 -87.661 31.425 23.966 0 408 107.7 0.6316 170.540 20.606667 0.006937 31 38.05 5.721 6.651 21.387575 0.163259 43 125.2 7.158 17.493 19.503794 0.062182 0 0 0 1 0 1.516 1.883781 0.780909 1.102873 "" "" 0 "" "" "" 234.3769125396 -11.3834342407 106.2463805828 -46.9007241281 79031020916741000 "" "" "" 20.599823 0.006900 108.4 0.197 102.09166990121 8.0865 -24.14110547553 13.7037 0.0701 1.8837719527023502 0.17470066334926304
0.202654 -0.143486 -0.143109 225.1 "Gaia EDR3 2922126530782853888" 102.09276532290 0.3607 -24.14303448762 0.5653 2922126530782853888 1636042515805110273 1127729529 2016.0 0.9797 0.8231 1.1902 6.617 6.577 0.469 -0.731 0.669 0.0884 0.1794 -0.0029 0.0434 0.1930 0.0860 -0.0742 0.1057 0.0848 0.1043 455 0 451 4 2.8867 621.29 2.119 4.2 95 0 "" 1.0934 0.1399 -0.253 0.026 -0.200 -0.046 0.117 53 24 0.93251 56 20 0 0.076 1.6e+02 0 0 1.098 0.37 0.38 0.099 0.16 -77.323 -84.104 54.600 29.818 0 456 111.8 0.5683 196.678 20.566504 0.006170 41 36.92 3.655 10.099 21.420490 0.107542 52 118.1 4.767 24.778 19.567053 0.043980 0 1 0 2 0 1.387 1.853437 0.853987 0.999451 "" "" 0 "" "" "" 234.3791489650 -11.3833290827 106.2482026051 -46.9025318981 79021020927498608 "" "" "" 20.560161 0.006141 112.4 0.072 102.09273329105 7.5064 -24.14303124081 10.7567 0.0973 1.8533893370822945 0.11618564024383617
0.190449 -0.126426 -0.142433 221.6 "Gaia EDR3 2922126560848448768" 102.11146139754 0.2100 -24.14237658386 0.3400 2922126560848448768 1636042515805110273 1232269568 2016.0 0.4422 0.4513 0.9798 3.052 -0.873 0.281 2.925 0.392 0.0407 0.0777 -0.0749 0.1095 0.3367 0.1613 -0.1059 0.1068 0.0801 0.0424 555 0 553 2 -0.0071 576.33 0.000 0 95 0 "" 1.3189 0.0812 -0.207 -0.081 -0.128 -0.050 0.056 64 28 0.54554 69 29 0 0.027 1.3e+02 0 0 0.999 0.36 0.39 0.11 0.064 -87.871 -83.687 36.217 37.230 0 556 175.6 0.5505 318.947 20.076134 0.004379 57 62.26 6.148 10.126 20.853096 0.107260 62 143.1 3.922 36.482 19.358969 0.030000 0 0 0 0 0 1.169 1.494127 0.776962 0.717165 "" "" 0 "" "" "" 234.3858406680 -11.3675663366 106.2728680132 -46.8997965490 79021021114539421 "" "" "" 20.075107 0.004377 175.8 -0.100 102.11146564880 4.5096 -24.14238958392 6.3229 0.0283 1.4941410144900047 0.11137471141636023
0.194498 -0.132323 -0.142549 222.9 "Gaia EDR3 2922126560848449408" 102.10499948125 0.0706 -24.14248686837 0.1093 2922126560848449408 1636042515805110273 592793194 2016.0 -0.0051 0.1398 -0.0364 1.303 -0.726 0.095 1.082 0.135 0.0715 0.0228 -0.0521 0.1342 0.1457 0.1552 -0.1531 0.0796 0.0860 0.0651 633 0 632 1 -0.3817 638.98 0.000 0 31 0 1.463 "" "" "" "" "" "" "" 73 30 0.18819 79 35 0 0.014 1.4e+02 0 0 0.989 0.3 0.35 0.13 0.085 -83.149 -80.401 38.705 41.433 0 632 710.3 0.8595 826.425 18.558739 0.003053 73 315.9 4.835 65.326 19.089754 0.016853 71 556.8 6.179 90.112 17.883665 0.012628 0 3 0 2 0 1.229 1.206089 0.531015 0.675074 "" "" 0 "" "" "" 234.3834192236 -11.3729652035 106.2643222043 -46.9006260819 79021021048849358 "" 48952328 "" 18.558739 0.003053 710.3 -0.009 102.10500301695 1.5250 -24.14249167761 2.1772 0.0506 1.2060698983763416 0.021058762737675152
0.191604 -0.129511 -0.141205 222.5 "Gaia EDR3 2922126560848450944" 102.10808274781 0.1970 -24.14114573670 0.3310 2922126560848450944 1636042515805110273 608833839 2016.0 0.0470 0.4324 0.1086 1.710 -1.417 0.267 0.956 0.390 0.0549 0.1022 -0.0879 0.0906 0.2878 0.0951 -0.0768 0.0015 0.0243 0.0690 583 0 579 4 -0.4220 592.89 0.000 0 31 0 1.444 "" "" "" "" "" "" "" 67 28 0.54155 73 30 0 0.033 1.5e+02 0 0 0.987 0.31 0.4 0.12 0.11 -79.548 -85.432 41.635 29.916 0 584 178.2 0.5886 302.828 20.059784 0.004522 63 81.01 4.795 16.896 20.567148 0.064321 65 130 4.337 29.982 19.462778 0.036410 0 0 0 1 0 1.184 1.104370 0.507364 0.597006 "" "" 0 "" "" "" 234.3833815526 -11.3698485439 106.2681695381 -46.8989514535 79031021080721011 "" "" "" 20.059784 0.004522 178.2 -0.043 102.10808964947 4.2875 -24.14114998672 6.2784 0.0593 1.1043554225048524 0.0739113685413084
0.188875 -0.130997 -0.136064 223.9 "Gaia EDR3 2922126560848458624" 102.10645985384 0.0333 -24.13600349799 0.0518 2922126560848458624 1636042515805110273 228041087 2016.0 -0.0167 0.0658 -0.2533 1.842 -0.645 0.046 1.726 0.063 0.0087 0.0074 -0.0444 0.1545 0.1800 0.1774 -0.1279 0.0646 0.0530 0.0397 585 0 581 4 0.6853 622.93 0.061 0.15 31 0 1.633 "" "" "" "" "" "" "" 67 29 0.087288 73 33 0 0.014 1.3e+02 0 0 1.020 0.25 0.36 0.12 0.082 -94.830 -86.326 33.012 -44.584 0 589 2442 1.585 1540.573 17.217840 0.002844 67 1496 8.1 184.707 17.401093 0.006507 65 1353 7.036 192.320 16.919493 0.006794 0 3 0 1 0 1.167 0.481600 0.183252 0.298347 "" "" 0 "" "" "" 234.3779865759 -11.3690353552 106.2650995842 -46.8940285115 79031021064177125 "" 48952329 "" 17.217840 0.002844 2442 -0.011 102.10646299597 0.7319 -24.13601116738 1.0113 0.0233 0.4815775576271548 0.00940697530950238
0.188909 -0.128966 -0.138038 223.1 "Gaia EDR3 2922126565142574080" 102.10868312367 0.3956 -24.13797901122 0.7338 2922126565142574080 1636042515805110273 1778205405 2016.0 2.3558 0.9091 2.5913 9.718 6.257 0.541 -7.436 0.902 -0.0026 0.1256 0.1104 -0.0363 0.1822 -0.0328 0.1274 0.0896 0.0867 -0.0616 426 0 422 4 -0.1120 530.63 2.509 2.3 95 0 "" 1.1739 0.1541 -0.128 0.002 -0.202 -0.052 0.018 49 24 1.2557 52 18 0 0.029 1.2e+02 0 0 0.995 0.28 0.49 0.071 0.17 -97.213 89.536 32.749 16.515 0 422 96.53 0.6025 160.218 20.725710 0.007315 33 30.27 4.361 6.940 21.636106 0.156478 47 120.3 3.904 30.805 19.547462 0.035448 0 0 0 0 0 1.560 2.088644 0.910397 1.178247 "" "" 0 "" "" "" 234.3806839844 -11.3680225616 106.2683994295 -46.8957415251 79031021087324777 "" "" "" 20.715353 0.007256 97.46 0.212 102.10865265064 8.6285 -24.13794596242 14.3621 -0.0588 2.088616512720165 0.16044542430225853
0.197022 -0.133306 -0.145076 222.6 "Gaia EDR3 2922126565142586496" 102.10391942147 0.2225 -24.14501279972 0.3517 2922126565142586496 1636042515805110273 462889346 2016.0 0.5904 0.4570 1.2917 2.021 -1.710 0.297 1.077 0.419 0.0500 0.0665 -0.1045 0.0961 0.2212 0.1231 -0.0866 0.0287 0.0556 0.0578 583 0 580 3 1.9494 705.67 1.467 2.2 95 0 "" 1.2107 0.0864 -0.175 -0.010 -0.109 -0.038 0.066 67 29 0.5821 73 32 0 0.021 1.4e+02 0 0 1.057 0.34 0.38 0.12 0.12 -77.827 -83.490 42.411 31.771 0 577 178.2 0.5985 297.682 20.060368 0.004571 60 49.44 3.611 13.693 21.103300 0.079343 68 222.8 4.26 52.300 18.877981 0.021101 0 1 0 0 0 1.528 2.225319 1.042933 1.182386 "" "" 0 "" "" "" 234.3853362689 -11.3749195739 106.2633418328 -46.9032534402 79021021039116287 "" 48952327 "" 20.047587 0.004537 180.3 0.162 102.10392775182 4.7754 -24.14501758835 6.7479 0.0464 2.225340769048806 0.08210146989500466
