_r _x _y _p EDR3Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS Source SolID RandomI Epoch Plx e_Plx RPlx PM pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000 BPmag-RPmag e_BPmag-RPmag
0.191176 0.122700 -0.146604 140.1 "Gaia EDR3 3111702465922678784" 110.35609162289 0.2070 1.66144105962 0.1919 3111702465922678784 1636042515805110273 1187972835 2016.0 -0.0938 0.2422 -0.3873 0.582 -0.486 0.239 -0.321 0.215 -0.2465 -0.0211 -0.4187 0.1109 -0.3528 0.0338 -0.1175 0.2277 -0.1382 -0.2408 192 0 192 0 -0.3624 187.23 0.000 0 31 0 1.513 "" "" "" "" "" "" "" 22 14 0.36841 22 9 0 0.1 98 0 0 0.980 0.23 0.27 0.26 0.83 -87.148 36.715 -27.101 -41.104 0 192 581.5 1.476 393.866 18.776054 0.003898 21 292.2 9.847 29.676 19.174328 0.036693 20 425.6 9.613 44.269 18.175486 0.024815 0 1 0 2 0 1.234 0.998842 0.398273 0.600569 "" "" 0 "" "" "" 214.8773176625 7.4283551103 111.7540871881 -20.2536895178 109991103561583899 "" "" "" 18.776054 0.003898 581.5 0.018 110.35609378337 3.9192 1.66144248694 3.4712 -0.2417 0.9988481345630369 0.04429670151744161
0.189598 0.122914 -0.144360 139.6 "Gaia EDR3 3111702465922681856" 110.35630519381 0.4781 1.66368558768 0.4211 3111702465922681856 1636042515805110273 591492507 2016.0 1.1388 0.5413 2.1040 5.336 0.160 0.468 -5.334 0.396 -0.4164 0.1622 -0.3637 0.0046 -0.4407 0.0593 -0.0802 0.2617 -0.2812 -0.1767 174 0 172 2 -1.4365 150.48 0.000 0 95 0 "" 1.2760 0.1445 -0.423 0.281 -0.313 -0.057 0.278 21 13 0.71136 21 10 0 0.027 85 0 0 0.920 0.24 0.39 0.31 0.76 -75.721 37.609 -24.597 -40.557 0 172 239.3 1.27 188.428 19.739986 0.006387 20 87.7 10.6 8.276 20.481077 0.131224 17 221.5 8.977 24.674 18.884510 0.044165 0 1 0 0 0 1.292 1.596567 0.741091 0.855476 "" "" 0 "" "" "" 214.8754016871 7.4295691485 111.7539593945 -20.2514380503 109991103563656867 "" "" "" 19.737580 0.006375 239.8 0.010 110.35630448431 7.6748 1.66370929308 6.3831 -0.1769 1.59657022433176 0.13845908288587394
0.190379 0.126848 -0.141964 138.2 "Gaia EDR3 3111702470217308288" 110.36024082360 0.3407 1.66608077652 0.3184 3111702470217308288 1636042515805110273 395441803 2016.0 -0.0839 0.3962 -0.2117 2.691 -1.702 0.369 -2.085 0.313 -0.3499 0.0072 -0.4149 0.0977 -0.3716 0.0445 -0.1125 0.2581 -0.2165 -0.2022 170 0 169 1 0.0919 172.49 0.000 0 31 0 1.428 "" "" "" "" "" "" "" 20 13 0.56241 20 9 0 0.044 96 0 0 1.003 0.22 0.43 0.29 0.78 -86.213 39.718 -23.965 -41.083 0 168 332.6 1.305 254.805 19.382488 0.005074 19 161.7 10.23 15.814 19.816673 0.068715 18 290.1 14.69 19.749 18.591570 0.055107 0 1 0 2 0 1.358 1.225103 0.434185 0.790918 "" "" 0 "" "" "" 214.8750623444 7.4341626014 111.7577301073 -20.2484888025 109991103602469712 "" "" "" 19.382488 0.005074 332.6 0.119 110.36024839288 6.0454 1.66609004170 5.0534 -0.2049 1.2251363581177905 0.08808259431109594
0.191681 0.127344 -0.143266 138.4 "Gaia EDR3 3111702470220841984" 110.36073692689 0.0624 1.66477962097 0.0563 3111702470220841984 1636042515805110273 1253894078 2016.0 0.5631 0.0707 7.9631 2.339 -2.290 0.073 -0.473 0.064 -0.2619 -0.0720 -0.4019 0.2178 -0.2826 0.1255 -0.2127 0.2524 -0.1208 -0.2937 197 0 195 2 3.8027 285.34 0.255 3.3 31 0 1.495 "" "" "" "" "" "" "" 23 15 0.1141 23 10 0 0.075 1.1e+02 0 0 1.199 0.24 0.25 0.29 0.8 -77.362 32.365 -26.517 -40.440 0 196 5053 6.221 812.300 16.428413 0.003062 21 2468 16.55 149.168 16.857565 0.007795 20 3904 10.37 376.306 15.769149 0.004755 0 1 0 0 0 1.261 1.088416 0.429152 0.659265 "" "" 0 "" "" "" 214.8764581642 7.4340102217 111.7584574675 -20.2497025723 109991103607348205 "" "" 459079556 16.428413 0.003062 5053 0.036 110.36074711079 1.1893 1.66478172534 1.0379 -0.3021 1.0883985191857448 0.009130743763366018
0.181641 0.107802 -0.146192 143.6 "Gaia EDR3 3111702500282418048" 110.34118715679 0.3804 1.66185411231 0.3589 3111702500282418048 1636042515805110273 1483430165 2016.0 -0.1846 0.4435 -0.4162 1.169 -1.139 0.395 -0.264 0.319 -0.3993 0.0721 -0.4570 0.1747 -0.4276 0.1160 -0.2253 0.2209 -0.2026 -0.1826 173 0 172 1 -1.2295 152.15 0.000 0 31 0 1.501 "" "" "" "" "" "" "" 20 12 0.61185 20 10 0 0.081 1e+02 0 0 0.932 0.3 0.45 0.39 0.73 -70.139 37.929 -24.995 -40.080 0 172 297.3 1.175 252.949 19.504477 0.005101 20 156.1 8.191 19.057 19.855143 0.057042 20 195.2 9.926 19.667 19.021605 0.055335 0 3 0 0 0 1.182 0.833538 0.350666 0.482872 "" "" 0 "" "" "" 214.8700922575 7.4152863856 111.7383156510 -20.2554775208 109991103411514670 "" "" "" 19.504477 0.005101 297.3 -0.021 110.34119222278 6.5042 1.66185528397 5.1949 -0.1937 0.8335893387773119 0.07947200962872479
0.174590 0.097747 -0.144663 146.0 "Gaia EDR3 3111702500282420352" 110.33112775008 0.1113 1.66338445966 0.1038 3111702500282420352 1636042515805110273 1432332353 2016.0 0.4054 0.1330 3.0471 0.907 0.211 0.125 0.882 0.102 -0.2800 0.0738 -0.4362 0.1962 -0.4423 0.1041 -0.2767 0.2031 -0.1220 -0.1836 206 0 205 1 1.1126 231.55 0.000 0 31 0 1.553 "" "" "" "" "" "" "" 24 15 0.18971 24 11 0 0.048 1e+02 0 0 1.054 0.33 0.25 0.4 0.76 -61.036 26.502 -27.168 -39.110 0 205 1508 2.009 750.334 17.741737 0.003112 21 792.5 14.3 55.411 18.091060 0.019792 21 999.7 11.85 84.361 17.248262 0.013414 0 1 0 1 0 1.189 0.842798 0.349323 0.493475 "" "" 0 "" "" "" 214.8640927469 7.4070369500 111.7274742931 -20.2554455174 109991103310546396 "" "" 459079466 17.741737 0.003112 1508 -0.014 110.33112681028 2.0516 1.66338053786 1.6618 -0.1933 0.8427930087352955 0.023909139988332048
0.176623 0.101242 -0.144727 145.0 "Gaia EDR3 3111702500282426624" 110.33462391859 0.0342 1.66331989869 0.0313 3111702500282426624 1636042515805110273 1694658600 2016.0 0.5272 0.0396 13.3163 6.322 -0.816 0.039 -6.269 0.032 -0.2861 0.0409 -0.3471 0.3090 -0.4009 0.1928 -0.3233 0.2153 -0.0780 -0.2043 191 0 190 1 -0.0825 191.05 0.000 1.5e-15 31 0 1.554 "" "" "" "" "" "" "" 23 15 0.059249 23 10 0 0.048 1e+02 1 0 0.994 0.33 0.23 0.42 0.75 -57.288 19.590 -28.273 -39.346 0 179 1.316e+04 5.345 2461.718 15.389291 0.002790 22 7028 22.16 317.139 15.721461 0.004417 22 8796 14.21 618.955 14.887218 0.004167 0 2 0 0 0 1.202 0.834244 0.332170 0.502073 "" "" 0 "" "" "" 214.8657585239 7.4101172724 111.7311688362 -20.2549945076 109991103346176436 "" "" 459079479 15.389291 0.002790 1.316e+04 0.000 110.33462754900 0.6359 1.66334776027 0.5199 -0.2245 0.8342433771751718 0.006071817047395699
0.175068 0.102246 -0.142107 144.3 "Gaia EDR3 3111702504577066624" 110.33562914649 0.0502 1.66593929238 0.0463 3111702504577066624 1636042515805110273 95784908 2016.0 0.1629 0.0575 2.8321 0.462 -0.319 0.057 0.334 0.047 -0.3122 0.0473 -0.4157 0.2715 -0.4013 0.1780 -0.3205 0.1912 -0.0957 -0.2330 208 0 208 0 1.1429 235.45 0.079 0.41 31 0 1.605 "" "" "" "" "" "" "" 24 15 0.08766 24 11 0 0.064 1e+02 1 0 1.056 0.32 0.24 0.4 0.76 -60.161 25.715 -27.325 -39.073 0 207 6082 4.057 1499.224 16.227188 0.002849 20 3555 19.5 182.328 16.461552 0.006576 20 3652 17.03 214.346 15.841724 0.006320 0 1 0 1 0 1.185 0.619827 0.234364 0.385464 "" "" 0 "" "" "" 214.8638702940 7.4122064740 111.7318167895 -20.2522556532 109991103356209567 "" "" 459079483 16.227188 0.002849 6082 -0.002 110.33563056708 0.9287 1.66593780871 0.7648 -0.2486 0.6198481058351231 0.009120660279126308
0.180047 0.104938 -0.146304 144.3 "Gaia EDR3 3111702504577068416" 110.33832201819 0.7571 1.66174246055 0.6515 3111702504577068416 1636042515805110273 789959428 2016.0 0.7162 0.8499 0.8426 1.163 -0.364 0.779 1.105 0.520 -0.3964 0.1751 -0.5552 0.2749 -0.4296 0.2398 -0.5453 0.1705 -0.2260 -0.1309 154 0 153 1 -0.4103 147.63 0.000 0 95 0 "" 1.5090 0.2134 -0.325 0.059 -0.315 0.044 0.154 18 13 1.2296 18 8 0 0.14 0.26 0 0 0.974 0.34 0.34 0.48 0.76 -69.313 34.910 -28.854 -40.033 0 151 151.4 1.093 138.460 20.237080 0.008312 12 75.16 7.098 10.590 20.648540 0.102563 15 157.1 11.38 13.808 19.257095 0.078719 0 1 0 2 0 1.534 1.391445 0.411461 0.979984 "" "" 0 "" "" "" 214.8688747734 7.4126869636 111.7353138004 -20.2560100290 109991103383194511 "" "" "" 20.237298 0.008313 151.4 0.277 110.33832363613 12.9025 1.66173754980 8.6864 -0.1556 1.3914367792677318 0.12929251420597945
0.173002 0.101540 -0.140069 144.1 "Gaia EDR3 3111702504580585856" 110.33492268262 0.1341 1.66797819457 0.1242 3111702504580585856 1636042515805110273 1358168821 2016.0 -0.0373 0.1528 -0.2444 1.527 -1.433 0.149 -0.527 0.122 -0.3224 0.0434 -0.4791 0.2341 -0.4090 0.1433 -0.3228 0.2094 -0.1175 -0.2275 208 0 206 2 0.0991 210.78 0.000 0 31 0 1.543 "" "" "" "" "" "" "" 24 15 0.2319 24 11 0 0.065 1e+02 0 0 1.003 0.32 0.25 0.39 0.76 -62.389 27.790 -27.121 -39.234 0 206 1174 1.762 666.496 18.012848 0.003201 20 615.4 12.64 48.680 18.365698 0.022477 22 790.7 9.945 79.507 17.502817 0.014169 0 1 0 0 0 1.197 0.862881 0.352850 0.510031 "" "" 0 "" "" "" 214.8617157762 7.4125083051 111.7307521030 -20.2503430510 110001103348802030 "" "" 459079481 18.012848 0.003201 1174 -0.007 110.33492905548 2.4506 1.66798053812 1.9972 -0.2387 0.8628901805561142 0.026570356937755807
