_r _x _y _p EDR3Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS Source SolID RandomI Epoch Plx e_Plx RPlx PM pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF nueff pscol e_pscol RApscolCorr DEpscolCorr PlxpscolCorr pmRApscolCorr pmDEpscolCorr MatchObsA Nper amax MatchObs NewMatchObs MatchObsrm IPDgofha IPDgofhp IPDfmp IPDfow RUWE SDSk1 SDSk2 SDSk3 SDSk4 SDMk1 SDMk2 SDMk3 SDMk4 Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag NBPcont NBPblend NRPcont NRPblend Mode E_BP_RP_ BP-RP BP-G G-RP RVDR2 e_RVDR2 o_RVDR2 Tefftemp loggtemp __Fe_H_temp GLON GLAT ELON ELAT PS1 SDSSDR13 SkyMapper2 URAT1 GmagCorr e_GmagCorr FGCorr E_BP_RP_Corr RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 RADEcorJ2000 BPmag-RPmag e_BPmag-RPmag
0.168907 0.077999 -0.149819 152.5 "Gaia EDR3 3129410723463499264" 102.65337900765 0.1138 5.60016941127 0.1159 3129410723463499264 1636042515805110273 667201717 2016.0 0.2128 0.1442 1.4759 0.852 -0.070 0.156 -0.849 0.133 -0.1669 -0.1684 -0.0859 0.0497 -0.4239 -0.0342 -0.2304 0.2629 0.0846 -0.3508 202 0 201 1 -0.0181 203.75 0.131 0.16 31 0 1.420 "" "" "" "" "" "" "" 23 15 0.2361 24 7 0 0.057 1.0e+02 0 0 0.997 0.32 0.23 0.49 0.83 -87.171 27.441 -19.934 -37.720 0 201 1323 2.061 642.078 17.883438 0.003233 22 529.3 12.07 43.865 18.529230 0.024908 23 1207 15.68 76.995 17.043264 0.014599 0 0 0 1 0 1.313 1.485966 0.645792 0.840174 "" "" 0 "" "" "" 207.8512506774 2.3676446611 103.1963556102 -17.2613346984 114721026533780660 "" "" 479084642 17.883438 0.003233 1323 0.044 102.65337931863 2.5008 5.60017318444 2.1582 -0.3451 1.485958359016493 0.028871333857929074
0.192744 0.122756 -0.148598 140.4 "Gaia EDR3 3129410856603875840" 102.69835144475 0.7074 5.60138301199 0.7758 3129410856603875840 1636042515805110273 771296209 2016.0 0.0795 0.6760 0.1176 1.182 -1.174 0.974 -0.133 0.871 -0.7265 0.1781 -0.3174 0.4519 -0.3350 0.3897 -0.4827 0.2436 -0.0741 -0.7340 158 0 157 1 1.7719 196.33 1.462 1.3 95 0 "" 1.2625 0.1499 -0.030 -0.055 -0.404 -0.348 0.182 18 13 1.7639 19 5 0 0.054 1.1e+02 0 0 1.101 0.32 0.5 0.47 0.8 -80.167 39.809 -20.655 -38.766 0 156 214.2 1.193 179.575 19.860256 0.006644 17 78.81 7.524 10.475 20.597061 0.103684 17 195.9 10.94 17.912 19.017548 0.060732 0 0 0 0 0 1.283 1.579514 0.736805 0.842709 "" "" 0 "" "" "" 207.8705278893 2.4080644892 103.2429112439 -17.2560352411 114721026983492107 "" "" "" 19.858088 0.006633 214.6 0.003 102.69835668978 15.8251 5.60138360205 14.3220 -0.7454 1.5795290443198624 0.12016072033854103
0.206857 0.143239 -0.149240 136.2 "Gaia EDR3 3129410890963611520" 102.71893274245 0.1219 5.60073656458 0.1187 3129410890963611520 1636042515805110273 1424922646 2016.0 0.6250 0.1392 4.4891 1.472 -0.006 0.155 -1.472 0.143 -0.1422 0.0122 -0.0228 0.1911 -0.2515 0.1493 -0.1024 0.1593 0.0446 -0.2060 205 0 205 0 -0.1334 205.37 0.000 1.4e-15 31 0 1.385 "" "" "" "" "" "" "" 24 16 0.22965 24 7 0 0.098 99 0 0 0.992 0.2 0.19 0.24 0.89 -80.074 32.393 -25.885 -40.233 0 204 1044 1.704 612.399 18.140951 0.003276 22 347 12.48 27.810 18.987728 0.039140 22 991.4 13.12 75.541 17.257322 0.014861 0 1 0 3 0 1.282 1.730406 0.846777 0.883629 "" "" 0 "" "" "" 207.8804208357 2.4260165438 103.2643314209 -17.2548020550 114721027189261356 "" "" 479084889 18.140951 0.003276 1044 -0.017 102.71893276844 2.4896 5.60074310703 2.2964 -0.2215 1.7304014909376022 0.04186549455066761
0.208327 0.144642 -0.149928 136.0 "Gaia EDR3 3129410895262148992" 102.72034239421 0.0972 5.60004733581 0.0950 3129410895262148992 1636042515805110273 425130775 2016.0 0.3917 0.1172 3.3421 1.202 -0.757 0.122 -0.933 0.102 -0.2113 0.1671 0.1122 0.1624 -0.3696 0.0641 -0.0458 0.2826 -0.0474 -0.2136 190 0 190 0 2.8898 255.87 0.323 1.6 31 0 1.485 "" "" "" "" "" "" "" 22 15 0.17786 22 6 0 0.082 1e+02 0 0 1.152 0.31 0.23 0.37 0.85 -60.036 32.561 -27.820 -40.321 0 188 1869 2.261 826.636 17.508102 0.003052 18 861.1 12.31 69.944 18.000875 0.015772 17 1433 17.61 81.381 16.857302 0.013866 0 1 0 1 0 1.227 1.143574 0.492773 0.650801 "" "" 0 "" "" "" 207.8816734385 2.4269530415 103.2658604575 -17.2553597166 114721027203410532 "" "" 479084893 17.508102 0.003052 1869 -0.004 102.72034577494 1.9495 5.60005148284 1.6451 -0.2260 1.143590385881712 0.021000568868012288
0.195218 0.131444 -0.144335 137.7 "Gaia EDR3 3129410959687852800" 102.70708193347 0.2616 5.60564367092 0.2727 3129410959687852800 1636042515805110273 1565718991 2016.0 0.2516 0.3249 0.7746 1.641 -1.076 0.317 -1.239 0.279 -0.4136 0.3461 -0.1508 0.1348 -0.5138 0.1061 -0.1824 0.0801 -0.0948 -0.1227 175 0 175 0 0.1760 180.09 0.322 0.22 31 0 1.411 "" "" "" "" "" "" "" 20 15 0.4562 20 6 1 0.026 1e+02 0 0 1.008 0.38 0.28 0.4 0.82 -44.333 32.543 -29.607 -39.019 0 164 450.3 1.384 325.366 19.053574 0.004327 13 185.9 12.19 15.245 19.665535 0.071274 14 357.3 12.03 29.699 18.365398 0.036753 0 1 0 1 0 1.206 1.300137 0.611961 0.688175 "" "" 0 "" "" "" 207.8706813110 2.4177404610 103.2515625546 -17.2509966892 114721027070907253 "" "" "" 19.053574 0.004327 450.3 -0.041 102.70708673655 5.1199 5.60564917718 4.5271 -0.1345 1.3001148373365083 0.08019122458387344
0.203898 0.139976 -0.148261 136.6 "Gaia EDR3 3129410959687905280" 102.71565413969 0.0859 5.60171647296 0.0851 3129410959687905280 1636042515805110273 451580221 2016.0 0.9795 0.1035 9.4656 8.901 7.254 0.109 -5.158 0.096 -0.2436 0.1819 0.0882 0.1088 -0.3588 0.0058 -0.0000 0.2950 -0.0384 -0.2830 181 0 181 0 1.8160 221.14 0.275 1.5 31 0 1.405 "" "" "" "" "" "" "" 21 15 0.16382 21 5 0 0.089 98 0 0 1.096 0.28 0.25 0.34 0.89 -58.511 37.143 -30.656 -40.901 0 180 2312 2.618 883.341 17.277218 0.003017 18 860.6 12.35 69.718 18.001501 0.015821 20 2072 15.35 135.000 16.457006 0.008886 0 1 0 0 0 1.268 1.544495 0.724283 0.820211 "" "" 0 "" "" "" 207.8780630603 2.4235552639 103.2608350180 -17.2541254658 114721027156432535 "" "" 479084876 17.277218 0.003017 2312 -0.007 102.71562174380 1.7395 5.60173939946 1.5435 -0.2898 1.5444751040415987 0.018146661879396644
0.195602 0.132950 -0.143472 137.2 "Gaia EDR3 3129410963976761856" 102.70859589128 0.3876 5.60650667443 0.4129 3129410963976761856 1636042515805110273 893258357 2016.0 0.6076 0.5108 1.1895 6.939 -3.825 0.455 -5.789 0.397 -0.4499 0.3633 -0.0044 0.2359 -0.5548 0.0787 -0.1657 0.2298 0.0010 -0.2386 194 0 194 0 -0.0209 209.27 0.792 0.68 95 0 "" 1.1984 0.1073 -0.252 0.170 -0.392 -0.205 -0.071 22 15 0.67368 22 6 0 0.015 1.1e+02 0 0 0.997 0.36 0.33 0.43 0.83 -59.004 36.172 -26.718 -39.444 0 192 263.2 1.241 212.106 19.636755 0.005813 15 46.03 7.139 6.448 21.180962 0.168417 17 330.2 14.76 22.363 18.451029 0.048698 0 1 0 1 0 1.429 2.729933 1.544207 1.185726 "" "" 0 "" "" "" 207.8705972000 2.4194747931 103.2530508067 -17.2499992637 114721027086068276 "" "" "" 19.615217 0.005725 268.5 -0.011 102.70861297437 7.2852 5.60653240279 6.4308 -0.2542 2.7299447649384447 0.17531472423491723
0.192958 0.135639 -0.137240 135.3 "Gaia EDR3 3129410963981622272" 102.71129913983 0.1900 5.61273814221 0.1890 3129410963981622272 1636042515805110273 1534676731 2016.0 0.2187 0.2250 0.9720 1.079 -0.212 0.246 -1.058 0.214 -0.1881 0.0055 -0.0198 0.1865 -0.3155 0.1164 -0.1082 0.2097 -0.0552 -0.2021 211 0 210 1 1.3654 243.09 0.186 0.11 31 0 1.430 "" "" "" "" "" "" "" 24 16 0.35821 24 7 0 0.049 97 0 0 1.067 0.26 0.22 0.32 0.85 -70.764 32.022 -24.675 -39.711 0 209 544.2 1.315 413.829 18.847986 0.003805 21 224 7.648 29.285 19.462988 0.037180 21 462.6 8.865 52.189 18.084785 0.021144 0 0 0 0 0 1.262 1.378202 0.615002 0.763201 "" "" 0 "" "" "" 207.8662650200 2.4247030485 103.2552579958 -17.2435474824 114731027113085755 "" "" "" 18.847986 0.003805 544.2 0.006 102.71130008459 3.9385 5.61274284628 3.4445 -0.2160 1.378183096202278 0.04277101150147508
0.194855 0.135538 -0.139993 135.9 "Gaia EDR3 3129410963981624576" 102.71119699692 0.0320 5.60998551233 0.0306 3129410963981624576 1636042515805110273 1149740994 2016.0 0.4083 0.0361 11.3160 0.776 -0.718 0.040 -0.293 0.035 -0.1566 0.0235 -0.0359 0.2610 -0.2631 0.2188 -0.2483 0.1842 0.1093 -0.1863 227 0 224 3 1.3729 259.41 0.054 0.34 31 0 1.544 "" "" "" "" "" "" "" 26 17 0.058857 26 8 0 0.077 1e+02 5 0 1.065 0.23 0.17 0.29 0.86 -71.072 22.807 -23.737 -39.090 0 222 1.043e+04 4.51 2312.430 15.641731 0.002795 26 5503 15.05 365.752 15.987093 0.004074 25 7016 13.93 503.726 15.132716 0.004351 0 0 0 0 0 1.200 0.854377 0.345362 0.509015 "" "" 0 "" "" "" 207.8686729740 2.4233616185 103.2554161468 -17.2462978444 114731027112062448 "" "" 479084860 15.641731 0.002795 1.043e+04 -0.004 102.71120020487 0.6455 5.60998681394 0.5642 -0.2080 0.8543649863107614 0.005960423467123584
0.200620 0.139668 -0.144018 135.9 "Gaia EDR3 3129410963981624832" 102.71534545591 0.1086 5.60595866298 0.1122 3129410963981624832 1636042515805110273 116247818 2016.0 0.4118 0.1305 3.1547 4.082 -3.731 0.143 1.655 0.129 -0.3040 0.0778 0.0143 0.1442 -0.3533 0.0366 -0.0387 0.2962 -0.0717 -0.3402 190 0 189 1 0.9915 212.09 0.288 0.94 31 0 1.428 "" "" "" "" "" "" "" 22 15 0.22018 22 5 0 0.089 96 0 0 1.050 0.29 0.31 0.35 0.89 -74.487 40.626 -26.452 -40.752 0 179 1469 2.156 681.173 17.769907 0.003183 22 568.8 9.532 59.671 18.451187 0.018408 20 1260 12.03 104.763 16.997032 0.011031 0 0 0 0 0 1.245 1.454155 0.681280 0.772875 "" "" 0 "" "" "" 207.8741410761 2.4252093850 103.2601074473 -17.2499293063 114721027153607609 "" "" 479084873 17.769907 0.003183 1469 -0.020 102.71536211811 2.2878 5.60595130530 2.0635 -0.3484 1.4541260772944256 0.02146007363329591
