ID MP sel
"Gaia EDR3 3044446924501590528" 1.0 1
"Gaia EDR3 3044448127092412672" 1.0 1
"Gaia EDR3 3044448260231338112" 1.0 1
"Gaia EDR3 3044448676848169600" 1.0 1
"Gaia EDR3 3044447371178153344" 1.0 1
"Gaia EDR3 3044460290443505280" 1.0 1
"Gaia EDR3 3044448157152152192" 1.0 1
"Gaia EDR3 3044448092732666752" 1.0 1
"Gaia EDR3 3044448264531346432" 1.0 1
"Gaia EDR3 3044448500749564416" 1.0 1
"Gaia EDR3 3044448470689779200" 1.0 1
"Gaia EDR3 3044448092736397440" 1.0 1
"Gaia EDR3 3044448195811863680" 1.0 1
"Gaia EDR3 3044448466389774976" 1.0 1
"Gaia EDR3 3044448127096148608" 1.0 1
"Gaia EDR3 3044448264531343872" 1.0 1
"Gaia EDR3 3044448573768973568" 1.0 1
"Gaia EDR3 3044448500749555712" 1.0 1
"Gaia EDR3 3044448298891070848" 1.0 1
"Gaia EDR3 3044447886577968768" 1.0 1
"Gaia EDR3 3044448264531344256" 1.0 1
"Gaia EDR3 3044448298887910656" 1.0 1
"Gaia EDR3 3044448157155170944" 1.0 1
"Gaia EDR3 3044448264531350784" 1.0 1
"Gaia EDR3 3044448470686687104" 1.0 1
"Gaia EDR3 3044448500749554944" 1.0 1
"Gaia EDR3 3044459912479592704" 1.0 1
"Gaia EDR3 3044448470689770368" 1.0 1
"Gaia EDR3 3044448573772716800" 1.0 1
"Gaia EDR3 3044447886574235648" 1.0 1
"Gaia EDR3 3044448092732668672" 1.0 1
"Gaia EDR3 3044448401974009088" 1.0 1
"Gaia EDR3 3044448466389787520" 1.0 1
"Gaia EDR3 3044448294591109376" 1.0 1
"Gaia EDR3 3044448397670337792" 1.0 1
"Gaia EDR3 3044448500749552000" 1.0 1
"Gaia EDR3 3044448500749549952" 1.0 1
"Gaia EDR3 3044447817854755712" 1.0 1
"Gaia EDR3 3044447469957330816" 1.0 1
"Gaia EDR3 3044448298887942272" 1.0 1
"Gaia EDR3 3044448092736399360" 1.0 1
"Gaia EDR3 3044447023280674048" 1.0 1
"Gaia EDR3 3044448195808758528" 1.0 1
"Gaia EDR3 3044447886571164160" 1.0 1
"Gaia EDR3 3044447813554708992" 1.0 1
"Gaia EDR3 3044447886571158016" 1.0 1
"Gaia EDR3 3044460324797720320" 1.0 1
"Gaia EDR3 3044448603828792192" 1.0 1
"Gaia EDR3 3044448294593399040" 1.0 1
"Gaia EDR3 3044448161455877888" 1.0 1
"Gaia EDR3 3044448500752601600" 1.0 1
"Gaia EDR3 3044448264535084928" 1.0 1
"Gaia EDR3 3044448088432640128" 1.0 1
"Gaia EDR3 3044448260231338240" 1.0 1
"Gaia EDR3 3044448092729583488" 1.0 1
"Gaia EDR3 3044448638188545920" 1.0 1
"Gaia EDR3 3044447886574232832" 1.0 1
"Gaia EDR3 3044448470689766400" 1.0 1
"Gaia EDR3 3044447886574234368" 1.0 1
"Gaia EDR3 3044448191511835392" 1.0 1
"Gaia EDR3 3044448470686694528" 1.0 1
"Gaia EDR3 3044448569469042688" 1.0 1
"Gaia EDR3 3044448470686682240" 1.0 1
"Gaia EDR3 3044448264531335936" 1.0 1
"Gaia EDR3 3044448539409248000" 1.0 1
"Gaia EDR3 3044448397670351872" 1.0 1
"Gaia EDR3 3044448500752600960" 1.0 1
"Gaia EDR3 3044448539409241600" 1.0 1
"Gaia EDR3 3044447886577968896" 1.0 1
"Gaia EDR3 3044448260231328896" 1.0 1
"Gaia EDR3 3044460290439758720" 1.0 1
"Gaia EDR3 3044448225871593088" 1.0 1
"Gaia EDR3 3044448500749541248" 1.0 1
"Gaia EDR3 3044448539412994176" 1.0 1
"Gaia EDR3 3044447955293745152" 1.0 1
"Gaia EDR3 3044448500749539072" 1.0 1
"Gaia EDR3 3044448191511845120" 1.0 1
"Gaia EDR3 3044460496598509824" 1.0 1
"Gaia EDR3 3044460320499595136" 1.0 1
"Gaia EDR3 3044447813554694016" 1.0 1
"Gaia EDR3 3044448298887941504" 1.0 1
"Gaia EDR3 3044447779194934400" 1.0 1
"Gaia EDR3 3044448225871611008" 1.0 1
"Gaia EDR3 3044448333254529536" 1.0 1
"Gaia EDR3 3044447882274182016" 1.0 1
"Gaia EDR3 3044447882274188416" 1.0 1
"Gaia EDR3 3044460324803224832" 1.0 1
"Gaia EDR3 3044448230168434176" 1.0 1
"Gaia EDR3 3044459912486569472" 1.0 1
"Gaia EDR3 3044448608125505920" 1.0 1
"Gaia EDR3 3044447882274186368" 1.0 1
"Gaia EDR3 3044460320499590528" 1.0 1
"Gaia EDR3 3044447950993634944" 1.0 1
"Gaia EDR3 3044448264528251136" 1.0 1
"Gaia EDR3 3044447886571169408" 1.0 1
"Gaia EDR3 3044460290436619904" 1.0 1
"Gaia EDR3 3044447886571192192" 1.0 1
"Gaia EDR3 3044448539406117888" 1.0 1
"Gaia EDR3 3044448363310593152" 1.0 1
"Gaia EDR3 3044447817851677184" 1.0 -1
