EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5516054814972878848,-0.113148,0.130454,124.54201682688,-47.65942956884,-0.9317,0.7374,-1.369,0.794,3.245,0.841,20.656347,0.008634,1.500824,0.19425257807040797
Gaia EDR3 5516054814972883968,-0.108313,0.131628,124.54919847048,-47.65826559808,1.1571,0.2028,-2.981,0.227,20.319,0.248,19.406475,0.003845,2.218954,0.09828255860144995
Gaia EDR3 5516054814972886656,-0.109429,0.126247,124.5475247549,-47.66364430671,-0.3968,0.6721,-1.374,0.741,2.34,0.791,20.577408,0.009201,1.246933,0.15811626798007955
Gaia EDR3 5516054814972895360,-0.11099,0.118771,124.54518336119,-47.67111729785,0.6591,1.2108,-1.687,1.278,0.382,1.704,20.754345,0.013592,1.224667,0.16267535453993873
Gaia EDR3 5516054814980764672,-0.118439,0.127369,124.53414993276,-47.66250241035,2.884,1.2041,-5.775,2.062,4.236,2.072,20.919798,0.012784,0.786356,0.26046474238097506
Gaia EDR3 5516054814984699264,-0.114732,0.128772,124.5396597673,-47.66110740133,0.4572,0.2843,-3.329,0.317,3.493,0.346,19.85177,0.004408,1.439846,0.07587990612351676
Gaia EDR3 5516054814984699520,-0.116696,0.122812,124.53672275952,-47.66706329329,-0.0031,0.2834,-1.818,0.317,2.793,0.357,19.742493,0.004533,1.230656,0.06301572360399359
Gaia EDR3 5516054814984701056,-0.10936,0.13259,124.54764765519,-47.65730082143,0.3073,0.0464,-3.053,0.049,2.798,0.054,16.832598,0.002817,1.162237,0.009031533259167135
Gaia EDR3 5516054814984964352,-0.117575,0.118681,124.53540421495,-47.67119206899,0.0419,0.3498,-1.23,0.368,2.501,0.432,20.040064,0.005587,1.64768,0.09691298362165339
Gaia EDR3 5516054814985553152,-0.112795,0.117057,124.54249766349,-47.67282678186,0.3342,0.2865,-1.895,0.321,3.389,0.355,19.766216,0.004685,1.360029,0.06743052350906956
Gaia EDR3 5516054845040970752,-0.10442,0.132333,124.55498082909,-47.6575688521,0.3421,0.0674,-3.155,0.074,4.591,0.077,17.490015,0.002884,1.241837,0.012919922374224376
Gaia EDR3 5516054845040985856,-0.102365,0.138871,124.55805108607,-47.65103408586,0.8937,0.1591,-4.828,0.172,5.979,0.189,18.910994,0.003792,2.136572,0.08173275856966025
Gaia EDR3 5516054845040990336,-0.101157,0.141012,124.55985067129,-47.64889573378,-0.1527,0.2543,-1.855,0.279,2.369,0.293,19.599968,0.004113,1.392853,0.05475048597900106
Gaia EDR3 5516054845040996224,-0.103763,0.143241,124.55598819794,-47.64666209206,0.3429,0.1203,-0.138,0.133,-1.003,0.14,18.424646,0.003128,1.576428,0.03357908591450415
Gaia EDR3 5516054845040999936,-0.10006,0.145737,124.56149134591,-47.64417336083,0.9434,0.3516,-1.651,0.372,2.06,0.399,19.948488,0.005355,1.175266,0.09286677257101786
Gaia EDR3 5516054845041642368,-0.097697,0.142331,124.56498951478,-47.64758339834,-0.2016,0.4645,-0.867,0.482,1.74,0.607,20.277342,0.006423,1.310289,0.1265702065000745
Gaia EDR3 5516054845051253376,-0.106819,0.131002,124.55141423536,-47.65889422515,0.1322,0.1075,-2.569,0.12,5.489,0.132,18.44349,0.003163,1.347464,0.04168735987664473
Gaia EDR3 5516054849332620288,-0.10487,0.142367,124.55434194371,-47.64753378959,-0.0438,0.4,-1.486,0.42,1.65,0.498,20.218035,0.006167,1.200275,0.10171616808271468
Gaia EDR3 5516054849332623872,-0.107255,0.131413,124.55076859059,-47.65848294911,0.3775,0.1516,-2.527,0.18,5.095,0.179,18.860758,0.00333,1.561667,0.18983821975123572
