EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929401754414109056,-0.079904,0.090383,105.68557323515,-20.72660223273,0.0313,0.0645,-0.254,0.058,1.721,0.075,17.191029,0.002853,0.593607,0.01000352411995111
Gaia EDR3 2929401754415054848,-0.070116,0.082436,105.696034197,-20.73455346641,0.1011,0.4397,-1.111,0.41,1.094,0.535,20.074759,0.004862,1.917074,0.09826497744816363
Gaia EDR3 2929401754415055872,-0.081603,0.084675,105.68375300201,-20.73230869398,1.704,0.286,-5.63,0.237,-8.186,0.326,19.49663,0.003756,2.360209,0.08728792722220324
Gaia EDR3 2929401758712069760,-0.073335,0.088729,105.6925958784,-20.72825940569,0.4867,0.1326,0.571,0.115,-0.388,0.147,18.445612,0.003077,1.488707,0.03409764337079627
Gaia EDR3 2929401758712128128,-0.078145,0.080237,105.68744802946,-20.73674912502,,,,,,,20.912407,0.012112,1.822594,0.19515628345614947
Gaia EDR3 2929401758713326720,-0.081728,0.082639,105.68361818793,-20.73434468903,,,,,,,20.939869,0.013288,1.148958,0.24434156092463405
Gaia EDR3 2929401758713449984,-0.082809,0.08275,105.68246249925,-20.73423343879,,,,,,,20.946342,0.015201,0.337698,0.293315081457736
Gaia EDR3 2929401758718416384,-0.0761,0.093013,105.68964125983,-20.72397399975,0.5961,0.0753,1.26,0.068,-0.009,0.086,17.457342,0.002866,1.385027,0.016799198202896277
Gaia EDR3 2929401758718416896,-0.073907,0.09109,105.69198466373,-20.72589806856,0.5453,0.0178,1.69,0.015,-3.766,0.019,14.421971,0.00276,1.250234,0.004843006498654947
Gaia EDR3 2929401758718419840,-0.074294,0.088734,105.69157006783,-20.72825404543,0.2102,0.038,-0.423,0.034,2.572,0.043,16.197676,0.002782,1.342513,0.006072577054126134
Gaia EDR3 2929401758718421120,-0.070856,0.085041,105.69524406022,-20.73194805919,-0.2815,0.4772,-0.535,0.447,1.115,0.581,20.155224,0.004844,1.208258,0.08262645319186483
Gaia EDR3 2929401758718429184,-0.080466,0.085992,105.68496954822,-20.73099248927,-0.1688,0.57,-1.011,0.451,0.493,0.688,20.30842,0.005555,0.933935,0.11293401736568932
Gaia EDR3 2929401758718436224,-0.075178,0.076948,105.69061903221,-20.74003920127,1.0552,0.1269,2.385,0.116,-4.718,0.138,18.29581,0.003038,2.19071,0.030602684797254517
Gaia EDR3 2929401788773833984,-0.066563,0.086971,105.69983508356,-20.73002001723,-0.2796,0.2487,0.095,0.209,1.547,0.296,19.217041,0.00351,1.047901,0.03553468880390636
Gaia EDR3 2929401788773836032,-0.065358,0.08766,105.70112420684,-20.72933144971,2.1382,0.346,-2.668,0.293,2.767,0.401,19.689434,0.004094,2.417519,0.08630040831796829
Gaia EDR3 2929401788773854848,-0.069262,0.092717,105.6969521133,-20.72427272793,0.9551,0.4286,0.22,0.359,0.679,0.498,19.99692,0.004635,1.149925,0.08243677690093355
Gaia EDR3 2929401788773863680,-0.065728,0.095135,105.70073209619,-20.72185657374,0.1475,0.3291,-0.603,0.279,1.095,0.375,19.620485,0.003806,1.014196,0.05073395909043709
