EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 3045752727696821376,0.034062,-0.149529,106.70148112816,-11.88286633521,0.8452,0.0162,-3.685,0.016,1.226,0.016,10.496366,0.002797,0.150007,0.008854094736331397
Gaia EDR3 3045752727697536384,0.038873,-0.149366,106.70639677619,-11.88270296108,0.1788,0.1828,-0.609,0.186,-0.383,0.182,18.785887,0.003501,1.608942,0.052004263619655614
Gaia EDR3 3045752731994052608,0.028035,-0.14885,106.6953213853,-11.88218745364,-0.5613,0.9975,-0.438,1.023,-4.619,0.916,19.739702,0.010505,1.611807,0.0969470272091481
Gaia EDR3 3045752731996316032,0.030678,-0.140804,106.69802180666,-11.87414123504,-1.3909,1.3178,-4.077,1.132,8.133,1.462,20.676283,0.012538,1.575842,0.27750793209013724
Gaia EDR3 3045752731999520384,0.034116,-0.149192,106.70153591079,-11.88252961499,0.7269,0.0313,-3.682,0.042,0.983,0.036,12.720814,0.003846,,
Gaia EDR3 3045752731999521280,0.030398,-0.147491,106.69773580852,-11.88082848298,0.1642,0.036,-0.775,0.037,0.614,0.04,15.885425,0.002803,0.798649,0.007740114702935485
Gaia EDR3 3045752732000848512,0.035129,-0.149976,106.70257154581,-11.88331330387,,,,,,,19.189941,0.031999,-0.259838,0.5434530417467353
Gaia EDR3 3045763722813604480,-0.148775,-0.149365,106.51464001481,-11.88266400522,0.4623,0.1365,-0.042,0.148,2.407,0.148,18.359747,0.003294,1.619984,0.03095102197320017
Gaia EDR3 3045763722813611136,-0.137284,-0.142189,106.52638641925,-11.87549362145,0.1277,0.3811,-1.749,0.375,-2.038,0.365,19.502787,0.005173,1.954866,0.22082980263870713
Gaia EDR3 3045763722813612032,-0.139296,-0.141871,106.52433087243,-11.8751748247,1.4198,0.2678,-9.273,0.288,0.947,0.271,19.123281,0.004251,2.393576,0.08791054553157826
Gaia EDR3 3045763722813813760,-0.138407,-0.146091,106.52523705496,-11.87939544756,1.0883,0.5872,-0.269,0.576,1.896,0.614,19.87287,0.00637,1.479389,0.09041162487441348
Gaia EDR3 3045763727110605952,-0.141346,-0.140044,106.52223669813,-11.87334730121,0.4638,1.0213,0.319,1.3,1.73,1.795,20.599806,0.009749,2.836443,0.5063510027611932
Gaia EDR3 3045763727110609792,-0.134842,-0.146065,106.52887985761,-11.87937132442,0.4238,0.5673,-3.76,0.641,4.234,0.588,20.327263,0.007434,2.30957,0.19272566035470312
Gaia EDR3 3045763727110624512,-0.139637,-0.147598,106.52397900819,-11.88090131664,0.6492,0.3069,4.058,0.303,-6.427,0.289,19.105583,0.014135,1.652584,0.11752294431157918
Gaia EDR3 3045763727110640000,-0.148121,-0.147363,106.51531006508,-11.8806619062,-0.2341,0.5696,-0.416,0.587,0.625,0.527,20.080338,0.007247,1.34907,0.18460696200085971
Gaia EDR3 3045763727115888128,-0.139881,-0.139797,106.52373421139,-11.87310020465,0.0914,0.1264,-1.194,0.137,1.669,0.141,18.23946,0.003219,1.294155,0.026322218178859037
Gaia EDR3 3045763727115893760,-0.138791,-0.148691,106.52484321247,-11.88199519374,1.7661,0.0386,-6.455,0.041,2.862,0.043,16.03211,0.002837,1.702566,0.0077361586278164585
Gaia EDR3 3045763727116438144,-0.140345,-0.147526,106.52325563687,-11.88082982622,0.3877,0.0284,-0.871,0.03,3.123,0.032,15.166904,0.002785,1.283968,0.005617142285044851
Gaia EDR3 3045764242506566400,-0.06568,-0.149542,106.59955415915,-11.88287374602,0.0042,0.1994,-1.986,0.186,0.312,0.173,18.64757,0.003958,,
Gaia EDR3 3045764272568912896,-0.052774,-0.148584,106.61274319607,-11.88191775012,0.375,0.0143,-1.682,0.014,2.453,0.014,12.758101,0.002769,0.541472,0.004841547304931899
Gaia EDR3 3045764272569419264,-0.057933,-0.148162,106.60747122777,-11.88149509679,1.1316,0.5052,-0.884,0.545,3.585,0.489,20.029121,0.006661,1.58506,0.1574535943434585
Gaia EDR3 3045764272569423360,-0.059355,-0.144068,106.60601927209,-11.87740108306,-0.1694,0.495,-0.403,0.482,0.122,0.419,19.687637,0.005415,1.343195,0.11606215410424302
Gaia EDR3 3045764272569423488,-0.05752,-0.143546,106.6078944131,-11.87687973774,0.2512,0.4375,-1.172,0.416,2.095,0.365,19.617752,0.005447,1.627167,0.11054180402745911
Gaia EDR3 3045764272569626368,-0.047427,-0.149463,106.61820715433,-11.88279868419,0.69,0.4962,-0.361,0.465,-0.267,0.446,20.038216,0.00702,1.774197,0.14206595756527426
Gaia EDR3 3045764276866298624,-0.062141,-0.148651,106.60317170077,-11.88198302319,-0.2636,1.0719,-2.925,1.49,-3.58,1.502,20.750036,0.013463,1.619146,0.2608632045712092
Gaia EDR3 3045764410008371200,-0.008435,-0.149966,106.65805288935,-11.88330549456,-0.1969,0.9215,-1.646,0.991,0.391,0.832,20.449247,0.008509,1.087076,0.19423226484931172
Gaia EDR3 3045764410008375552,-0.012654,-0.146024,106.65374187651,-11.87936260227,-0.1349,0.1733,12.545,0.178,0.972,0.173,18.699242,0.003539,1.285839,0.04081612231703051
Gaia EDR3 3045764414305169280,-0.015127,-0.145607,106.65121478254,-11.87894613766,-0.1557,0.3597,-0.784,0.345,2.7,0.34,19.532722,0.00491,1.423151,0.12432195786132173
Gaia EDR3 3045764414305178368,-0.016309,-0.149184,106.65000722137,-11.88252315996,0.9904,1.3433,-2.114,1.358,1.374,1.309,20.620853,0.012923,1.52848,0.26945284459296576
Gaia EDR3 3045764414307390592,-0.010954,-0.142771,106.65547980608,-11.87611005879,-0.3794,0.9991,0.536,1.683,1.834,1.208,20.589155,0.012617,1.658283,0.2795953831044975
Gaia EDR3 3045764414310586496,-0.01082,-0.140003,106.65561652406,-11.87334196797,0.189,0.0282,0.689,0.029,-0.091,0.028,15.337013,0.002783,1.772493,0.005964755044469203
Gaia EDR3 3045764414310590592,-0.007109,-0.147818,106.6594084679,-11.8811570212,0.3266,0.0702,-2.544,0.071,1.353,0.068,17.172918,0.002918,1.221968,0.018166926543491283
Gaia EDR3 3045764414310593664,-0.015869,-0.143384,106.65045687273,-11.87672245117,0.1451,0.05,-1.832,0.051,1.306,0.053,16.481667,0.002824,1.770173,0.009563194861947512
Gaia EDR3 3045764414310595200,-0.012265,-0.147772,106.65413981115,-11.88111124165,0.3412,0.0431,-2.606,0.043,4.546,0.043,16.159517,0.002807,1.173353,0.006645555919243502
Gaia EDR3 3045764444368110464,0.003175,-0.14941,106.66991705815,-11.88274913808,-0.4061,0.297,-1.348,0.303,3.021,0.287,18.562887,0.006553,1.320591,0.041297473676305915
Gaia EDR3 3045764444368110848,0.016939,-0.149306,106.68398304008,-11.88264502442,0.5054,0.3075,-1.829,0.288,2.77,0.265,19.30819,0.004523,1.592211,0.11707865043882294
Gaia EDR3 3045764444368111360,0.013064,-0.147771,106.6800228564,-11.88111000451,-0.1466,0.2927,-1.699,0.283,0.751,0.252,19.197912,0.004469,1.663227,0.08523024565896668
