EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5523421989557883776,-0.066293,-0.0128,128.85841516019,-43.63276917877,0.2851,0.8709,-5.726,1.041,8.75,1.048,20.714165,0.009449,2.357637,0.13450690488045536
Gaia EDR3 5523421989557885824,-0.066942,-0.015249,128.85751428194,-43.63521738108,0.8668,0.6296,-5.761,0.663,7.602,0.683,20.569204,0.007282,2.040466,0.15360005678904187
Gaia EDR3 5523421989557898112,-0.062226,-0.011912,128.86403566467,-43.6318859617,0.3143,0.4332,-3.602,0.446,4.143,0.482,20.323942,0.005638,1.942059,0.13434862563301186
Gaia EDR3 5523421989557903360,-0.061685,-0.012674,128.86478156613,-43.63264787271,0.3123,0.5101,-4.596,0.533,3.0,0.55,20.371468,0.006162,2.069544,0.12072916001963016
Gaia EDR3 5523421989562188544,-0.065312,-0.007051,128.85977818783,-43.62702104274,0.262,0.0528,-3.249,0.055,2.886,0.061,17.112677,0.002847,1.888233,0.010402825331914707
Gaia EDR3 5523421989562190464,-0.068029,-0.016509,128.856010471,-43.63647647169,1.3668,0.626,-6.681,0.53,7.849,0.882,20.359486,0.007746,,
Gaia EDR3 5523421989562194560,-0.064079,-0.018186,128.86146509532,-43.63815734161,0.7674,0.0458,0.931,0.047,0.385,0.051,16.72187,0.002826,1.619095,0.008642313087000676
Gaia EDR3 5523422019620595584,-0.076197,-0.01193,128.84473285643,-43.63188779839,1.2367,0.0945,-6.004,0.097,0.789,0.108,17.87276,0.003264,2.235514,0.030333188059751163
Gaia EDR3 5523422019620603392,-0.083073,-0.008516,128.83523911783,-43.62846417764,0.8037,0.2841,-2.89,0.286,2.605,0.316,19.70895,0.004375,2.577482,0.1333476755116775
Gaia EDR3 5523422019620615808,-0.081269,-0.003561,128.83774038016,-43.62351191704,0.2025,0.1904,-2.639,0.196,3.439,0.221,19.17014,0.003625,2.988062,0.13392459127391393
