EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588805754176240000,-0.013817,-0.007603,114.67503629338,-33.85094120887,0.6556,0.8306,4.521,0.783,2.654,0.956,20.678164,0.00894,1.83313,0.1758425655922953
Gaia EDR3 5588805754176241664,-0.014683,-0.009237,114.67399257438,-33.85257511227,,,,,,,20.905909,0.020394,0.912275,0.21650125553487934
Gaia EDR3 5588805754176250496,-0.018528,-0.015725,114.66936123564,-33.85906235905,-0.4879,0.534,-1.553,0.478,1.144,0.577,20.337477,0.006173,1.2376,0.09768381688652243
Gaia EDR3 5588805754176252288,-0.014192,-0.017284,114.67458260475,-33.86062194825,0.0856,0.8669,-1.446,0.696,0.625,0.788,20.669086,0.008966,1.157782,0.1315467615605339
Gaia EDR3 5588805754177231488,-0.01199,-0.012316,114.6772347336,-33.85565475726,-0.466,1.258,-1.532,1.139,1.258,1.333,20.779776,0.012714,1.788275,0.3934483351853779
Gaia EDR3 5588805754181026560,-0.008881,-0.010742,114.68097856493,-33.854080909,0.6905,0.0383,-3.075,0.036,3.35,0.039,16.386547,0.002829,1.176457,0.007597592513172308
Gaia EDR3 5588805754181029248,-0.012796,-0.009416,114.67626493993,-33.8527543292,0.3584,0.1092,-0.316,0.108,1.222,0.111,18.069681,0.003121,1.827751,0.0269943480028659
Gaia EDR3 5588805754181031552,-0.014093,-0.018075,114.67470169915,-33.86141301604,0.097,0.0625,-0.883,0.058,1.656,0.063,17.178457,0.002848,0.884775,0.00861011805236945
Gaia EDR3 5588805754181031680,-0.018075,-0.011069,114.6699079566,-33.85440645536,0.1195,0.2399,-1.894,0.237,1.979,0.237,15.299564,0.003264,1.645483,0.009573161529896155
Gaia EDR3 5588805754181033344,-0.019677,-0.014415,114.66797811619,-33.85775239028,0.3286,0.0594,-2.947,0.054,5.94,0.059,17.143559,0.002873,1.314982,0.01009842336202088
Gaia EDR3 5588805754182135296,-0.005788,-0.013166,114.68470280467,-33.85650552492,1.1682,0.8484,-0.378,0.704,3.15,0.834,20.681341,0.009985,1.430046,0.1984038407602944
Gaia EDR3 5588805754182135424,-0.007188,-0.013115,114.68301773164,-33.85645436097,-0.0806,0.5022,-0.506,0.471,1.409,0.487,20.264006,0.006116,1.337616,0.0772682585241668
Gaia EDR3 5588805754182136320,-0.012525,-0.018332,114.67658933422,-33.86167046833,0.1327,0.4765,-0.395,0.416,1.378,0.478,20.340734,0.006357,1.209261,0.30376840401727734
Gaia EDR3 5588805784240454656,-0.054581,-0.04195,114.62592520465,-33.88527197079,0.7903,0.2115,-0.951,0.204,1.444,0.209,19.235727,0.00361,1.328764,0.0395977727289493
Gaia EDR3 5588805784240465664,-0.050846,-0.03782,114.63042726714,-33.88114446758,0.184,0.0699,-0.938,0.067,2.232,0.071,17.527988,0.002901,1.367065,0.010766521344695218
Gaia EDR3 5588805784240469760,-0.048654,-0.035723,114.63306928351,-33.87904870579,-0.0505,0.3536,0.059,0.344,1.621,0.349,19.950256,0.00506,1.381998,0.07963194801315555
Gaia EDR3 5588805784240471168,-0.045572,-0.035597,114.6367812161,-33.87892411447,-0.1571,0.167,-0.763,0.163,1.797,0.163,18.937952,0.003464,1.019459,0.032757746160636494
Gaia EDR3 5588805784240475392,-0.045873,-0.033591,114.63642015226,-33.87691808052,-0.2379,0.4412,-0.879,0.438,6.282,0.442,19.64828,0.005691,1.890915,0.04966585902762374
Gaia EDR3 5588805784240477184,-0.055064,-0.033739,114.62534966971,-33.8770606946,0.4499,0.2859,-0.276,0.276,2.176,0.278,19.492893,0.004089,2.100306,0.0906006128555936
Gaia EDR3 5588805784242927360,-0.050991,-0.038417,114.63025218886,-33.88174116233,-0.031,0.8139,-0.277,0.709,2.308,0.826,20.553503,0.008223,0.661636,0.234622044729559
Gaia EDR3 5588805788532075264,-0.048091,-0.030616,114.63375070042,-33.87394180766,1.5678,0.4452,-3.633,0.392,5.094,0.494,20.170826,0.005671,1.68157,0.08093797541035955
Gaia EDR3 5588805788532093696,-0.050953,-0.039111,114.63029741303,-33.88243548758,-0.0118,0.2887,-0.411,0.283,3.703,0.278,19.67851,0.004344,1.41404,0.058324951247940446
Gaia EDR3 5588805788535582592,-0.050066,-0.045365,114.63136109124,-33.88869009456,-0.7308,0.3871,-4.486,0.363,2.307,0.382,20.094389,0.005259,1.72147,0.10694052979519186
Gaia EDR3 5588805788535582976,-0.049995,-0.046742,114.63144617062,-33.89006663563,-0.1954,0.3486,-0.939,0.332,2.281,0.339,19.963097,0.004661,1.370186,0.08323974762735167
Gaia EDR3 5588805788536979456,-0.049827,-0.040112,114.63165284639,-33.88343652876,,,,,,,20.942474,0.017316,1.071876,0.449982844387058
Gaia EDR3 5588805788540787840,-0.048158,-0.029315,114.63367122769,-33.87264056952,1.2502,0.0229,-14.869,0.022,-16.488,0.024,15.338132,0.002769,1.04351,0.005090551948301035
Gaia EDR3 5588805788540792320,-0.05577,-0.039096,114.62449510261,-33.88241719015,0.1179,0.121,-2.787,0.116,5.668,0.125,18.425497,0.003139,1.444992,0.02750655171024172
Gaia EDR3 5588805788541880704,-0.049123,-0.037882,114.63250229597,-33.8812068104,0.7631,0.0683,-8.292,0.065,8.953,0.069,17.465769,0.002879,1.460461,0.010992379227844514
Gaia EDR3 5588805788541945984,-0.04465,-0.033633,114.63789327222,-33.87696100791,0.567,0.2549,-0.669,0.249,2.308,0.248,19.392767,0.003827,1.214989,0.03890687900761673
Gaia EDR3 5588805788541946880,-0.054258,-0.033071,114.62632132608,-33.87639267136,-0.0832,0.3031,-1.094,0.288,2.841,0.291,19.580147,0.004254,1.530176,0.07180861558377771
