EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 2033896297199600000,0.021537,0.00909,297.78547151962,32.24909373652,0.071,0.1006,-2.397,0.094,-4.055,0.116,18.120222,0.003023,2.305071,0.02363910233952116,0.9663,1
Gaia EDR3 2033896301537912192,0.021742,0.00025,297.78571235449,32.24025310276,0.2894,0.0847,-2.579,0.075,-4.142,0.098,17.509237,0.00309,,,0.9835,1
Gaia EDR3 2033899222090926720,-0.028877,0.001481,297.72586557568,32.24148285974,0.1281,0.2218,-2.391,0.19,-4.159,0.308,19.015274,0.003772,,,0.9671,1
Gaia EDR3 2033896129714061696,-0.005012,-0.022843,297.75408287326,32.21716256983,0.1914,0.3665,-2.548,0.329,-3.933,0.394,19.862999,0.004864,1.835781,0.06735974382128725,0.9775,1
Gaia EDR3 2033896335872654592,-0.002266,0.006784,297.75732685403,32.24679044249,-0.0206,0.1378,-2.713,0.123,-3.917,0.153,18.580383,0.003235,1.559488,0.022450753603927877,0.9824,1
Gaia EDR3 2033896335897688192,-0.003402,0.004006,297.75598450709,32.24401238746,0.292,0.3627,-2.631,0.324,-4.211,0.389,19.876585,0.005111,1.655506,0.08780296848792826,0.9875,1
Gaia EDR3 2033896091041110272,0.028961,-0.010656,297.79424229028,32.22934555052,-0.0013,0.1387,-2.379,0.132,-4.029,0.165,18.664454,0.003212,1.910734,0.03018680633641561,0.9614,1
Gaia EDR3 2033899325169939840,0.000591,0.019841,297.76070496517,32.2598474661,0.1115,0.3422,-2.712,0.304,-3.887,0.371,19.868998,0.004629,2.037723,0.0803986836772665,0.975,1
Gaia EDR3 2033896061019736704,0.019821,-0.015129,297.78343637449,32.2248746114,0.1505,0.0575,-2.654,0.052,-4.353,0.062,17.129322,0.002857,2.269098,0.014371480564836722,0.9786,1
Gaia EDR3 2033896232797593600,-0.005877,-0.001308,297.75305790132,32.23869752966,0.3207,0.6218,-2.608,0.528,-4.09,0.657,20.444475,0.007276,2.008556,0.07249240510000765,0.9878,1
Gaia EDR3 2033896267155036160,0.01394,-0.009705,297.7764863234,32.23029959696,0.2795,0.3949,-2.536,0.365,-4.246,0.437,20.071749,0.005167,1.675817,0.10893798713894008,0.9832,1
Gaia EDR3 2033896335872585856,0.001801,0.002782,297.76213534426,32.24278776381,0.3099,0.1457,-2.508,0.131,-4.153,0.162,18.656021,0.003211,1.529297,0.05748072323357404,0.987,1
Gaia EDR3 2033899286498070528,-0.008092,0.018998,297.75043747489,32.25900324882,0.2843,0.1445,-2.736,0.124,-4.023,0.168,18.67099,0.003748,1.661734,0.02414073000520018,0.9783,1
Gaia EDR3 2033896056681357824,0.017445,-0.016669,297.78062747713,32.22333579645,-0.01,0.1011,-2.533,0.09,-3.864,0.112,18.07285,0.00298,2.214476,0.02095143339052603,0.9781,1
Gaia EDR3 2033896335872651392,-0.000132,0.01028,297.75985101418,32.25028598467,0.145,0.0992,-2.538,0.09,-3.86,0.11,18.098763,0.002991,1.294369,0.021731563835577148,0.985,1
Gaia EDR3 2033896335897687552,-0.003158,0.002439,297.75627270639,32.24244487192,0.1104,0.0671,-2.879,0.061,-4.179,0.073,17.157604,0.002911,2.245979,0.009927191036986914,0.9796,1
Gaia EDR3 2033896335872500608,0.005475,-0.002413,297.76647908365,32.23759320658,0.1819,0.3268,-2.403,0.285,-4.276,0.369,19.819843,0.004711,1.469902,0.07162452066339176,0.9796,1
Gaia EDR3 2033899290810271360,-0.005112,0.020813,297.75396131824,32.26081881281,0.1423,0.2381,-2.685,0.207,-3.848,0.255,19.335125,0.003759,1.776365,0.03940673821608088,0.9742,1
Gaia EDR3 2033896335872547840,0.003137,-0.000199,297.76371572531,32.23980702893,0.1179,0.2296,-2.658,0.202,-3.832,0.259,19.341166,0.003848,1.560972,0.04155897904800703,0.9828,1
