EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 2946940515360517888,0.058923,0.033046,100.31145502667,-16.4869511132,0.1007,0.0996,-0.139,0.09,0.859,0.108,17.688993,0.003067,1.043369,0.020893247961290686,0.9988,1
Gaia EDR3 2946940480998592640,0.057545,0.0249,100.31002118439,-16.49509730722,0.1189,0.1355,-0.1,0.135,0.853,0.153,18.24772,0.00325,1.140884,0.04952086456249956,0.9987,1
Gaia EDR3 2946940549720261888,0.033614,0.03127,100.28506141221,-16.48873290224,0.0962,0.0384,-0.129,0.037,0.831,0.041,15.625237,0.002788,1.583947,0.007443878010461843,0.9979,1
Gaia EDR3 2946940652799463552,0.081701,0.046993,100.33520408154,-16.47299557761,0.1079,0.0256,-0.14,0.025,0.828,0.028,15.151368,0.002783,1.762553,0.005420391220702834,0.9981,1
Gaia EDR3 2946940687159206400,0.0592,0.044347,100.31174092305,-16.47564982537,0.0772,0.0158,-0.131,0.016,0.871,0.018,14.010428,0.002808,1.680061,0.007484749746144292,0.9987,1
Gaia EDR3 2946947352948442496,0.070108,0.073225,100.3231049753,-16.44676783345,0.1142,0.0519,-0.155,0.052,0.883,0.058,16.660429,0.00284,1.612545,0.01407543206535734,0.9964,1
Gaia EDR3 2946940412281296640,0.084122,0.035628,100.33773409,-16.48435963766,0.0887,0.0153,-0.17,0.015,0.848,0.017,13.884003,0.002783,1.974525,0.005292395145565605,0.998,1
Gaia EDR3 2946940274842353280,0.067103,0.014347,100.31999263518,-16.50564768679,0.0813,0.0352,-0.101,0.034,0.899,0.038,15.825121,0.002791,1.640843,0.005690267941051289,0.998,1
Gaia EDR3 2946941305634505856,0.03412,0.031971,100.28558876465,-16.4880315967,0.1169,0.0344,-0.113,0.033,0.914,0.037,15.486503,0.002787,1.533828,0.006014169786536757,0.9979,1
Gaia EDR3 2946940687159203840,0.06651,0.049053,100.31936167168,-16.47094102672,0.1213,0.028,-0.092,0.027,0.815,0.031,15.334238,0.002796,1.70937,0.011483728816602298,0.9984,1
Gaia EDR3 2946940584079996160,0.054631,0.03209,100.30697954787,-16.48790774188,0.122,0.0285,-0.161,0.027,0.812,0.031,15.376355,0.002786,1.725822,0.00604447392834954,0.9987,1
Gaia EDR3 2946940511061345536,0.060991,0.026349,100.31361452633,-16.49364758709,0.0959,0.0811,-0.193,0.077,0.853,0.088,17.279516,0.00295,1.508642,0.021296398354491427,0.9986,1
Gaia EDR3 2946940412279088640,0.082658,0.035244,100.33620769561,-16.48474373876,0.1613,0.1749,-0.095,0.165,0.888,0.194,18.722738,0.00369,1.238846,0.05054962424820867,0.9981,1
Gaia EDR3 2946940515360516352,0.071088,0.029699,100.32414307752,-16.49029415212,0.0746,0.1182,-0.18,0.118,0.832,0.132,18.085442,0.003149,1.257641,0.028170136071571934,0.9986,1
Gaia EDR3 2946940480998592896,0.056755,0.02493,100.30919738619,-16.49506778368,0.0804,0.1325,-0.081,0.138,0.818,0.152,18.165525,0.003385,1.180563,0.043226647577761096,0.9986,1
Gaia EDR3 2946940614140578688,0.074376,0.04266,100.32756769809,-16.47733203961,0.0927,0.1638,-0.198,0.155,0.858,0.182,18.661983,0.003466,1.119211,0.03419531472727929,0.9984,1
Gaia EDR3 2946940515360515200,0.065628,0.037298,100.31844689242,-16.48269637473,0.0918,0.0788,-0.197,0.074,0.843,0.086,17.38519,0.002944,1.181612,0.017152741464259345,0.9987,1
Gaia EDR3 2946941301335340032,0.031621,0.03795,100.28298204891,-16.48205360588,0.134,0.1337,-0.083,0.131,0.807,0.153,18.369015,0.003326,1.116632,0.027066270560915595,0.9977,1
Gaia EDR3 2946940098744462848,0.046129,0.005528,100.2981199895,-16.51447231308,0.1422,0.1201,-0.062,0.114,0.856,0.131,18.116404,0.003182,1.18708,0.032671928424169557,0.9968,1
Gaia EDR3 2946940648503339776,0.081661,0.048191,100.3351616033,-16.47179779886,0.1095,0.1017,-0.127,0.102,0.786,0.116,17.848866,0.003053,1.543451,0.019241839831810832,0.9979,1
Gaia EDR3 2946941339994237312,0.041535,0.05314,100.29331764656,-16.46686165743,0.0548,0.0314,-0.175,0.032,0.877,0.035,15.590338,0.002779,1.588496,0.006143151997133696,0.9975,1
Gaia EDR3 2946940618439726208,0.076445,0.04563,100.329723508,-16.47436074918,0.1035,0.0518,-0.203,0.049,0.841,0.058,16.546484,0.002828,1.509415,0.007319878080272996,0.9983,1
Gaia EDR3 2946940171763140992,0.032887,0.027388,100.2843039283,-16.4926155164,0.185,0.0471,-0.153,0.043,0.867,0.05,16.362892,0.002821,0.69943,0.007745292649380023,0.9976,1
Gaia EDR3 2946940412281300736,0.08084,0.023503,100.33431661614,-16.49648595926,0.1551,0.0749,-0.175,0.075,0.91,0.084,17.279852,0.002953,0.840149,0.01166932535822065,0.9978,1
Gaia EDR3 2946940584079995520,0.048034,0.038487,100.3000982741,-16.48151250824,0.1144,0.0319,-0.087,0.031,0.785,0.035,15.679835,0.002784,1.60149,0.006508537528541747,0.9985,1
Gaia EDR3 2946946249137659136,0.11515,0.033411,100.37009263023,-16.48656028824,0.0637,0.2185,-0.17,0.207,0.922,0.241,19.07103,0.00401,1.159531,0.05805156233715934,0.9937,1
Gaia EDR3 2946940343561821184,0.099915,0.018003,100.3542129851,-16.50197666579,0.0474,0.0454,-0.193,0.044,0.868,0.05,16.33798,0.002816,1.628388,0.0071753244270203265,0.9945,1
Gaia EDR3 2946940137403406848,0.031569,0.010063,100.28293223983,-16.50993985854,0.1303,0.0605,-0.147,0.058,0.771,0.066,16.874113,0.002855,1.559875,0.013080759714113422,0.996,1
Gaia EDR3 2946940240480416128,0.088698,0.006674,100.34251961049,-16.51331121112,0.0981,0.0321,-0.083,0.032,0.779,0.035,15.629583,0.002793,1.598262,0.007765014932991736,0.9947,1
Gaia EDR3 2946940412281298560,0.07809,0.032912,100.33144420396,-16.48707795234,0.0485,0.0658,-0.14,0.061,0.931,0.071,16.894432,0.002874,1.554544,0.011473817659327593,0.9983,1
Gaia EDR3 2946940682860067712,0.06434,0.051376,100.31709807152,-16.46861886749,0.0414,0.0562,-0.17,0.054,0.912,0.062,16.83277,0.002858,0.647455,0.008010214474783664,0.9983,1
Gaia EDR3 2946940579780838016,0.05295,0.036938,100.3052253158,-16.48306103316,0.0279,0.0634,-0.132,0.061,0.917,0.069,17.020948,0.002875,0.926954,0.011847700391410008,0.9987,1
Gaia EDR3 2946946524015600512,0.088095,0.060267,100.34186570351,-16.45971860495,0.0072,0.145,-0.145,0.143,0.85,0.169,18.498198,0.003297,1.233767,0.036889693350104794,0.9968,1
Gaia EDR3 2946940515360519680,0.064216,0.022281,100.31697869474,-16.49771420065,0.0844,0.0439,-0.037,0.042,0.815,0.047,16.233677,0.002848,1.593293,0.008717607472490039,0.9984,1
Gaia EDR3 2946941473134064640,0.060698,0.064018,100.31329693588,-16.45597884975,0.0807,0.0929,-0.039,0.095,0.909,0.106,17.750307,0.00302,0.668577,0.01842717108485572,0.9972,1
Gaia EDR3 2946940515360517504,0.06041,0.033204,100.31300585699,-16.48679282094,0.1788,0.0953,-0.048,0.083,0.849,0.101,17.45481,0.003083,1.380424,0.01379702822786595,0.9987,1
