EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 5523421577245378688,0.011809,0.012791,128.96631607525,-43.60721381877,0.2585,0.0314,-3.486,0.034,3.981,0.036,16.068707,0.002796,1.644964,0.005880556071188397,0.996,1
Gaia EDR3 5523421577245381376,0.015929,0.015148,128.97200564172,-43.60485537867,0.2529,0.0111,-3.492,0.012,3.963,0.013,13.406561,0.002778,2.684973,0.004852123175687678,0.9956,1
Gaia EDR3 5523421508525897088,-0.002646,-0.002154,128.94635226908,-43.62216029085,0.236,0.0245,-3.517,0.025,3.99,0.027,15.554486,0.002779,1.439269,0.005311322149576234,0.9957,1
Gaia EDR3 5523421611605104768,0.001014,0.020969,128.95140733021,-43.59903698244,0.243,0.0277,-3.525,0.03,3.983,0.034,15.705949,0.002795,1.546319,0.005374323612099651,0.9963,1
Gaia EDR3 5523421611605107712,0.00403,0.019741,128.95557294172,-43.6002648559,0.2502,0.026,-3.493,0.029,3.959,0.03,15.646948,0.002792,1.648271,0.005794882253389564,0.9963,1
Gaia EDR3 5523421508525972992,-0.00664,-0.005551,128.94083496047,-43.62555638813,0.2597,0.015,-3.516,0.016,3.961,0.017,14.260061,0.002767,1.404178,0.004898362685698478,0.9952,1
Gaia EDR3 5523421611605111040,0.00213,0.009476,128.95294970279,-43.61052941661,0.2714,0.0409,-3.477,0.043,3.984,0.048,16.238823,0.002829,1.680519,0.006817771395004775,0.9963,1
Gaia EDR3 5523421744744267520,-0.028031,0.017379,128.91129809118,-43.60262043087,0.2684,0.05,-3.472,0.053,3.976,0.057,16.956797,0.002843,1.770626,0.008746584810924309,0.9946,1
Gaia EDR3 5523421817763529600,-0.006313,0.025075,128.94129071735,-43.59493039321,0.28,0.0185,-3.529,0.02,3.997,0.021,14.963567,0.002775,1.646515,0.0050618704005711244,0.9963,1
Gaia EDR3 5523421817759363712,-0.005009,0.024278,128.94309143944,-43.5957274766,0.228,0.0251,-3.517,0.026,3.953,0.028,15.653744,0.002783,1.612165,0.00544040507856604,0.9962,1
