EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 1997853073386067840,0.004145,-0.008012,354.66754987898,56.63199037568,0.1008,0.0359,-1.561,0.038,-0.335,0.033,16.177628,0.002791,1.69295,0.006175791801018355,0.999,1
Gaia EDR3 1997854001098974976,0.022015,0.031398,354.70008315948,56.67139482722,0.1276,0.0372,-1.529,0.039,-0.401,0.035,16.258844,0.002793,1.764099,0.006510890416516298,0.9949,1
Gaia EDR3 1997852867227650176,0.012414,-0.016751,354.68257876135,56.62325036975,0.1257,0.0241,-1.503,0.026,-0.423,0.022,15.270357,0.002774,1.841685,0.006130572065004245,0.9981,1
Gaia EDR3 1997853073386056320,0.008547,0.004373,354.67555868237,56.6443748016,0.1077,0.036,-1.468,0.038,-0.351,0.034,16.211964,0.002788,1.695918,0.006591641409709603,0.9991,1
Gaia EDR3 1997853000363468800,0.037461,0.007866,354.7281519013,56.64785059559,0.0704,0.0763,-1.611,0.08,-0.333,0.079,17.395111,0.002871,1.661715,0.0131724476037992,0.9958,1
Gaia EDR3 1997854134234875648,-0.019969,0.030137,354.62367126085,56.67013487824,0.0936,0.2105,-1.57,0.21,-0.281,0.2,19.23714,0.003606,1.321663,0.03923549132482705,0.9927,1
Gaia EDR3 1997853756277695616,-0.037366,0.01123,354.59204332382,56.65121487358,0.041,0.22,-1.597,0.216,-0.422,0.206,19.31485,0.003734,1.234093,0.043851819292094515,0.9908,1
Gaia EDR3 1997852828564631936,-0.003438,-0.024409,354.6537655859,56.61559423545,0.1069,0.1882,-1.446,0.198,-0.383,0.202,19.034197,0.003444,1.121736,0.03375914203016182,0.9976,1
Gaia EDR3 1997853137802412032,0.005031,0.013658,354.66916751189,56.65366025062,0.1658,0.0953,-1.509,0.103,-0.451,0.091,18.093287,0.002972,1.23966,0.014422578882089998,0.9986,1
Gaia EDR3 1997852764148567680,-0.003763,-0.031653,354.65317716028,56.60834985786,0.016,0.0685,-1.505,0.077,-0.416,0.065,17.393147,0.004406,1.287611,0.02503764389952353,0.9964,1
Gaia EDR3 1997853206521913216,0.030414,0.018501,354.71534944995,56.65849194128,0.1859,0.2736,-1.478,0.28,-0.357,0.282,19.610535,0.004085,1.203112,0.053470352578215766,0.9958,1
Gaia EDR3 1997853069083388800,0.013148,0.004235,354.68392687628,56.64423549097,0.1093,0.1531,-1.605,0.161,-0.466,0.148,18.833458,0.003329,1.23107,0.0317424497782036,0.9988,1
Gaia EDR3 1997853073386057344,0.001473,-0.000359,354.66269374444,56.63964390563,0.0368,0.0335,-1.457,0.036,-0.372,0.032,16.026718,0.002784,1.703084,0.006145759172040693,0.9991,1
Gaia EDR3 1997853142105532288,0.00903,0.005593,354.67643840989,56.64559493633,0.1501,0.0361,-1.452,0.038,-0.308,0.034,16.200628,0.002791,1.696418,0.006385392613785168,0.999,1
Gaia EDR3 1997852970306862336,0.019792,-0.009382,354.69599836085,56.63061563357,0.0546,0.0477,-1.471,0.049,-0.286,0.043,16.690277,0.002806,1.609485,0.007359074534130804,0.9983,1
Gaia EDR3 1997852931643907840,0.033368,-0.008204,354.72068064853,56.63178408285,0.1104,0.1297,-1.643,0.14,-0.46,0.127,18.561464,0.00313,1.180271,0.029988566809566415,0.9958,1
Gaia EDR3 1997853034723139840,-0.002112,-0.003086,354.65617475397,56.63691688096,0.152,0.1738,-1.495,0.187,-0.485,0.172,19.008768,0.003341,1.241114,0.03380514907647812,0.9988,1
Gaia EDR3 1997853206521877888,0.032692,0.010562,354.71948209528,56.65055069917,-0.0226,0.1399,-1.581,0.147,-0.395,0.136,18.68423,0.003131,1.275597,0.024327853339085655,0.9964,1
Gaia EDR3 1997853137802391552,0.004713,0.004594,354.66858643778,56.64459641153,0.0731,0.0808,-1.418,0.093,-0.408,0.078,17.750715,0.002902,1.504252,0.01267569840172204,0.999,1
Gaia EDR3 1997853176466422656,0.01446,0.005295,354.68631383275,56.6452951529,0.2339,0.1196,-1.62,0.126,-0.38,0.112,18.39201,0.003078,1.214642,0.020307986054680597,0.9988,1
Gaia EDR3 1997853481399740928,-0.034118,-0.002899,354.59797462523,56.63708836072,0.1157,0.1673,-1.452,0.181,-0.498,0.157,18.85617,0.003309,1.19746,0.03138300507244301,0.9935,1
Gaia EDR3 1997853142096752768,0.002925,0.011417,354.66533546597,56.65141951933,-0.0457,0.1964,-1.604,0.208,-0.402,0.192,19.08153,0.003392,1.111427,0.07950028257652661,0.9988,1
Gaia EDR3 1997853034723095040,-0.004609,-0.014884,354.65163577457,56.62511865909,0.0449,0.1094,-1.451,0.12,-0.254,0.107,18.274258,0.00299,1.233147,0.01814320302627496,0.9983,1
