EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 5353666048586152960" 0.129036 -0.149959 160.57759587206 -55.45975253746 0.3254 0.0998 -3.322 0.102 1.1 0.092 17.982605 0.003011 1.29018 0.01557052851810716 0.0
"Gaia EDR3 5353666048587113728" 0.127257 -0.147468 160.57444452365 -55.45726686621 1.1362 0.1175 -7.536 0.123 4.112 0.107 18.288776 0.003146 2.02371 0.02394115376016079 0.0
"Gaia EDR3 5353666052884833536" 0.129071 -0.148861 160.57765141438 -55.45865475931 -0.3511 0.5764 -4.105 0.705 2.484 0.561 20.336756 0.006268 1.690737 0.1486497119877123 0.0
"Gaia EDR3 5353666052884834304" 0.130227 -0.149747 160.5796956895 -55.4595367544 0.1016 0.608 -4.022 0.641 2.852 0.621 20.429707 0.007862 1.659607 0.10187665403576011 0.0
"Gaia EDR3 5353666082946851328" 0.114163 -0.149011 160.55135825648 -55.45885005769 0.4836 0.1034 -11.719 0.111 7.389 0.095 18.17732 0.00301 1.603569 0.02269872577921058 0.0
"Gaia EDR3 5353666087244562816" 0.109975 -0.147318 160.54396411927 -55.45716920372 0.2843 1.4122 -10.986 2.74 7.341 1.803 20.892609 0.016489 2.456516 0.40590576328986105 0.0
"Gaia EDR3 5353666087244563328" 0.110364 -0.146777 160.54464833698 -55.45662688447 0.5519 0.6292 -7.798 0.917 6.534 0.71 20.42826 0.00733 1.533747 0.21687387113833317 0.0
"Gaia EDR3 5353666117305638784" 0.121707 -0.146744 160.5646509901 -55.45656046233 0.1687 0.0726 -6.885 0.075 3.06 0.064 17.494875 0.002879 1.364679 0.012349293070896189 0.0
"Gaia EDR3 5353666117305644160" 0.116086 -0.144238 160.55472662284 -55.4540718311 5.1387 0.9286 -4.013 0.978 -1.702 0.853 18.673496 0.011188 "" "" 0.0
"Gaia EDR3 5353666117306357632" 0.119995 -0.139406 160.56159313132 -55.44922771206 0.5119 0.1044 -2.739 0.109 2.192 0.093 18.159544 0.003014 1.345121 0.020029645866115907 0.0
"Gaia EDR3 5353666117306592384" 0.12313 -0.145704 160.56715579631 -55.45551637803 0.195 0.1705 -6.023 0.177 2.184 0.153 18.92102 0.003419 1.542736 0.02848735536957137 0.0
"Gaia EDR3 5353666117312111744" 0.116448 -0.144957 160.55536851002 -55.45478942048 0.7961 0.0691 -9.462 0.073 2.743 0.063 17.373323 0.002878 1.485472 0.011023606974833622 0.0
"Gaia EDR3 5353666117319544576" 0.115883 -0.149698 160.55439583832 -55.45953233682 -0.2431 0.3479 -3.626 0.355 3.018 0.309 19.889744 0.004888 1.430124 0.09511081088463247 0.0
"Gaia EDR3 5353666121602605824" 0.115399 -0.148883 160.553538961 -55.45871857997 -0.0988 0.302 -5.698 0.298 0.981 0.259 19.736034 0.004417 1.668381 0.05507987394434798 0.0
"Gaia EDR3 5353666121602611200" 0.113696 -0.146263 160.55052150092 -55.4561039572 -0.1914 0.3785 -5.018 0.419 2.644 0.344 20.021355 0.00508 1.730539 0.07456681462009329 0.0
"Gaia EDR3 5353666121602629504" 0.115555 -0.144263 160.55378986522 -55.45409861813 0.3892 0.1037 -5.708 0.109 2.199 0.094 18.055649 0.003195 1.396042 0.02655253697029867 0.0
"Gaia EDR3 5353666121602629632" 0.115645 -0.144567 160.553950149 -55.45440203324 0.2287 0.2753 -6.973 0.431 3.728 0.289 19.455439 0.004679 "" "" 0.0
"Gaia EDR3 5353666121602637952" 0.117545 -0.144606 160.55730088643 -55.45443492037 0.1661 0.2128 -4.649 0.222 2.086 0.189 19.270512 0.003772 1.491627 0.03802823539366161 0.0
"Gaia EDR3 5353666121602638080" 0.111989 -0.139682 160.54747902952 -55.44952740608 0.0266 0.162 -5.009 0.165 2.627 0.139 18.791475 0.003251 1.69726 0.03429880416549316 0.0
"Gaia EDR3 5353666121602649344" 0.11667 -0.141882 160.55574312728 -55.45171412388 0.3444 0.0789 -7.281 0.083 1.176 0.072 17.733177 0.002926 1.434366 0.015600190343147372 0.0
"Gaia EDR3 5353666121602650752" 0.115954 -0.141077 160.55447643044 -55.45091070928 0.1459 0.0756 -5.665 0.08 0.536 0.07 17.539303 0.002893 1.872702 0.019751296393824294 0.0
"Gaia EDR3 5353666121602656000" 0.113697 -0.138402 160.55048319261 -55.44824222649 -0.2305 0.359 -3.996 0.343 0.636 0.309 19.916122 0.004776 1.72702 0.0849022083134371 0.0
"Gaia EDR3 5353666121602657024" 0.120076 -0.143769 160.56175940655 -55.45359031622 0.1675 0.3491 -4.516 0.372 3.942 0.322 19.961899 0.004864 1.368149 0.11067198616610333 0.0
"Gaia EDR3 5353666121602657664" 0.115398 -0.139579 160.55348840985 -55.44941495959 0.0462 0.1646 -4.797 0.165 2.208 0.147 18.80936 0.003257 1.510584 0.030833267661788625 0.0
"Gaia EDR3 5353666121602680704" 0.125627 -0.14438 160.57155128479 -55.45418411469 -0.0915 0.2375 -7.274 0.269 1.73 0.221 19.40659 0.003935 1.863276 0.06486433971270741 0.0
"Gaia EDR3 5353666121602912000" 0.114931 -0.137449 160.55265469935 -55.44728609354 -0.0284 0.7801 -5.459 0.807 5.182 0.681 20.573826 0.007878 2.146997 0.13552992374347933 0.0
"Gaia EDR3 5353666121604305152" 0.115465 -0.140152 160.553609446 -55.449987007 0.8768 0.7934 -5.437 0.957 2.224 0.822 20.648548 0.009846 1.055683 0.37416478049441426 0.0
"Gaia EDR3 5353666121604305536" 0.116355 -0.147059 160.5552140666 -55.45689177132 0.0688 1.3541 -5.156 2.289 1.936 1.936 20.785889 0.012888 1.53446 0.23714366858935873 0.0
"Gaia EDR3 5353666121627277696" 0.121893 -0.14792 160.56498679502 -55.45773584691 -0.2485 0.4734 -5.93 0.552 2.261 0.461 20.217058 0.005972 1.452095 0.11860678551188689 0.0
"Gaia EDR3 5353666121627282816" 0.116479 -0.139762 160.55539604272 -55.44959463239 0.3381 0.0344 -9.248 0.036 4.434 0.031 16.045837 0.002793 1.056912 0.005640171898211976 0.0
"Gaia EDR3 5353666121627288448" 0.115587 -0.135358 160.55379980528 -55.44519269364 0.107 0.2616 -5.339 0.253 2.39 0.226 19.371307 0.004788 1.920523 0.04821140241931757 0.0
"Gaia EDR3 5353666121627328384" 0.116624 -0.145975 160.55568344948 -55.45580748451 0.2306 0.4676 -5.604 0.514 5.321 0.449 20.322037 0.006273 1.505249 0.11937005152539594 0.0
"Gaia EDR3 5353666598342928256" 0.057274 -0.149952 160.45102865374 -55.45991515639 -0.1121 0.1504 -0.212 0.153 0.009 0.137 18.71721 0.003255 2.211969 0.040976254219913126 0.0
"Gaia EDR3 5353666602639229824" 0.058942 -0.147784 160.45396376197 -55.45774381355 -1.6872 0.5297 -5.264 0.562 2.728 0.54 20.369974 0.006626 1.744831 0.11431471026255509 0.0
"Gaia EDR3 5353666602663536000" 0.062697 -0.149886 160.46059276601 -55.45984071697 0.2684 0.19 -4.239 0.196 1.598 0.174 19.095062 0.003553 1.851658 0.040302462844718695 0.0
"Gaia EDR3 5353666637000317952" 0.040772 -0.149856 160.42192207537 -55.45983945162 0.0759 0.6991 -4.928 0.797 5.456 0.705 20.587332 0.007626 1.906736 0.18857134127793404 0.0
"Gaia EDR3 5353666637023252992" 0.044553 -0.148314 160.42858925742 -55.45829295 -0.0344 0.1158 -5.126 0.116 2.188 0.103 18.332644 0.003067 1.506163 0.02017467592847364 0.0
"Gaia EDR3 5353666667061459840" 0.049896 -0.146042 160.43800725671 -55.456015152 0.5299 0.17 -7.164 0.173 3.327 0.148 18.818533 0.003366 1.822735 0.033549595447479756 0.0
"Gaia EDR3 5353666667062420480" 0.049181 -0.138203 160.43672882525 -55.44817701538 0.0206 0.207 -7.466 0.21 2.362 0.176 19.145292 0.003541 1.70373 0.044628649778571006 0.0
"Gaia EDR3 5353666667067922816" 0.053001 -0.148082 160.44348706435 -55.45805069171 2.1946 0.0427 15.331 0.046 -13.822 0.042 16.560316 0.002817 1.999696 0.007922948021685043 -1.0
"Gaia EDR3 5353666667067922944" 0.055715 -0.146502 160.44827043149 -55.4564670287 0.2393 0.166 -4.043 0.182 0.778 0.155 18.70439 0.00329 2.036043 0.03287682759757556 0.0
"Gaia EDR3 5353666671358096384" 0.049245 -0.149046 160.43686570144 -55.45901969993 0.4658 0.2336 -3.52 0.256 2.341 0.218 19.423079 0.003892 1.76823 0.0624106707950418 0.0
"Gaia EDR3 5353666671358097408" 0.047066 -0.146608 160.43301750312 -55.45658409217 -0.3084 0.5346 -7.375 0.595 3.537 0.428 19.722738 0.005182 1.962915 0.054471501298938275 0.0
"Gaia EDR3 5353666671358097664" 0.043327 -0.143573 160.42641725459 -55.45355301971 0.2263 0.2265 -6.432 0.228 2.571 0.198 19.371267 0.003937 1.894529 0.0635976624460027 0.0
"Gaia EDR3 5353666671358103168" 0.047479 -0.146123 160.43374376916 -55.45609907306 0.3861 0.2977 -11.025 0.298 6.939 0.262 19.718016 0.004379 1.997984 0.12938910846156718 0.0
"Gaia EDR3 5353666671358104576" 0.043799 -0.142322 160.42724660018 -55.45230209135 0.0976 0.3191 -7.691 0.327 3.895 0.282 19.830862 0.004499 1.575455 0.06497295661237874 0.0
"Gaia EDR3 5353666671358105216" 0.04669 -0.144564 160.43234877135 -55.45454107657 -0.4089 0.3612 -5.834 0.367 0.846 0.306 19.897785 0.004852 1.76458 0.08343131727697448 0.0
"Gaia EDR3 5353666671358112256" 0.044094 -0.141231 160.42776472053 -55.4512105315 0.5713 0.2333 -8.858 0.238 2.155 0.2 19.400126 0.003847 1.620878 0.04404980858730823 0.0
