EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 5246365606490416384" 0.102843 -0.141297 151.05237485658 -64.89110525947 -0.1061 0.4824 -3.322 0.752 1.703 0.561 20.216133 0.00642 1.866629 0.11078452298741594 0.0
"Gaia EDR3 5246365606490423168" 0.1107 -0.139557 151.0708724278 -64.88933412453 1.7898 0.5756 -9.604 0.808 8.431 0.681 20.412334 0.007805 2.46133 0.2535309136666971 0.0
"Gaia EDR3 5246365606491945344" 0.096895 -0.13824 151.03833140835 -64.88807025578 0.1625 0.6766 -2.995 1.007 1.595 0.754 20.487865 0.008191 1.411646 0.16415835199402148 0.0
"Gaia EDR3 5246365606492633216" 0.10195 -0.142565 151.05028008617 -64.89237610219 -0.1642 1.0067 -2.226 1.409 3.495 1.38 20.728252 0.011603 1.262564 0.2794519021566439 0.0
"Gaia EDR3 5246365606500518912" 0.106704 -0.141415 151.06147485479 -64.89120816464 0.3792 0.1132 -7.294 0.153 5.482 0.121 18.128773 0.003208 1.285219 0.024175575978646623 0.0
"Gaia EDR3 5246365606500519040" 0.102662 -0.136951 151.0519076628 -64.88675976949 0.3819 0.2195 -3.507 0.254 2.773 0.223 19.271645 0.009377 1.397181 0.07694153959920019 0.0
"Gaia EDR3 5246365606500519296" 0.109165 -0.144256 151.06730062838 -64.89403908459 0.2002 0.0944 -3.624 0.111 4.102 0.1 17.983715 0.003058 0.965494 0.019483747981911728 0.0
"Gaia EDR3 5246365670904862208" 0.083476 -0.149637 151.00679644682 -64.89951203837 0.1971 0.0983 -4.608 0.124 3.46 0.106 18.084288 0.003045 0.953808 0.01775567554046429 0.0
"Gaia EDR3 5246365675207853184" 0.076204 -0.145432 150.98962514134 -64.89532874283 0.0967 0.2928 -6.762 0.345 3.352 0.305 19.69947 0.004748 1.424149 0.07498580804424278 0.0
"Gaia EDR3 5246365675207857152" 0.085202 -0.148427 151.0108541544 -64.89829656485 0.1859 0.1179 -6.1 0.161 4.329 0.125 18.344202 0.003226 0.957615 0.026602179538491987 0.0
"Gaia EDR3 5246365675208511744" 0.072557 -0.14983 150.98105763119 -64.89973727244 0.309 0.5079 -5.639 0.725 4.711 0.593 20.292826 0.006702 1.320438 0.13010211786513035 0.0
"Gaia EDR3 5246365675209880704" 0.078798 -0.144903 150.99573478245 -64.89479266468 0.1987 0.4953 -4.253 1.042 0.386 0.534 20.176752 0.006296 1.183813 0.10093606564393143 0.0
"Gaia EDR3 5246365675211864192" 0.073852 -0.14828 150.98409958633 -64.89818336962 -0.5581 1.2713 -6.129 2.883 -0.97 2.415 20.831995 0.013005 2.032177 0.3249541787106033 0.0
"Gaia EDR3 5246365675219991040" 0.074999 -0.143127 150.98676894743 -64.89302672856 -0.0204 0.1038 -3.654 0.161 3.103 0.117 18.123571 0.003069 1.20277 0.019884957299396842 0.0
"Gaia EDR3 5246365675219991168" 0.077691 -0.14587 150.99313262527 -64.89576265423 0.7264 0.048 -7.499 0.059 8.071 0.047 16.738169 0.002826 1.280254 0.007291974358502822 0.0
"Gaia EDR3 5246365675219991680" 0.078498 -0.143776 150.99502032249 -64.89366665893 0.526 0.026 -7.369 0.032 5.014 0.026 15.437048 0.002776 0.826426 0.005266109611517604 0.0
"Gaia EDR3 5246365675222756736" 0.083174 -0.148243 151.00607304742 -64.89811963274 0.0539 0.1696 -6.964 0.237 4.008 0.185 18.876308 0.003516 1.017933 0.039128839102962755 0.0
"Gaia EDR3 5246365705275296640" 0.058865 -0.142653 150.94874362876 -64.89259321749 -0.0086 0.1112 -5.706 0.143 3.004 0.118 18.24758 0.003146 0.965344 0.01572706909659705 0.0
"Gaia EDR3 5246365709567579904" 0.057063 -0.147857 150.94452130005 -64.89780144932 0.3212 0.4875 -6.987 0.567 3.941 0.537 20.302769 0.006715 1.796097 0.14941513526261538 0.0
"Gaia EDR3 5246365709567580672" 0.057977 -0.146605 150.94666949433 -64.89654720787 0.0663 0.1972 -5.91 0.239 5.152 0.206 19.181322 0.004053 1.305246 0.039862877381963 0.0
"Gaia EDR3 5246365709567582464" 0.060742 -0.148288 150.95319741948 -64.89822426275 0.0662 0.2869 -4.351 0.336 3.213 0.298 19.569101 0.004533 1.027187 0.05570018033996808 0.0
"Gaia EDR3 5246365709567582592" 0.057456 -0.144227 150.9454303667 -64.89417003815 0.4482 0.2311 -3.522 0.275 1.694 0.243 19.396944 0.004012 1.022726 0.04582853125409588 0.0
"Gaia EDR3 5246365709567582720" 0.06015 -0.146606 150.95179185695 -64.89654340448 -0.0767 0.1333 -4.47 0.174 3.156 0.145 18.61561 0.00326 0.876049 0.023867043103277304 0.0
"Gaia EDR3 5246365709567582848" 0.059136 -0.145439 150.94939585668 -64.89537863412 0.3378 0.3039 -3.354 0.361 2.865 0.31 19.687012 0.004568 1.136456 0.05793191115356113 0.0
"Gaia EDR3 5246365709567583232" 0.062287 -0.147721 150.95683524078 -64.89765363246 0.7325 0.2958 -4.995 0.361 2.626 0.322 19.650078 0.004516 1.218546 0.07593843182886414 0.0
"Gaia EDR3 5246365709567583616" 0.065173 -0.148889 150.96364579652 -64.89881488162 0.5236 0.165 -9.49 0.204 4.746 0.177 18.94516 0.003502 1.136354 0.03985098963891152 0.0
"Gaia EDR3 5246365709568216960" 0.055459 -0.1498 150.9407505163 -64.89974790254 0.0639 0.2388 -3.255 0.297 2.226 0.247 19.451996 0.004081 0.719233 0.06889089636990606 0.0
"Gaia EDR3 5246365709569613696" 0.061259 -0.145525 150.9543998777 -64.89546022608 -0.5535 0.4261 -3.543 0.645 2.409 0.513 20.153742 0.005993 1.006521 0.09050544330861991 0.0
"Gaia EDR3 5246365709569615488" 0.067336 -0.149166 150.96874427827 -64.8990869069 1.1554 0.6717 -6.019 0.73 5.751 0.818 20.553726 0.007928 1.016539 0.12559953866409115 0.0
"Gaia EDR3 5246365739624370432" 0.071323 -0.140299 150.97808745232 -64.89020921362 0.6461 0.0704 -12.391 0.086 0.269 0.067 17.371056 0.0029 1.225971 0.01335841805002957 0.0
"Gaia EDR3 5246365739624371584" 0.075122 -0.140213 150.98703914776 -64.89011301888 0.1788 0.0868 -5.813 0.105 4.877 0.09 17.951792 0.002983 0.842546 0.013922519028233127 0.0
"Gaia EDR3 5246365739624376320" 0.071187 -0.138658 150.97775689343 -64.88856844953 0.071 0.1023 -6.656 0.133 3.239 0.112 18.171272 0.003119 0.998657 0.024509004416813814 0.0
"Gaia EDR3 5246365739626033408" 0.066176 -0.143789 150.96598060966 -64.89371239656 0.1203 0.1331 -4.802 0.175 3.585 0.149 18.598225 0.003351 0.911116 0.025170837792038533 0.0
"Gaia EDR3 5246365739626047104" 0.068294 -0.135716 150.97092369298 -64.88563400762 0.5228 0.1461 -12.056 0.186 6.753 0.16 18.659851 0.003308 1.821312 0.03579767268969524 0.0
"Gaia EDR3 5246365739626048768" 0.067382 -0.134355 150.96876623918 -64.88427506485 0.8957 0.1233 -12.21 0.161 5.478 0.131 18.129078 0.003531 2.178524 0.021349058668464375 0.0
"Gaia EDR3 5246365739628889344" 0.069402 -0.145016 150.97359009446 -64.894931091 -0.0635 0.139 -5.682 0.177 4.029 0.151 18.647882 0.003288 1.040403 0.025805697963069644 0.0
"Gaia EDR3 5246365739635033344" 0.069516 -0.135005 150.97379883807 -64.88491971575 0.029 0.1565 -3.83 0.2 2.575 0.18 18.784285 0.003508 1.015913 0.029045289720365554 0.0
"Gaia EDR3 5246365743927325440" 0.06041 -0.13828 150.95235992366 -64.88821666063 -0.0694 0.2695 -4.118 0.334 3.235 0.263 19.521738 0.004093 1.001337 0.07509537194656817 0.0
"Gaia EDR3 5246365743927326080" 0.068609 -0.145844 150.97172509474 -64.89576117059 0.0179 0.2706 -5.713 0.33 5.098 0.288 19.613436 0.004384 1.170502 0.06865974610872345 0.0
"Gaia EDR3 5246365743927328256" 0.070504 -0.143029 150.97617423475 -64.89294109331 1.2813 0.3212 -1.308 0.373 -0.083 0.312 19.671501 0.004708 2.55892 0.10998706437230399 0.0
"Gaia EDR3 5246365743927329024" 0.069699 -0.140609 150.97426372598 -64.89052306492 -0.0869 0.2665 -3.658 0.333 2.429 0.277 19.509335 0.00437 1.056913 0.06060171422472549 0.0
