EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 3358163219969190272" -0.099146 -0.149952 103.22145903784 16.7670155743 -0.0995 0.3708 -0.638 0.504 -1.268 0.468 19.010748 0.005296 0.980738 0.08132726290027846 0.0
"Gaia EDR3 3358163254332415360" -0.126993 -0.148077 103.19237427469 16.76887402918 0.0192 0.8029 -0.696 1.12 -3.523 1.07 20.109959 0.008876 1.712227 0.17075830958864724 0.0
"Gaia EDR3 3358163258627117056" -0.127888 -0.149276 103.19144015632 16.76767496554 0.189 0.1463 -1.026 0.191 -0.774 0.193 18.011414 0.003399 0.991169 0.024392167733954594 0.0
"Gaia EDR3 3358163288687905792" -0.106595 -0.142713 103.21367421105 16.77425105129 0.7698 0.0243 7.457 0.025 -4.078 0.024 13.184321 0.002769 0.61528 0.004814242018600333 0.0
"Gaia EDR3 3358163288688667648" -0.109617 -0.14962 103.21052279016 16.76734236018 0.3456 0.2911 -0.277 0.353 -1.061 0.337 18.952763 0.004508 1.077455 0.05449730539567502 0.0
"Gaia EDR3 3358163292986849920" -0.115125 -0.148432 103.20476890842 16.76852655205 1.0419 0.5067 -0.623 0.589 -11.345 0.49 19.423264 0.005982 2.5949 0.18662489224280576 0.0
"Gaia EDR3 3358163292986851456" -0.122425 -0.144698 103.19714276828 16.77225648889 0.3653 0.1276 -0.236 0.145 -2.19 0.13 17.784014 0.003171 0.995245 0.019851913516271635 0.0
"Gaia EDR3 3358163357408149120" -0.147908 -0.146558 103.17052838977 16.77037843212 0.9666 0.588 -1.324 0.797 -3.813 0.681 19.696966 0.007157 1.641991 0.10244158925685 0.0
"Gaia EDR3 3358163361704800384" -0.149492 -0.149103 103.16887612165 16.76783182242 1.1724 0.5798 3.867 0.683 -5.514 0.544 19.75071 0.006512 2.16312 0.1728385325907678 0.0
"Gaia EDR3 3358163361704829056" -0.145515 -0.145461 103.17302666157 16.77147678637 -0.3506 1.3487 0.71 1.714 -2.504 1.545 20.513697 0.010491 1.99995 0.22751887695364081 0.0
"Gaia EDR3 3358163460487359104" -0.131812 -0.149954 103.18734234908 16.76699373609 0.1682 0.1132 0.46 0.134 -1.56 0.124 17.478172 0.003101 0.849184 0.018747755292303766 0.0
"Gaia EDR3 3358163460487360640" -0.139095 -0.14911 103.17973531619 16.76783244501 0.261 0.0571 -0.584 0.064 -1.631 0.057 16.409616 0.002879 0.645929 0.010400721279154253 0.0
"Gaia EDR3 3358163460487362048" -0.1349 -0.148357 103.18411565174 16.76858921887 0.4439 0.1344 -1.823 0.155 -3.138 0.137 17.889189 0.003217 1.199223 0.03208601783303928 0.0
"Gaia EDR3 3358163460487365888" -0.142542 -0.146071 103.17613268 16.77086973776 0.4945 0.0605 0.09 0.068 -3.405 0.062 16.535776 0.002853 0.911396 0.009542058641636045 0.0
"Gaia EDR3 3358163460487370112" -0.137919 -0.142068 103.18095793905 16.77487585614 0.3588 0.0699 0.675 0.08 -2.534 0.072 16.685764 0.002891 0.878012 0.010260813538799323 0.0
"Gaia EDR3 3358163460487690880" -0.134726 -0.13559 103.18428783474 16.78135630962 0.7833 0.9097 -2.225 1.171 -0.221 1.104 20.171005 0.009276 2.078014 0.15926351593592197 0.0
"Gaia EDR3 3358163464785545984" -0.131878 -0.141193 103.18726675793 16.77575528335 0.0085 0.5606 -0.472 0.781 0.786 0.729 19.893587 0.007935 1.772053 0.11097252208767402 0.0
"Gaia EDR3 3358163499145274112" -0.119543 -0.132111 103.20014391679 16.78484550733 0.467 0.3853 0.076 0.542 -2.086 0.501 19.169363 0.004881 1.078558 0.08878250080542985 0.0
"Gaia EDR3 3358163499145274880" -0.125302 -0.127627 103.19412602762 16.78932590952 0.1456 0.29 -1.549 0.392 0.903 0.357 18.8549 0.004697 1.258268 0.05284162707270003 0.0
"Gaia EDR3 3358163499145276544" -0.125353 -0.129936 103.19407366315 16.78701638794 0.5273 0.0416 -3.51 0.046 -1.808 0.042 15.772043 0.002798 0.800848 0.006487429998576226 0.0
"Gaia EDR3 3358163499145282432" -0.131944 -0.13705 103.18719510693 16.77989770112 0.1659 0.1335 0.172 0.152 -1.328 0.138 17.85296 0.003252 0.930439 0.025708890689182144 0.0
"Gaia EDR3 3358163529206847872" -0.145401 -0.140947 103.1731427221 16.77599077153 0.1832 0.1011 -0.631 0.127 -1.973 0.12 17.423458 0.003053 0.925976 0.018315060090261757 0.0
"Gaia EDR3 3358163529206863232" -0.149232 -0.128916 103.16913155788 16.78801933867 -0.1943 0.6169 -3.181 0.799 0.18 0.706 19.899956 0.00728 1.174233 0.22847037511318863 0.0
"Gaia EDR3 3358163533505024128" -0.143373 -0.134653 103.17525580775 16.78228706291 0.116 0.0847 0.008 0.103 -1.32 0.097 17.097658 0.002938 1.107588 0.03903471736135696 0.0
"Gaia EDR3 3358163563565812096" -0.142309 -0.126875 103.17636146947 16.79006519711 0.2548 0.013 -0.122 0.014 -1.797 0.013 11.948171 0.002761 1.42942 0.004800630840862142 0.0
"Gaia EDR3 3358163563566599424" -0.134007 -0.13159 103.18503652438 16.78535670825 0.5845 0.0627 -2.13 0.073 -6.124 0.065 16.616732 0.002891 0.981703 0.00842291161836314 0.0
"Gaia EDR3 3358163563566599808" -0.136099 -0.130656 103.18285064209 16.7862893291 0.6324 0.372 0.435 0.448 0.088 0.376 19.177353 0.005113 1.265636 0.08322158781066134 0.0
"Gaia EDR3 3358163563566609408" -0.125564 -0.124717 103.19385048221 16.79223547475 0.2233 0.1802 -1.906 0.245 -0.507 0.238 18.12012 0.003435 0.803476 0.035192340443184505 0.0
"Gaia EDR3 3358163563566614272" -0.132838 -0.120447 103.18624899721 16.79650084157 -0.0662 0.2262 -0.242 0.262 -1.84 0.249 18.227652 0.00355 0.842821 0.03315171621371906 0.0
"Gaia EDR3 3358163563566801024" -0.141374 -0.123852 103.17733494521 16.79308932231 0.0204 0.4727 0.447 0.547 -0.853 0.459 19.472807 0.005782 1.007894 0.1085736363016803 0.0
"Gaia EDR3 3358163563566908672" -0.139146 -0.119221 103.17965871645 16.79772210421 0.4296 1.0685 -1.637 1.367 -1.531 1.415 20.408604 0.012406 1.80438 0.2890575669831906 0.0
"Gaia EDR3 3358163563570043648" -0.131766 -0.120072 103.18736839394 16.79687625545 -0.0237 0.6092 -0.797 0.646 -1.622 0.522 19.591413 0.006267 1.366133 0.11614410977248096 0.0
"Gaia EDR3 3358163567863188352" -0.128751 -0.128372 103.19052386617 16.78857791361 1.8248 0.6705 8.532 0.727 -12.878 0.582 19.572027 0.008034 1.795525 0.08822079883907175 0.0
"Gaia EDR3 3358165418994628608" 0.064725 -0.147795 103.39260665746 16.76918821031 0.5232 0.1062 -0.247 0.143 -4.048 0.113 17.48928 0.00304 1.093412 0.0225699021643073 0.0
"Gaia EDR3 3358165487714108672" 0.05267 -0.14496 103.38001632915 16.77202667754 0.8647 0.0614 0.523 0.068 -3.606 0.054 16.551716 0.002857 1.146092 0.008632396920838382 0.0
"Gaia EDR3 3358165487714116096" 0.055273 -0.139734 103.3827371499 16.77725167205 0.5709 0.2118 0.573 0.334 -3.227 0.323 18.603962 0.003846 1.200827 0.06302249471568294 0.0
"Gaia EDR3 3358165492010027392" 0.054809 -0.137093 103.38225340843 16.77989281795 0.1708 0.0423 -0.745 0.048 -1.713 0.038 15.88241 0.002848 0.495559 0.00884616346601491 0.0
"Gaia EDR3 3358165492010027904" 0.057555 -0.14111 103.38512007221 16.77587491754 0.5075 0.0798 -1.672 0.094 -4.347 0.076 17.087957 0.002942 0.958235 0.012271026076192616 0.0
"Gaia EDR3 3358165590795367296" 0.004137 -0.149941 103.32932792393 16.76705298463 0.9278 0.1286 -2.481 0.152 -7.914 0.128 17.892717 0.0032 1.578823 0.047866140629956026 0.0
"Gaia EDR3 3358165595089268224" 0.004939 -0.149779 103.33016538107 16.76721466572 0.3609 0.0979 -1.08 0.128 -2.163 0.115 17.440186 0.003012 0.909855 0.020669503657571062 0.0
"Gaia EDR3 3358165625153060608" 0.013822 -0.145652 103.33944234125 16.77134187583 0.2791 0.4204 -0.84 0.42 -1.362 0.322 19.388763 0.006224 1.641523 0.07986396387170609 0.0
"Gaia EDR3 3358165625153067008" 0.014646 -0.140612 103.34030368705 16.77638109216 -0.01 0.2485 -0.516 0.356 -1.867 0.344 18.638157 0.004056 0.943302 0.0635921441658185 0.0
"Gaia EDR3 3358165625153256448" 0.007188 -0.141977 103.33251416654 16.77501671245 0.0422 0.7978 0.039 0.939 1.654 0.758 20.492317 0.008449 1.383171 0.17761581837168544 0.0
"Gaia EDR3 3358165625153256704" 0.01752 -0.141958 103.34330501127 16.77503489138 1.3229 0.9255 1.623 1.204 -2.95 1.153 20.50512 0.011989 1.163795 0.22412457670131222 0.0
"Gaia EDR3 3358165659512795520" 0.031855 -0.148541 103.35827600823 16.76845023523 0.0229 0.1899 -0.749 0.257 -1.436 0.248 18.096144 0.003465 0.822414 0.03356581614051288 0.0
"Gaia EDR3 3358165659512803328" 0.027265 -0.142803 103.35348365599 16.77418943342 0.5611 0.1276 0.011 0.145 -4.043 0.124 15.465313 0.003208 0.950183 0.005875211694702695 0.0
"Gaia EDR3 3358165659512809216" 0.035201 -0.138196 103.36177277883 16.77879511027 -0.2664 0.4671 0.364 0.491 -1.095 0.396 19.553888 0.005457 1.280968 0.11161003094920309 0.0
"Gaia EDR3 3358165663808732032" 0.030128 -0.143428 103.35647355383 16.77356329492 0.6204 0.4542 0.746 0.454 -2.603 0.351 19.528297 0.005479 1.112173 0.12451571078495399 0.0
"Gaia EDR3 3358165693872558848" 0.039469 -0.131668 103.36623211592 16.78532173436 0.0875 0.1179 0.194 0.161 -1.047 0.142 17.755997 0.003206 0.857738 0.019355084403628195 0.0
"Gaia EDR3 3358165693872560000" 0.037092 -0.130667 103.36374972633 16.78632317907 -0.2465 0.3974 0.355 0.393 -1.211 0.29 19.382532 0.005111 1.126667 0.06781159564852882 0.0
"Gaia EDR3 3358165698168457728" 0.050118 -0.132855 103.37735467273 16.78413233834 0.1248 0.1091 0.801 0.137 -1.343 0.116 17.297945 0.003107 0.947563 0.015600189313532024 0.0
"Gaia EDR3 3358165698168462080" 0.046489 -0.137868 103.37356333613 16.7791200393 0.1528 0.1671 -0.496 0.199 -1.039 0.151 17.148039 0.003541 0.855934 0.012494131074259732 0.0
"Gaia EDR3 3358165728232280448" 0.022233 -0.14163 103.34822796312 16.77536262206 -0.4975 0.4072 2.112 0.423 -5.132 0.319 19.377892 0.005278 0.881844 0.06279926190857313 0.0
"Gaia EDR3 3358165728232288512" 0.018536 -0.136402 103.34436722137 16.78059090177 -0.0084 0.2734 -0.66 0.414 -0.534 0.405 18.783758 0.004242 0.719671 0.040377876922947115 0.0
"Gaia EDR3 3358165728232472832" 0.022318 -0.137613 103.34831753935 16.77938000184 -1.0207 0.6218 -0.56 0.595 -0.634 0.468 19.97218 0.006936 1.713673 0.177700325249263 0.0
"Gaia EDR3 3358165728232779008" 0.020452 -0.132959 103.34636890825 16.78403390573 0.2726 0.1905 -0.794 0.277 -1.858 0.27 18.244167 0.003473 1.46929 0.04949391953233731 0.0
